basin_id,regime,paradigm,structure,model,period,seed_or_restart,selected_run,frac_snow,snow_stratum,KGE,signed_CT_error,absolute_CT_error,valid_year_count,valid_days,valid_metric,NSE,PBIAS,RMSE,provenance_source
01022500,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.245259009248271,S3,0.7794957941438265,-25.0,25.0,15,5479.0,True,0.5607725007441349,-2.4667555080147845,1.784336668933406,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01022500,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.245259009248271,S3,0.8572762886581293,9.0,9.0,15,5479.0,True,0.7230744501066229,-4.154062362332229,1.416816325882016,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01022500,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.245259009248271,S3,0.7314159806672954,3.0,3.0,15,5479.0,True,0.4765576915617885,-4.082138882631855,1.9478990709905435,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01022500,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.245259009248271,S3,0.777696331963277,-24.0,24.0,15,5479.0,True,0.5930051561119696,-4.48631401719028,1.7176176445484663,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01022500,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.245259009248271,S3,0.8343347821774041,11.0,11.0,15,5479.0,True,0.6966733755085515,-4.454279461661513,1.482816142449208,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01022500,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.245259009248271,S3,0.7111260580855163,4.0,4.0,15,5479.0,True,0.4932940614687924,-4.082554733709023,1.9165053514622203,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01031500,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.291836473001958,S3,0.6153475872020089,-47.0,47.0,15,5479.0,True,0.16691460006698344,3.3691035619866008,3.156905851456698,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01031500,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.291836473001958,S3,0.8659011427871739,7.0,7.0,15,5479.0,True,0.7343269985838825,2.0700564055364032,1.7827505516059976,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01031500,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.291836473001958,S3,0.663039508223073,-42.0,42.0,15,5479.0,True,0.2863089090897162,3.1472161537557595,2.921944792827552,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01031500,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.291836473001958,S3,0.6537078014791533,-37.0,37.0,15,5479.0,True,0.3882179166764602,4.601573729892261,2.7052988346340885,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01031500,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.291836473001958,S3,0.8615081245960067,9.0,9.0,15,5479.0,True,0.7312223070600613,0.16839423269218073,1.7931370303277017,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01031500,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.291836473001958,S3,0.6560596803364009,2.0,2.0,15,5479.0,True,0.46270085125655724,2.8098435850898484,2.5352742453497625,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01047000,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.280118126940736,S3,0.6515678636299186,-35.0,35.0,15,5479.0,True,0.25411274168755393,2.2865130675695853,3.042884941032585,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01047000,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.280118126940736,S3,0.8579559232993774,8.0,8.0,15,5479.0,True,0.7138334163784369,-0.6500714438539381,1.8847701547519227,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01047000,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.280118126940736,S3,0.6715479898091697,7.0,7.0,15,5479.0,True,0.3312603499966611,-1.6985230347885643,2.881226984316792,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01047000,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.280118126940736,S3,0.6804682076966291,-26.0,26.0,15,5479.0,True,0.42364175760559264,-5.394872018315434,2.67482387456184,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01047000,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.280118126940736,S3,0.8446170165855793,10.0,10.0,15,5479.0,True,0.7248520182270628,-4.806290136044522,1.8481282370360372,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01047000,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.280118126940736,S3,0.6599756733740467,1.0,1.0,15,5479.0,True,0.4692646557839716,-5.713094978046084,2.5667758348329976,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01052500,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.352698254049326,S4,0.4095471046534206,-38.0,38.0,15,5479.0,True,-0.04347144301630901,-7.260732859345297,4.061277108676093,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
