basin_id,regime,paradigm,period,frac_snow,snow_stratum,delta_KGE_Base_CN,delta_absCT_Base_CN,delta_absCT_TGD_CN,delta_KGE_TGD_CN,KGE_Base,KGE_CN,KGE_TGD,signed_e_Base,signed_e_TGD,signed_e_CN,abs_e_Base,abs_e_TGD,abs_e_CN,valid_year_count_Base,valid_year_count_TGD,valid_year_count_CN
01022500,IC-CMA-ES,IC-CMA-ES,test,0.245259009248271,S3,0.0777804945143028,16.0,-6.0,0.12586030799083392,0.7794957941438265,0.8572762886581293,0.7314159806672954,-25.0,3.0,9.0,25.0,3.0,9.0,15,15,15
01031500,IC-CMA-ES,IC-CMA-ES,test,0.291836473001958,S3,0.250553555585165,40.0,35.0,0.2028616345641009,0.6153475872020089,0.8659011427871739,0.663039508223073,-47.0,-42.0,7.0,47.0,42.0,7.0,15,15,15
01047000,IC-CMA-ES,IC-CMA-ES,test,0.280118126940736,S3,0.20638805966945883,27.0,-1.0,0.18640793349020768,0.6515678636299186,0.8579559232993774,0.6715479898091697,-35.0,7.0,8.0,35.0,7.0,8.0,15,15,15
01052500,IC-CMA-ES,IC-CMA-ES,test,0.352698254049326,S4,0.40507293166923164,31.0,-3.0,0.11531610347694443,0.4095471046534206,0.8146200363226522,0.6993039328457078,-38.0,4.0,7.0,38.0,4.0,7.0,15,15,15
01054200,IC-CMA-ES,IC-CMA-ES,test,0.299641539662879,S3,0.1902088948727536,39.0,22.0,0.13755872190817953,0.6217603253808823,0.8119692202536359,0.6744104983454564,-45.0,-28.0,6.0,45.0,28.0,6.0,15,15,15
01055000,IC-CMA-ES,IC-CMA-ES,test,0.306048851694867,S4,0.20709208568466753,30.0,21.0,0.15412773350015918,0.6000685653282836,0.8071606510129511,0.6530329175127919,-37.0,-28.0,7.0,37.0,28.0,7.0,15,15,15
01057000,IC-CMA-ES,IC-CMA-ES,test,0.251157672769098,S3,0.21484142531179473,31.0,21.0,0.11898280272727424,0.4768080506968684,0.6916494760086631,0.5726666732813889,-41.0,-31.0,10.0,41.0,31.0,10.0,15,15,15
01073000,IC-CMA-ES,IC-CMA-ES,test,0.17503243505174,S3,0.04746169687305912,10.0,-2.0,0.0007216664143494533,0.7520816024157924,0.7995432992888515,0.798821632874502,-19.0,-7.0,9.0,19.0,7.0,9.0,15,15,15
01078000,IC-CMA-ES,IC-CMA-ES,test,0.23971852199071,S3,0.17774805212698486,28.0,-6.0,0.12686166671804588,0.637360900891761,0.8151089530187459,0.6882472863007,-37.0,3.0,9.0,37.0,3.0,9.0,15,15,15
01123000,IC-CMA-ES,IC-CMA-ES,test,0.136053399026134,S2,5.997535278479127e-05,7.0,6.0,-0.011553175455772835,0.8436964824087728,0.8437564577615576,0.8553096332173304,-10.0,-9.0,3.0,10.0,9.0,3.0,15,15,15
