table,paradigm,period,metric,stratum,n_basins,median,q25,q75,iqr,ci_low,ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,bootstrap_draws,seed,role,description
tgd_control_overall,IC-CMA-ES,test,delta_absCT_TGD_CN,all,531,1.0,-1.0,5.0,6.0,0.0,1.0,nan,nan,nan,500,20305475,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,IC-CMA-ES,test,delta_absCT_TGD_CN,S1,165,0.0,-1.0,1.0,2.0,0.0,1.0,nan,nan,nan,500,20288183,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,IC-CMA-ES,test,delta_absCT_TGD_CN,S2,156,0.0,-1.0,3.0,4.0,0.0,1.0,nan,nan,nan,500,20266972,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,IC-CMA-ES,test,delta_absCT_TGD_CN,S3,121,-1.0,-6.0,5.0,11.0,-2.0,1.0,nan,nan,nan,500,20305547,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,IC-CMA-ES,test,delta_absCT_TGD_CN,S4,34,6.0,0.25,24.0,23.75,3.0,15.524999999999977,nan,nan,nan,500,20348438,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,IC-CMA-ES,test,delta_absCT_TGD_CN,S5,55,10.0,1.0,17.5,16.5,7.0,13.0,nan,nan,nan,500,20339438,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_continuous_association,IC-CMA-ES,test,delta_absCT_TGD_CN,continuous_frac_snow,531,nan,nan,nan,nan,nan,nan,0.2204879028442273,0.14050876647075805,0.30663545218576577,500,20355799,secondary_output_structural_control,Spearman rho between frac_snow and delta_absCT_TGD_CN
tgd_control_endpoint_S5_minus_S1,IC-CMA-ES,test,delta_absCT_TGD_CN,S5_minus_S1,220,10.0,nan,nan,nan,7.0,13.0,nan,nan,nan,500,20307736,secondary_output_structural_control,median(delta_absCT_TGD_CN in S5) - median(delta_absCT_TGD_CN in S1)
tgd_control_overall,IC-CMA-ES,test,delta_KGE_TGD_CN,all,531,0.012819866072071195,-0.007092380150135469,0.07256477533795619,0.07965715548809166,0.008429334331408467,0.01721711242363244,nan,nan,nan,500,20328291,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,IC-CMA-ES,test,delta_KGE_TGD_CN,S1,165,-0.000447722014746188,-0.009272153725915722,0.012178604724994102,0.021450758450909824,-0.0029779353685511767,0.0017004193831120507,nan,nan,nan,500,20317610,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,IC-CMA-ES,test,delta_KGE_TGD_CN,S2,156,0.005843173681068459,-0.009617058922651495,0.02729345007380457,0.036910508996456065,0.001251597181230602,0.010236371061829508,nan,nan,nan,500,20278110,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,IC-CMA-ES,test,delta_KGE_TGD_CN,S3,121,0.06719167998792586,0.018843759278205585,0.11236809027979844,0.09352433100159285,0.0564359158343255,0.08094866702793062,nan,nan,nan,500,20303623,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,IC-CMA-ES,test,delta_KGE_TGD_CN,S4,34,0.09527478746334739,-0.006028316916069337,0.16593017970217125,0.17195849661824059,0.013464700752381709,0.14929024742866082,nan,nan,nan,500,20354188,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,IC-CMA-ES,test,delta_KGE_TGD_CN,S5,55,0.16922405712035582,0.05873766593573326,0.2688586664972085,0.21012100056147526,0.10271162437655568,0.20351445084874153,nan,nan,nan,500,20293839,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_continuous_association,IC-CMA-ES,test,delta_KGE_TGD_CN,continuous_frac_snow,531,nan,nan,nan,nan,nan,nan,0.5090951016280244,0.43643489090635595,0.5791239574884167,500,20298409,secondary_output_structural_control,Spearman rho between frac_snow and delta_KGE_TGD_CN
tgd_control_endpoint_S5_minus_S1,IC-CMA-ES,test,delta_KGE_TGD_CN,S5_minus_S1,220,0.169671779135102,nan,nan,nan,0.10484764285883355,0.2121171738250762,nan,nan,nan,500,20324125,secondary_output_structural_control,median(delta_KGE_TGD_CN in S5) - median(delta_KGE_TGD_CN in S1)
tgd_control_overall,dPL-MLP,test,delta_absCT_TGD_CN,all,531,0.0,-2.0,3.0,5.0,0.0,0.0,nan,nan,nan,500,20347408,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,dPL-MLP,test,delta_absCT_TGD_CN,S1,165,0.0,-1.0,1.0,2.0,0.0,0.0,nan,nan,nan,500,20313376,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,dPL-MLP,test,delta_absCT_TGD_CN,S2,156,0.0,-1.0,3.0,4.0,0.0,0.0,nan,nan,nan,500,20270209,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,dPL-MLP,test,delta_absCT_TGD_CN,S3,121,-2.0,-7.0,3.0,10.0,-3.0,0.0,nan,nan,nan,500,20325844,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,dPL-MLP,test,delta_absCT_TGD_CN,S4,34,3.0,-3.0,9.0,12.0,-1.0,6.0,nan,nan,nan,500,20262067,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_stratified,dPL-MLP,test,delta_absCT_TGD_CN,S5,55,8.0,4.0,17.0,13.0,5.0,14.0,nan,nan,nan,500,20334400,secondary_output_structural_control,abs_CT_TGD - abs_CT_CN
tgd_control_continuous_association,dPL-MLP,test,delta_absCT_TGD_CN,continuous_frac_snow,531,nan,nan,nan,nan,nan,nan,0.2000753388713837,0.10739408804328601,0.2868157583535048,500,20339259,secondary_output_structural_control,Spearman rho between frac_snow and delta_absCT_TGD_CN
tgd_control_endpoint_S5_minus_S1,dPL-MLP,test,delta_absCT_TGD_CN,S5_minus_S1,220,8.0,nan,nan,nan,5.0,14.0,nan,nan,nan,500,20342750,secondary_output_structural_control,median(delta_absCT_TGD_CN in S5) - median(delta_absCT_TGD_CN in S1)
tgd_control_overall,dPL-MLP,test,delta_KGE_TGD_CN,all,531,0.009490664834271412,-0.010510423609592145,0.05132834306861628,0.06183876667820842,0.006931194853356248,0.013029154166254053,nan,nan,nan,500,20278683,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,dPL-MLP,test,delta_KGE_TGD_CN,S1,165,-0.0007816207493039906,-0.013905386029040345,0.009490664834271412,0.023396050863311757,-0.003611260709524222,0.0021995928803686267,nan,nan,nan,500,20288641,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,dPL-MLP,test,delta_KGE_TGD_CN,S2,156,0.004803223813314883,-0.011290378120181466,0.023077198769540147,0.03436757688972161,-0.0006718347698976279,0.010002694912307764,nan,nan,nan,500,20303216,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,dPL-MLP,test,delta_KGE_TGD_CN,S3,121,0.03471952530617162,-0.0019326052097652369,0.09404271499380312,0.09597532020356836,0.026952101148076533,0.050041582376305405,nan,nan,nan,500,20348697,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,dPL-MLP,test,delta_KGE_TGD_CN,S4,34,0.09110924221323902,0.013843648229140887,0.1407049121308324,0.1268612639016915,0.028961434672689745,0.12950238854333995,nan,nan,nan,500,20339634,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_stratified,dPL-MLP,test,delta_KGE_TGD_CN,S5,55,0.16239173567459786,0.06507797010668226,0.2507548056648652,0.18567683555818293,0.10991094135864321,0.21375426982626589,nan,nan,nan,500,20324961,secondary_output_structural_control,KGE_CN - KGE_TGD
tgd_control_continuous_association,dPL-MLP,test,delta_KGE_TGD_CN,continuous_frac_snow,531,nan,nan,nan,nan,nan,nan,0.47449104395769903,0.39242819739139184,0.5502531383933175,500,20353933,secondary_output_structural_control,Spearman rho between frac_snow and delta_KGE_TGD_CN
tgd_control_endpoint_S5_minus_S1,dPL-MLP,test,delta_KGE_TGD_CN,S5_minus_S1,220,0.16317335642390185,nan,nan,nan,0.10953944389317215,0.20832294592154452,nan,nan,nan,500,20299190,secondary_output_structural_control,median(delta_KGE_TGD_CN in S5) - median(delta_KGE_TGD_CN in S1)
