paradigm,seed_or_restart,metric,stratum,n_basins,median,q25,q75,ci_low,ci_high,spearman_rho,D_activity_S5_minus_S1,status
dPL-MLP,seed_42,delta_absCT_Base_CN,all,531,0.0,-1.0,7.0,0.0,1.0,nan,nan,PASS
dPL-MLP,seed_42,delta_absCT_Base_CN,S1,165,0.0,-1.0,1.0,0.0,0.0,nan,nan,PASS
dPL-MLP,seed_42,delta_absCT_Base_CN,S2,156,0.0,-2.0,2.0,-1.0,0.0,nan,nan,PASS
dPL-MLP,seed_42,delta_absCT_Base_CN,S3,121,1.0,-7.0,9.0,-1.0,4.0,nan,nan,PASS
dPL-MLP,seed_42,delta_absCT_Base_CN,S4,34,22.0,6.25,38.0,7.0,30.0,nan,nan,PASS
dPL-MLP,seed_42,delta_absCT_Base_CN,S5,55,45.0,34.5,53.0,40.0,47.0,nan,nan,PASS
dPL-MLP,seed_42,delta_absCT_Base_CN,continuous_frac_snow,531,nan,nan,nan,0.3113132007346139,0.4977386994806046,0.411017149502911,nan,PASS
dPL-MLP,seed_42,delta_absCT_Base_CN,S5_minus_S1,220,45.0,nan,nan,40.975,47.0,nan,45.0,PASS
dPL-MLP,seed_123,delta_absCT_Base_CN,all,531,1.0,-1.0,7.0,0.0,1.0,nan,nan,PASS
dPL-MLP,seed_123,delta_absCT_Base_CN,S1,165,0.0,-1.0,1.0,0.0,0.0,nan,nan,PASS
dPL-MLP,seed_123,delta_absCT_Base_CN,S2,156,0.0,-2.0,3.0,0.0,0.0,nan,nan,PASS
dPL-MLP,seed_123,delta_absCT_Base_CN,S3,121,3.0,-6.0,9.0,-2.0,5.0,nan,nan,PASS
dPL-MLP,seed_123,delta_absCT_Base_CN,S4,34,23.0,9.25,34.75,13.0,32.0,nan,nan,PASS
dPL-MLP,seed_123,delta_absCT_Base_CN,S5,55,46.0,36.5,55.0,40.0,49.025000000000006,nan,nan,PASS
dPL-MLP,seed_123,delta_absCT_Base_CN,continuous_frac_snow,531,nan,nan,nan,0.3861813594391892,0.5612370880001908,0.46475044566136686,nan,PASS
dPL-MLP,seed_123,delta_absCT_Base_CN,S5_minus_S1,220,46.0,nan,nan,39.0,48.0,nan,46.0,PASS
dPL-MLP,seed_2026,delta_absCT_Base_CN,all,531,0.0,-1.0,8.0,0.0,1.0,nan,nan,PASS
dPL-MLP,seed_2026,delta_absCT_Base_CN,S1,165,0.0,-1.0,1.0,0.0,0.0,nan,nan,PASS
dPL-MLP,seed_2026,delta_absCT_Base_CN,S2,156,0.0,-2.0,4.0,0.0,0.0,nan,nan,PASS
dPL-MLP,seed_2026,delta_absCT_Base_CN,S3,121,2.0,-6.0,10.0,-2.0,4.0,nan,nan,PASS
dPL-MLP,seed_2026,delta_absCT_Base_CN,S4,34,26.0,12.0,36.5,14.0,34.0,nan,nan,PASS
dPL-MLP,seed_2026,delta_absCT_Base_CN,S5,55,46.0,37.0,55.0,40.0,50.025000000000006,nan,nan,PASS
dPL-MLP,seed_2026,delta_absCT_Base_CN,continuous_frac_snow,531,nan,nan,nan,0.3809262736311239,0.5492073484903527,0.4642490944824871,nan,PASS
dPL-MLP,seed_2026,delta_absCT_Base_CN,S5_minus_S1,220,46.0,nan,nan,41.95,50.0,nan,46.0,PASS
IC-CMA-ES,selected_restart,delta_absCT_Base_CN,canonical_audit,531,nan,nan,nan,nan,nan,nan,nan,PASS: IC uses train-period selected restart; stable canonical definition
