table,paradigm,period,metric,stratum,n_basins,median,q25,q75,iqr,ci_low,ci_high,bootstrap_draws,seed,description
overall_test_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,all,531,2.0,-1.0,11.0,12.0,1.0,2.0,1000,20274209,abs_CT_Base - abs_CT_CN
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S1,165,0.0,-1.0,2.0,3.0,0.0,0.0,1000,20284965,abs_CT_Base - abs_CT_CN
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S2,156,1.0,-1.0,4.0,5.0,0.0,2.0,1000,20318339,abs_CT_Base - abs_CT_CN
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S3,121,7.0,-2.0,14.0,16.0,2.0,9.0,1000,20292350,abs_CT_Base - abs_CT_CN
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S4,34,26.0,15.0,36.0,21.0,16.0,31.049999999999955,1000,20355390,abs_CT_Base - abs_CT_CN
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S5,55,47.0,38.5,61.0,22.5,44.0,51.0,1000,20349842,abs_CT_Base - abs_CT_CN
overall_test_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,all,531,0.02354613777865644,-0.0020330044029374106,0.13548301631196913,0.13751602071490654,0.01627955588103336,0.036885910698223556,1000,20276713,KGE_CN - KGE_Base
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S1,165,7.353456106840017e-05,-0.012226897685409965,0.012627091473380259,0.024853989158790224,-0.0023661531697833915,0.002599999295610167,1000,20347102,KGE_CN - KGE_Base
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S2,156,0.012272664640928688,-0.0029443859748420065,0.043134289518866,0.046078675493708005,0.007927537859649059,0.01844528354211339,1000,20359391,KGE_CN - KGE_Base
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S3,121,0.11224859227883455,0.04896248801793057,0.1932149541855679,0.14425246616763732,0.0973650919586121,0.12889345637959093,1000,20357782,KGE_CN - KGE_Base
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S4,34,0.18498855992099306,0.09517708376528392,0.4228938776751592,0.3277167939098753,0.11549254955105626,0.32178893927760255,1000,20304511,KGE_CN - KGE_Base
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S5,55,0.6703158177827705,0.4876130723293771,0.7944122882029462,0.30679921587356906,0.5660365066227713,0.7547642237171935,1000,20278696,KGE_CN - KGE_Base
overall_test_contrast,IC-CMA-ES,test,delta_absCT_TGD_CN,all,531,1.0,-1.0,5.0,6.0,0.0,1.0,1000,20329280,abs_CT_TGD - abs_CT_CN
