table,paradigm,period,metric,stratum,n_basins,estimate_median,ci_low,ci_high
overall_test_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,all,531,2.0,1.0,2.0
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S1,165,0.0,0.0,0.0
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S2,156,1.0,0.0,2.0
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S3,121,7.0,2.0,9.0
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S4,34,26.0,16.0,31.049999999999955
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_Base_CN,S5,55,47.0,44.0,51.0
overall_test_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,all,531,0.02354613777865644,0.01627955588103336,0.036885910698223556
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S1,165,7.353456106840017e-05,-0.0023661531697833915,0.002599999295610167
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S2,156,0.012272664640928688,0.007927537859649059,0.01844528354211339
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S3,121,0.11224859227883455,0.0973650919586121,0.12889345637959093
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S4,34,0.18498855992099306,0.11549254955105626,0.32178893927760255
snow_stratified_contrast,IC-CMA-ES,test,delta_KGE_Base_CN,S5,55,0.6703158177827705,0.5660365066227713,0.7547642237171935
overall_test_contrast,IC-CMA-ES,test,delta_absCT_TGD_CN,all,531,1.0,0.0,1.0
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_TGD_CN,S1,165,0.0,0.0,1.0
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_TGD_CN,S2,156,0.0,0.0,1.0
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_TGD_CN,S3,121,-1.0,-2.0,1.0
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_TGD_CN,S4,34,6.0,3.0,16.0
snow_stratified_contrast,IC-CMA-ES,test,delta_absCT_TGD_CN,S5,55,10.0,7.0,13.0
overall_test_contrast,dPL-MLP,test,delta_absCT_Base_CN,all,531,0.0,0.0,1.0
snow_stratified_contrast,dPL-MLP,test,delta_absCT_Base_CN,S1,165,0.0,0.0,0.0
snow_stratified_contrast,dPL-MLP,test,delta_absCT_Base_CN,S2,156,0.0,0.0,0.0
snow_stratified_contrast,dPL-MLP,test,delta_absCT_Base_CN,S3,121,2.0,-2.0,4.0
snow_stratified_contrast,dPL-MLP,test,delta_absCT_Base_CN,S4,34,23.0,10.5,29.074999999999932
snow_stratified_contrast,dPL-MLP,test,delta_absCT_Base_CN,S5,55,46.0,40.0,48.0
overall_test_contrast,dPL-MLP,test,delta_KGE_Base_CN,all,531,0.015742390494070335,0.012341995054791166,0.022257657211392723
snow_stratified_contrast,dPL-MLP,test,delta_KGE_Base_CN,S1,165,-0.0014959681704411754,-0.004555848655337411,0.0008927935655416164
snow_stratified_contrast,dPL-MLP,test,delta_KGE_Base_CN,S2,156,0.0063398135784046294,0.00035417008576421605,0.012341995054791166
snow_stratified_contrast,dPL-MLP,test,delta_KGE_Base_CN,S3,121,0.07978192804355433,0.06686969677344679,0.09473508702837363
snow_stratified_contrast,dPL-MLP,test,delta_KGE_Base_CN,S4,34,0.17924288344277595,0.1458381732482208,0.2177095812165133
snow_stratified_contrast,dPL-MLP,test,delta_KGE_Base_CN,S5,55,0.6390206539261183,0.5858908180782573,0.7163700521639056
overall_test_contrast,dPL-MLP,test,delta_absCT_TGD_CN,all,531,0.0,0.0,0.0
snow_stratified_contrast,dPL-MLP,test,delta_absCT_TGD_CN,S1,165,0.0,0.0,0.0
snow_stratified_contrast,dPL-MLP,test,delta_absCT_TGD_CN,S2,156,0.0,0.0,0.0
snow_stratified_contrast,dPL-MLP,test,delta_absCT_TGD_CN,S3,121,-2.0,-4.0,0.0
snow_stratified_contrast,dPL-MLP,test,delta_absCT_TGD_CN,S4,34,3.0,-1.0,7.0
snow_stratified_contrast,dPL-MLP,test,delta_absCT_TGD_CN,S5,55,8.0,5.0,13.0
