paradigm,structure,kge_threshold,ct_threshold,denominator_type,numerator,conditional_denominator,conditional_prevalence,conditional_ci_low,conditional_ci_high,all_valid_denominator,joint_prevalence,joint_ci_low,joint_ci_high,n_kge_pass,fraction_kge_pass,n_ct_acceptable,fraction_ct_acceptable,n_timing_large,fraction_timing_large
IC-CMA-ES,Base,0.4,10,structure_specific,146,425,0.34352941176470586,0.30176914803029625,0.3867844557908741,531,0.2749529190207156,0.24105461393596986,0.30983992467043314,425,0.800376647834275,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.4,10,common_all_structures_pass,144,415,0.3469879518072289,0.303930608918384,0.39016949152542374,531,0.2711864406779661,nan,nan,415,0.7815442561205274,271,0.653012048192771,144,0.3469879518072289
IC-CMA-ES,Base,0.4,15,structure_specific,93,425,0.2188235294117647,0.18075454369682908,0.2527011009321761,531,0.1751412429378531,0.14491525423728815,0.2015065913370998,425,0.800376647834275,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.4,15,common_all_structures_pass,92,415,0.2216867469879518,0.18302632816725853,0.25666754640626377,531,0.17325800376647835,nan,nan,415,0.7815442561205274,323,0.7783132530120482,92,0.2216867469879518
IC-CMA-ES,Base,0.4,20,structure_specific,61,425,0.14352941176470588,0.10927927050882659,0.1788973597740243,531,0.11487758945386065,0.08851224105461393,0.14124293785310735,425,0.800376647834275,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.4,20,common_all_structures_pass,60,415,0.14457831325301204,0.11080362318017026,0.18083138974406812,531,0.11299435028248588,nan,nan,415,0.7815442561205274,355,0.8554216867469879,60,0.14457831325301204
IC-CMA-ES,Base,0.5,10,structure_specific,126,391,0.32225063938618925,0.27891959798994975,0.3696131912864896,531,0.23728813559322035,0.20240112994350282,0.2730696798493409,391,0.736346516007533,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.5,10,common_all_structures_pass,124,382,0.32460732984293195,0.2790029254704898,0.3726067913385827,531,0.2335216572504708,nan,nan,382,0.71939736346516,258,0.675392670157068,124,0.32460732984293195
IC-CMA-ES,Base,0.5,15,structure_specific,76,391,0.19437340153452684,0.1565089285714286,0.23368527797661656,531,0.1431261770244821,0.11487758945386065,0.1713747645951036,391,0.736346516007533,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.5,15,common_all_structures_pass,76,382,0.19895287958115182,0.15899467209210544,0.23803475935828877,531,0.1431261770244821,nan,nan,382,0.71939736346516,306,0.8010471204188482,76,0.19895287958115182
IC-CMA-ES,Base,0.5,20,structure_specific,47,391,0.12020460358056266,0.08712265746566539,0.15575034870063134,531,0.08851224105461393,0.06492467043314501,0.11487758945386065,391,0.736346516007533,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.5,20,common_all_structures_pass,47,382,0.12303664921465969,0.08982655627750995,0.15933991482771967,531,0.08851224105461393,nan,nan,382,0.71939736346516,335,0.8769633507853403,47,0.12303664921465969
IC-CMA-ES,Base,0.6,10,structure_specific,98,331,0.29607250755287007,0.2461508962304349,0.34796634615384614,531,0.18455743879472694,0.15254237288135594,0.22033898305084745,331,0.623352165725047,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.6,10,common_all_structures_pass,94,321,0.29283489096573206,0.24527409459726895,0.3456857869616165,531,0.17702448210922786,nan,nan,321,0.6045197740112994,227,0.7071651090342679,94,0.29283489096573206
IC-CMA-ES,Base,0.6,15,structure_specific,56,331,0.1691842900302115,0.12773315503407817,0.21281897926634766,531,0.10546139359698682,0.08097928436911488,0.1318267419962335,331,0.623352165725047,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.6,15,common_all_structures_pass,55,321,0.17133956386292834,0.1291774081774082,0.2168562708102109,531,0.10357815442561205,nan,nan,321,0.6045197740112994,266,0.8286604361370716,55,0.17133956386292834
IC-CMA-ES,Base,0.6,20,structure_specific,36,331,0.10876132930513595,0.07726521164021163,0.14548409794539824,531,0.06779661016949153,0.047080979284369114,0.0903954802259887,331,0.623352165725047,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.6,20,common_all_structures_pass,36,321,0.11214953271028037,0.0790411690035197,0.1498043186199108,531,0.06779661016949153,nan,nan,321,0.6045197740112994,285,0.8878504672897196,36,0.11214953271028037
IC-CMA-ES,Base,0.7,10,structure_specific,59,237,0.2489451476793249,0.20114183951393252,0.30770453175516466,531,0.1111111111111111,0.08851224105461393,0.1393596986817326,237,0.4463276836158192,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.7,10,common_all_structures_pass,57,223,0.2556053811659193,0.20541666666666666,0.31695846413909684,531,0.10734463276836158,nan,nan,223,0.4199623352165725,166,0.7443946188340808,57,0.2556053811659193
IC-CMA-ES,Base,0.7,15,structure_specific,27,237,0.11392405063291139,0.07630522088353414,0.15494768891912025,531,0.05084745762711865,0.03389830508474576,0.07156308851224105,237,0.4463276836158192,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.7,15,common_all_structures_pass,25,223,0.11210762331838565,0.07621076233183857,0.1541721902315754,531,0.047080979284369114,nan,nan,223,0.4199623352165725,198,0.8878923766816144,25,0.11210762331838565
IC-CMA-ES,Base,0.7,20,structure_specific,15,237,0.06329113924050633,0.03586711711711712,0.09599172118863993,531,0.02824858757062147,0.015065913370998116,0.04331450094161959,237,0.4463276836158192,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.7,20,common_all_structures_pass,15,223,0.06726457399103139,0.03872889305816135,0.10297431204241353,531,0.02824858757062147,nan,nan,223,0.4199623352165725,208,0.9327354260089686,15,0.06726457399103139
IC-CMA-ES,Base,0.8,10,structure_specific,20,100,0.2,0.1326959544879899,0.28,531,0.03766478342749529,0.02448210922787194,0.054613935969868174,100,0.18832391713747645,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.8,10,common_all_structures_pass,18,92,0.1956521739130435,0.12760611205432937,0.28005179648570677,531,0.03389830508474576,nan,nan,92,0.17325800376647835,74,0.8043478260869565,18,0.1956521739130435
IC-CMA-ES,Base,0.8,15,structure_specific,7,100,0.07,0.023529411764705882,0.12070652173913039,531,0.013182674199623353,0.003766478342749529,0.022598870056497175,100,0.18832391713747645,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.8,15,common_all_structures_pass,5,92,0.05434782608695652,0.012040668119099492,0.10284166005815489,531,0.009416195856873822,nan,nan,92,0.17325800376647835,87,0.9456521739130435,5,0.05434782608695652
IC-CMA-ES,Base,0.8,20,structure_specific,1,100,0.01,0.0,0.034942791762013724,531,0.0018832391713747645,0.0,0.005649717514124294,100,0.18832391713747645,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.8,20,common_all_structures_pass,1,92,0.010869565217391304,0.0,0.038287545787545785,531,0.0018832391713747645,nan,nan,92,0.17325800376647835,91,0.9891304347826086,1,0.010869565217391304
IC-CMA-ES,TGD,0.4,10,structure_specific,136,479,0.2839248434237996,0.24116424116424118,0.3204375,531,0.256120527306968,0.2184557438794727,0.2900188323917137,479,0.9020715630885122,365,0.687382297551789,166,0.3126177024482109
IC-CMA-ES,TGD,0.4,10,common_all_structures_pass,100,415,0.24096385542168675,0.19708506703652334,0.28005159705159705,531,0.18832391713747645,nan,nan,415,0.7815442561205274,315,0.7590361445783133,100,0.24096385542168675
IC-CMA-ES,TGD,0.4,15,structure_specific,72,479,0.15031315240083507,0.11857006941752705,0.18118252870673035,531,0.13559322033898305,0.10734463276836158,0.16483050847457623,479,0.9020715630885122,434,0.8173258003766478,97,0.18267419962335216
IC-CMA-ES,TGD,0.4,15,common_all_structures_pass,50,415,0.12048192771084337,0.09199469482388414,0.15301852340461256,531,0.09416195856873823,nan,nan,415,0.7815442561205274,365,0.8795180722891566,50,0.12048192771084337
IC-CMA-ES,TGD,0.4,20,structure_specific,41,479,0.08559498956158663,0.062028362422997946,0.10994868769219766,531,0.07721280602636535,0.05649717514124294,0.09981167608286252,479,0.9020715630885122,469,0.8832391713747646,62,0.1167608286252354
IC-CMA-ES,TGD,0.4,20,common_all_structures_pass,30,415,0.07228915662650602,0.04854368932038835,0.09717635522843376,531,0.05649717514124294,nan,nan,415,0.7815442561205274,385,0.927710843373494,30,0.07228915662650602
IC-CMA-ES,TGD,0.5,10,structure_specific,120,449,0.267260579064588,0.2242152466367713,0.3044464268945441,531,0.22598870056497175,0.18832391713747645,0.26087570621468925,449,0.8455743879472694,365,0.687382297551789,166,0.3126177024482109
IC-CMA-ES,TGD,0.5,10,common_all_structures_pass,88,382,0.23036649214659685,0.18844414054281505,0.2709466686779619,531,0.1657250470809793,nan,nan,382,0.71939736346516,294,0.7696335078534031,88,0.23036649214659685
IC-CMA-ES,TGD,0.5,15,structure_specific,61,449,0.1358574610244989,0.10508630353585048,0.16831218104321566,531,0.11487758945386065,0.08851224105461393,0.1431261770244821,449,0.8455743879472694,434,0.8173258003766478,97,0.18267419962335216
IC-CMA-ES,TGD,0.5,15,common_all_structures_pass,42,382,0.1099476439790576,0.08120283018867924,0.14229168468390557,531,0.07909604519774012,nan,nan,382,0.71939736346516,340,0.8900523560209425,42,0.1099476439790576
IC-CMA-ES,TGD,0.5,20,structure_specific,34,449,0.0757238307349666,0.05107151698954014,0.09822573653607568,531,0.064030131826742,0.04331450094161959,0.0847457627118644,449,0.8455743879472694,469,0.8832391713747646,62,0.1167608286252354
