shared_index,parameter_name,symbol,display_name,base_index,cn_index,tgd_index,lower_bound,upper_bound,range,unit,process,description,same_semantic_across_structures,same_bounds_across_structures
0,xaj_k,k,k,0,2,2,0.5,2.0,1.5,-,soil,Ratio of potential ET to reference crop evaporation,True,True
1,xaj_b,b,b,1,3,3,0.1,2.0,1.9,-,soil,Exponent of tension water capacity curve,True,True
2,xaj_im,im,im,2,4,4,0.0,0.3,0.3,-,soil,Impervious area fraction,True,True
3,xaj_um,um,um,3,5,5,5.0,50.0,45.0,mm,soil,Upper layer tension water capacity,True,True
4,xaj_lm,lm,lm,4,6,6,20.0,200.0,180.0,mm,soil,Lower layer tension water capacity,True,True
5,xaj_dm,dm,dm,5,7,7,20.0,200.0,180.0,mm,soil,Deep layer tension water capacity,True,True
6,xaj_c,c,c,6,8,8,0.05,0.3,0.25,-,soil,Deep layer evaporation coefficient,True,True
7,xaj_sm,sm,sm,7,9,9,5.0,100.0,95.0,mm,routing,Areal mean free water capacity of surface layer,True,True
8,xaj_ex,ex,ex,8,10,10,0.1,2.0,1.9,-,routing,Exponent of free water capacity curve,True,True
9,xaj_ki,ki,ki,9,11,11,0.0,0.7,0.7,1/day,routing,Outflow coefficient for interflow,True,True
10,xaj_kg,kg,kg,10,12,12,0.0,0.7,0.7,1/day,routing,Outflow coefficient for groundwater,True,True
11,xaj_ci,ci,ci,11,13,13,0.1,1.0,0.9,-,routing,Recession constant for interflow reservoir,True,True
12,xaj_cg,cg,cg,12,14,14,0.9,1.0,0.09999999999999998,-,routing,Recession constant for groundwater reservoir,True,True
13,xaj_a,a,a (UH shape),13,15,15,0.0,2.9,2.9,-,routing,Gamma-UH shape parameter,True,True
14,xaj_theta,theta,theta (UH scale),14,16,16,0.0,6.5,6.5,day,routing,Gamma-UH scale parameter,True,True
