table,paradigm,contrast,metric,stratum,n_basins,median,q25,q75,iqr,ci_low,ci_high,slope_beta,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high
canonical_vector_15D_displacement,IC,Base-CN,D_rms,Full531,531,0.37152765403510818,0.27088585237759871,0.46279870880537077,0.19191285642777206,0.35687151459710764,0.3862524459125421,0.33321716598799511,0.2864041559821785,0.37272088131229125,0.43233235412294357,0.35710502541249778,0.49360983569501093
canonical_vector_15D_displacement,IC,Base-CN,D_rms,ExcludeS5,476,0.352589079053022,0.26064594209467112,0.44077817412562859,0.18013223203095746,0.34069929050522857,0.36869369178171646,0.40392374808965392,0.30065967607978084,0.50574197903276996,0.30378479528348579,0.2211872813340737,0.38447290121591676
canonical_vector_15D_displacement_strata,IC,Base-CN,D_rms,S1,165,0.31102565818175543,0.19265325756217874,0.39129588487045075,0.19864262730827201,0.27496238857246891,0.32937853363491154,,,,,,
canonical_vector_15D_displacement_strata,IC,Base-CN,D_rms,S2,156,0.34280139855607505,0.25958151124781415,0.44638568602950318,0.18680417478168904,0.31451601269538321,0.37051935104107392,,,,,,
canonical_vector_15D_displacement_strata,IC,Base-CN,D_rms,S3,121,0.39789755079873834,0.32700414960864654,0.47372758977933199,0.14672344017068545,0.37144337691567614,0.41014745242912187,,,,,,
canonical_vector_15D_displacement_strata,IC,Base-CN,D_rms,S4,34,0.4605687543294219,0.35410207515796721,0.52669612236922481,0.1725940472112576,0.39317027850552344,0.50009481996602623,,,,,,
canonical_vector_15D_displacement_strata,IC,Base-CN,D_rms,S5,55,0.5168553951013104,0.45450720894554636,0.58193801053120997,0.12743080158566361,0.47278769681761712,0.54485758573987209,,,,,,
canonical_vector_15D_displacement,IC,Base-CN,D_euclidean,Full531,531,1.4389204167334848,1.0491363949816406,1.792411691849497,0.74327529686785643,1.3834605310531445,1.4959492904511567,1.2905445345419388,1.1272927553078123,1.4766799679208695,0.43233235412294357,0.3583369769308033,0.49725868441795168
canonical_vector_15D_displacement,IC,Base-CN,D_euclidean,ExcludeS5,476,1.3655716312269646,1.009477392989204,1.7071265277602723,0.69764913477106827,1.3215143844319246,1.4300130349085367,1.5643899494889115,1.1612319735918448,1.9453268838114832,0.30378479528348579,0.2245710312270825,0.38227180299631014
canonical_vector_15D_displacement_strata,IC,Base-CN,D_euclidean,S1,165,1.2045971943811393,0.74614285813092629,1.5154824455427505,0.76933958741182418,1.0533285905636749,1.2772257476734108,,,,,,
