paradigm,stratum,n_basins,base_cn_prevalence,base_cn_prevalence_ci_lower,base_cn_prevalence_ci_upper,base_tgd_prevalence,base_tgd_prevalence_ci_lower,base_tgd_prevalence_ci_upper
IC,Full531,531,0.63088512241054617,0.59312617702448212,0.67617702448210915,0.63653483992467041,0.5950564971751412,0.67612994350282485
IC,ExcludeS5,476,0.59033613445378152,0.55031512605042021,0.63030462184873948,0.60084033613445376,0.55246848739495802,0.64501050420168071
IC,S1,165,0.46666666666666667,0.3937878787878788,0.53939393939393943,0.51515151515151514,0.43636363636363634,0.58181818181818179
IC,S2,156,0.52564102564102566,0.44230769230769229,0.60272435897435894,0.57051282051282048,0.49983974358974359,0.65384615384615385
IC,S3,121,0.74380165289256195,0.66900826446280992,0.81838842975206616,0.71074380165289253,0.62809917355371903,0.79359504132231407
IC,S4,34,0.94117647058823528,0.8529411764705882,1,0.76470588235294112,0.61764705882352944,0.88235294117647056
IC,S5,55,0.98181818181818181,0.94545454545454544,1,0.94545454545454544,0.87272727272727268,1
dPL,Full531,531,0.83804143126177022,0.80974576271186438,0.871939736346516,0.79284369114877584,0.76078154425612043,0.82485875706214684
dPL,ExcludeS5,476,0.83403361344537819,0.80042016806722693,0.86565126050420171,0.78361344537815125,0.74579831932773111,0.8172268907563025
dPL,S1,165,0.70303030303030301,0.64242424242424245,0.76984848484848489,0.70909090909090911,0.64242424242424245,0.76969696969696966
dPL,S2,156,0.87179487179487181,0.82035256410256407,0.92323717948717954,0.75641025641025639,0.69230769230769229,0.81442307692307703
dPL,S3,121,0.92561983471074383,0.88429752066115708,0.96694214876033058,0.88429752066115708,0.83471074380165289,0.93409090909090908
dPL,S4,34,0.97058823529411764,0.88235294117647056,1,0.91176470588235292,0.82352941176470584,1
dPL,S5,55,0.87272727272727268,0.78181818181818186,0.94545454545454544,0.87272727272727268,0.76363636363636367,0.94545454545454544
