paradigm,omitted_parameter,omitted_index,dimension,n_basins,excess_slope_beta,spearman_rho,prevalence_between_gt_within,median_excess,S1_excess_median,S2_excess_median,S3_excess_median,S4_excess_median,S5_excess_median
IC,none_full15,-1,15,531,0.15424736864090052,0.54850386912744575,0.63088512241054617,0.007462556745992055,-0.0018112891613693005,0.0021614589377403626,0.012313983705670828,0.042986916305741446,0.082933505321378442
dPL,none_full15,-1,15,531,0.19740194186268109,0.44091554219904205,0.83804143126177022,0.06105662991153224,0.018614034456662154,0.055701699831684805,0.12667214869502766,0.13217237163706033,0.12519821335216616
IC,xaj_k,0,14,531,0.1597514478165562,0.56232377173644221,0.61770244821092279,0.0073151050589421729,-0.0024021742976259031,0.00069354954792641421,0.011577966001515505,0.044256137931864725,0.084159671478965747
dPL,xaj_k,0,14,531,0.20448932640874559,0.4426551025128308,0.83804143126177022,0.063155834295170271,0.019393035648679002,0.057778605767963842,0.13112917112469946,0.13625298381591894,0.13142412491491484
IC,xaj_b,1,14,531,0.15008213964820524,0.52474505310565067,0.60263653483992463,0.0066744496927277353,-0.0032977541469331739,-0.001280998596518923,0.010353818124172687,0.049780497658143574,0.088137016843013505
dPL,xaj_b,1,14,531,0.19721782992058587,0.42542669080576501,0.83050847457627119,0.061997444133860574,0.019709122009119173,0.062885977865561216,0.12357508043134194,0.14086769955729508,0.1296029515764571
IC,xaj_im,2,14,531,0.15361532533947336,0.53688695005995302,0.64783427495291901,0.0079355952054936396,0.00090250869231811581,0.00020424884482966865,0.014108700500779059,0.045077433987530502,0.08447460591454925
dPL,xaj_im,2,14,531,0.19897182429398902,0.44147666741821062,0.83804143126177022,0.0631997192636711,0.019173212237863224,0.058063082724683503,0.13111541403569799,0.13406454989558614,0.13037488775091638
IC,xaj_um,3,14,531,0.15021778970437369,0.54271588773874968,0.61393596986817323,0.0070116860201032694,-0.0015788140235157289,-0.00077135585373766524,0.014314493264851791,0.052399500384846615,0.083038766075039794
dPL,xaj_um,3,14,531,0.16512070399766832,0.41514650169189232,0.84557438794726936,0.059696606620998571,0.018496619572757861,0.063218444297412996,0.12638879681310014,0.14226879640166237,0.10389730653072438
IC,xaj_lm,4,14,531,0.15114575740300282,0.53766672255778059,0.6271186440677966,0.0063087578586962789,-0.0034088253161996818,0.0007695099518090498,0.010742385122321285,0.044778539099229742,0.085668020570153491
dPL,xaj_lm,4,14,531,0.20418554736487804,0.44120071339312888,0.82109227871939738,0.06456609667769897,0.017815364113403204,0.05826653291901715,0.13833637354246375,0.13791909349251452,0.13240960665179333
IC,xaj_dm,5,14,531,0.1519694391277793,0.54356739385622532,0.60263653483992463,0.007191248381894777,-0.0019207118254258582,-0.0021623375425299518,0.01434671520276759,0.049687978559743579,0.084552247215590737
dPL,xaj_dm,5,14,531,0.20611281934195433,0.44033197517707851,0.83804143126177022,0.063203824413010312,0.017633244287775379,0.05729130001280483,0.13111647325338649,0.13475778259663052,0.14409677805637838
IC,xaj_c,6,14,531,0.16183640269095556,0.54802577857861823,0.61016949152542377,0.0066531816438876179,-0.0030675799886197286,-6.977542108260737e-05,0.012623257494067064,0.045938840787250496,0.091281659510717206
dPL,xaj_c,6,14,531,0.19973205520416429,0.44725583238437999,0.839924670433145,0.063654718207734121,0.021556967708156211,0.060497333245989986,0.12416063873136481,0.14015545891164011,0.14145816315920517
IC,xaj_sm,7,14,531,0.15424164608592816,0.54995192645278768,0.61393596986817323,0.0059078718387266527,-0.00095668428109957349,-0.00055053391433490528,0.013062483030992722,0.044093668078593384,0.085831696951573777
dPL,xaj_sm,7,14,531,0.19664682975376963,0.43727339790401848,0.83427495291902076,0.059999089930057564,0.018016325915131637,0.057476973503746545,0.12758343058578245,0.13725676113416443,0.13100583395870144
IC,xaj_ex,8,14,531,0.16009967202650396,0.55090418023495336,0.6384180790960452,0.0067421834238849399,0.00026813708967227123,0.00026211975206041904,0.017259324793980679,0.052829935655341526,0.08981902457450136
dPL,xaj_ex,8,14,531,0.20670643630037741,0.43800171455400921,0.81544256120527303,0.058473051478481503,0.01559559021191631,0.051368986407260883,0.12965635514616866,0.13749520229423881,0.13022624003171868
