paradigm,contrast,snow_stratum,n_basins,mean_leverage,max_leverage,mean_cooks_distance,max_cooks_distance,mean_residual
IC,Base-CN,S1,165,0.0030341063837242151,0.0032886049289786974,0.00064452520519176328,0.011576040617888564,0.0047498747797957638
IC,Base-CN,S2,156,0.0022458884249373667,0.0025963646226946726,0.00050544426136118245,0.0094269365285131173,-0.0034157022442967452
IC,Base-CN,S3,121,0.0020140794337081317,0.002617868655541498,0.0010724519694474506,0.012826733417749059,-0.0029710615478718955
IC,Base-CN,S4,34,0.0040133961338435558,0.006770062427952684,0.0043550886633718254,0.049459880187898826,0.00081320255818032646
IC,Base-CN,S5,55,0.0139791776793802,0.02681067341095145,0.027474838634295281,0.30315969196856285,0.0014721776683337749
IC,Base-TGD,S1,165,0.0030341063837242151,0.0032886049289786974,0.00052987789609616623,0.0070042057860341157,0.0078572460818602165
IC,Base-TGD,S2,156,0.0022458884249373667,0.0025963646226946726,0.0002958624513001267,0.0029926115172269584,-0.0043159089878441878
IC,Base-TGD,S3,121,0.0020140794337081317,0.002617868655541498,0.00072704819047583866,0.0096242264262091197,-0.0059142633617161504
IC,Base-TGD,S4,34,0.0040133961338435558,0.006770062427952684,0.0065845403082512117,0.059030454606785104,-0.0075181695516712312
IC,Base-TGD,S5,55,0.0139791776793802,0.02681067341095145,0.035195401712716866,0.26364251233470865,0.0063287241840225029
dPL,Base-CN,S1,165,0.0030341063837242151,0.0032886049289786974,0.0011631846154170891,0.019208711541202003,-0.019606580343553701
dPL,Base-CN,S2,156,0.0022458884249373667,0.0025963646226946726,0.00072149011924735557,0.010320202907657557,-0.0039028642536300673
dPL,Base-CN,S3,121,0.0020140794337081317,0.002617868655541498,0.001278315857408142,0.0096745746146575402,0.037376920106339723
dPL,Base-CN,S4,34,0.0040133961338435558,0.006770062427952684,0.0029215988984843204,0.013227139635567259,0.040415293896748083
dPL,Base-CN,S5,55,0.0139791776793802,0.02681067341095145,0.013991027959652116,0.055311785622487744,-0.037323540820070611
dPL,Base-TGD,S1,165,0.0030341063837242151,0.0032886049289786974,0.0008078336844947083,0.011899114400466352,-0.015958434109046769
dPL,Base-TGD,S2,156,0.0022458884249373667,0.0025963646226946726,0.00084239568935939283,0.015703835831775374,-0.0059594918085590703
dPL,Base-TGD,S3,121,0.0020140794337081317,0.002617868655541498,0.0014614672130928855,0.0093774010477783703,0.037743120011029418
dPL,Base-TGD,S4,34,0.0040133961338435558,0.006770062427952684,0.0027356278261010999,0.019270868119660649,0.021589870675376294
dPL,Base-TGD,S5,55,0.0139791776793802,0.02681067341095145,0.014097143706324113,0.061772102821340207,-0.031602741348534892
