paradigm,comparison,stratum,n_basins,median_delta_excess,q25,q75,iqr,ci_lower,ci_upper,prop_positive,prop_positive_ci_lower,prop_positive_ci_upper,paired_bootstrap
IC,excess(Base-CN) - excess(Base-TGD),Full531,531,-0.0014459138799959,-0.018133823088245599,0.015927638198674751,0.03406146128692035,-0.0033812349426063908,0.001067790105113299,0.48210922787193972,0.43879472693032018,0.52641242937853105,True
IC,excess(Base-CN) - excess(Base-TGD),ExcludeS5,476,-0.00144794787406375,-0.016974325074116624,0.015517772345854074,0.032492097419970695,-0.0032739144178778922,0.0010553317093049677,0.47899159663865548,0.43167016806722691,0.52521008403361347,True
IC,excess(Base-CN) - excess(Base-TGD),S1,165,-0.0045704433239377,-0.019483892420754503,0.0125485966726768,0.032032489093431302,-0.0091242428038718973,0.00051634277395270003,0.44242424242424244,0.36363636363636365,0.51515151515151514,True
IC,excess(Base-CN) - excess(Base-TGD),S2,156,-0.00087347227937254997,-0.016833507447107498,0.014318432438324126,0.031151939885431624,-0.0030730611569403455,0.0029547227371874425,0.48717948717948717,0.40384615384615385,0.55769230769230771,True
IC,excess(Base-CN) - excess(Base-TGD),S3,121,-0.0012910596002764,-0.011652074049114201,0.015319591576239898,0.026971665625354101,-0.0046463342225937995,0.0019919892395869002,0.46280991735537191,0.36756198347107438,0.54979338842975189,True
IC,excess(Base-CN) - excess(Base-TGD),S4,34,0.01545156822866885,-0.0234097510899701,0.034395257007830429,0.05780500809780053,0.0011781200074326981,0.020502432723983596,0.67647058823529416,0.52941176470588236,0.82352941176470584,True
IC,excess(Base-CN) - excess(Base-TGD),S5,55,0.0017861944983366962,-0.045398189059170507,0.050673724256186811,0.096071913315357318,-0.024307570405030454,0.021905253647688402,0.50909090909090904,0.38181818181818183,0.63636363636363635,True
dPL,excess(Base-CN) - excess(Base-TGD),Full531,531,0.017713291459606005,-0.01329303864097375,0.065270428337500908,0.078563466978474661,0.012277786906172901,0.023619988643630341,0.64595103578154422,0.6054143126177024,0.68738229755178903,True
dPL,excess(Base-CN) - excess(Base-TGD),ExcludeS5,476,0.015983243369869046,-0.013552167675540074,0.062343454167773996,0.075895621843314068,0.009899511908832901,0.022165064541188419,0.6386554621848739,0.59973739495798317,0.6785714285714286,True
dPL,excess(Base-CN) - excess(Base-TGD),S1,165,0.0046756903620450985,-0.014711208839735502,0.034062869060874204,0.048774077900609704,-0.00039520322504780006,0.0091036849509952,0.5636363636363636,0.49090909090909091,0.64242424242424245,True
dPL,excess(Base-CN) - excess(Base-TGD),S2,156,0.028708128504407095,-0.00785872566263854,0.065231647974065707,0.073090373636704245,0.01687296409406731,0.036764450522723847,0.69230769230769229,0.62179487179487181,0.76282051282051277,True
dPL,excess(Base-CN) - excess(Base-TGD),S3,121,0.023892853966874988,-0.019182437981850042,0.076379127973994501,0.095561565955844543,0.015057885447038601,0.033391069054527198,0.65289256198347112,0.57024793388429751,0.73553719008264462,True
dPL,excess(Base-CN) - excess(Base-TGD),S4,34,0.036250629107461303,-0.0058503834243608544,0.12947660664766153,0.1353269900720224,0.0072036585673083964,0.10289752546759874,0.70588235294117652,0.55882352941176472,0.8529411764705882,True
dPL,excess(Base-CN) - excess(Base-TGD),S5,55,0.031727895262405797,-0.0020575096342220173,0.078712247984371264,0.080769757618593285,0.0064877981071594995,0.048997331833162801,0.70909090909090911,0.58181818181818179,0.83636363636363631,True
