paradigm,contrast,parameter,symbol,display_name,process,n,median_shift,q25,q75,iqr,ci95_low,ci95_high,slope_beta,beta,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,positive_fraction,negative_fraction,near_zero_fraction_0p01
IC,Base-CN,xaj_k,k,k,soil,531,-0.0030743713825116536,-0.042028422977903657,0.0032744174194869052,0.045302840397390562,-0.0067548272561683614,-7.3914094022992094e-05,-0.028459547829759839,-0.028459547829759839,-0.092387991306845829,0.031860378842706642,-0.12614252950031141,-0.21231168116727867,-0.03878347238035381,0.31073446327683618,0.54802259887005644,0.38041431261770242
IC,Base-CN,xaj_b,b,b,soil,531,0,-0.067995354807858122,0.037620333897691573,0.10561568870554969,0,0,-0.005931071089381827,-0.005931071089381827,-0.18449226625095541,0.19399073998478264,0.023066432132372749,-0.064592517530646515,0.11592493079394087,0.33709981167608288,0.42184557438794729,0.28813559322033899
IC,Base-CN,xaj_im,im,im,soil,531,0,0,0,0,0,0,-0.36347934760963779,-0.36347934760963779,-0.50157460172429991,-0.21219582803886947,-0.24768422263930071,-0.3211305237826047,-0.15946026078367176,0.13935969868173259,0.2335216572504708,0.64595103578154422
IC,Base-CN,xaj_um,um,um,soil,531,0,0,0.11313133775814044,0.11313133775814044,0,0,0.52112286207081493,0.52112286207081493,0.33450400531930902,0.7059450582534188,0.21637225356806561,0.13065355631712666,0.30213185939294762,0.31450094161958569,0.16384180790960451,0.53483992467043318
IC,Base-CN,xaj_lm,lm,lm,soil,531,0,0,0.33767720787129263,0.33767720787129263,0,2.8489013396804097e-05,0.40010784160696539,0.40010784160696539,0.23123045356288982,0.57206353257902276,0.18911648651184135,0.11485712782345618,0.26593488767774781,0.45951035781544258,0.22598870056497175,0.33709981167608288
IC,Base-CN,xaj_dm,dm,dm,soil,531,0,-0.1825076658020752,0.03102488543168376,0.21353255123375897,0,0,-0.53725957244827427,-0.53725957244827427,-0.7486178789793988,-0.27261691863299248,-0.1156765996577858,-0.20044081473641506,-0.018789562211666794,0.26741996233521659,0.33898305084745761,0.40866290018832391
IC,Base-CN,xaj_c,c,c,soil,531,0,-0.15150679753772345,0.26019749062683162,0.41170428816455507,0,0,0.27829852129453853,0.27829852129453853,0.048393191756154495,0.51842320896968153,0.084518020514040865,0.00055421830036239184,0.16984608669312642,0.3295668549905838,0.29001883239171372,0.38041431261770242
IC,Base-CN,xaj_sm,sm,sm,routing,531,0,-0.068800024971581622,0.057413581534699804,0.12621360650628144,-1.2438798389285932e-05,0,0.16148252342284225,0.16148252342284225,-0.007755983639478839,0.34793789789814794,0.10576840444748493,0.011502348694376947,0.19411344805114589,0.40301318267419961,0.4576271186440678,0.23163841807909605
IC,Base-CN,xaj_ex,ex,ex,routing,531,0,-0.14237050020780484,0.061439877094229184,0.20381037730203402,0,0,-0.37016101126465217,-0.37016101126465217,-0.56536258416731822,-0.19038446622052058,-0.077379245940286945,-0.15369840383483135,0.0037557502986465081,0.31073446327683618,0.37476459510357818,0.3408662900188324
IC,Base-CN,xaj_ki,ki,ki,routing,531,0,-0.23236624102590889,0.048514526079928427,0.28088076710583731,-0.0024932546595456558,0,-0.47456930334792741,-0.47456930334792741,-0.63804324971726367,-0.3121120311379631,-0.23669070985082841,-0.31039941877762145,-0.15697284992814162,0.35028248587570621,0.4632768361581921,0.23728813559322035
