paradigm,contrast,stratum,dependent_var,n_basins,slope,slope_ci_lower,slope_ci_upper,spearman_rho,spearman_ci_lower,spearman_ci_upper
IC,Base-CN,Full531,within_pooled,531,-0.023328128323375063,-0.048808242802266345,-0.0026414259990937307,-0.093511064930926882,-0.18527132413347699,-0.01218450128435389
IC,Base-CN,Full531,between_all,531,0.13091924031752519,0.11138417286183867,0.15067115415219784,0.37391049054919073,0.29392439298511031,0.45446494492869993
IC,Base-CN,Full531,excess,531,0.15424736864090052,0.13341392796458623,0.17691568058571636,0.54850386912744575,0.47507045810817666,0.61211204311229672
IC,Base-CN,ExcludeS5,within_pooled,476,-0.034022657820473021,-0.071787499534899921,0.0049911267353190299,-0.068850145775403174,-0.16708342710660901,0.014341169442051009
IC,Base-CN,ExcludeS5,between_all,476,0.10470671241783519,0.06338264804360573,0.14429454499826419,0.21504671897906927,0.12074151468848494,0.29829039372345478
IC,Base-CN,ExcludeS5,excess,476,0.13872937023830911,0.10875865986592835,0.16952568089161929,0.40574507082750338,0.3213269436413243,0.48069297576849934
IC,Base-TGD,Full531,within_pooled,531,-0.064881033025234069,-0.087392640460622617,-0.040788173842982486,-0.2065089884230451,-0.28507050688695634,-0.11688295158568573
IC,Base-TGD,Full531,between_all,531,0.088932250902219318,0.060272936639387251,0.1182800713142536,0.19237369833548437,0.099404734608806833,0.27002053438859325
IC,Base-TGD,Full531,excess,531,0.15381328392745308,0.12609041250544076,0.18844640538689617,0.43777905981056542,0.36451792530744609,0.51387518770011043
IC,Base-TGD,ExcludeS5,within_pooled,476,-0.053175688919432078,-0.097005847922252378,-0.011704911349044856,-0.11815839868471065,-0.20813737749594616,-0.028018238573792726
IC,Base-TGD,ExcludeS5,between_all,476,0.062351977582538,0.017081749984721197,0.11226791003761798,0.091472218905984407,-0.00087855961390215296,0.20064639153664046
IC,Base-TGD,ExcludeS5,excess,476,0.11552766650197105,0.073948214833473302,0.16258399166878543,0.28166597885688416,0.1806989841411869,0.3757722151820338
IC,TGD-CN,Full531,within_pooled,531,-0.028855699033833906,-0.048553011979762493,-0.010127451691773773,-0.041707208852099192,-0.13196699753015104,0.041446978470967996
IC,TGD-CN,Full531,between_all,531,0.087891017950404285,0.06823967331030531,0.10869737774908748,0.31556845567395125,0.23117414853839136,0.39922213714745891
IC,TGD-CN,Full531,excess,531,0.11674671698423816,0.097438752037573087,0.1359767716298744,0.43592368376449575,0.35413125268904166,0.50312338282925129
IC,TGD-CN,ExcludeS5,within_pooled,476,0.0032298121673769694,-0.034690270351663402,0.05256959066077288,0.051756330291788118,-0.034564048374346831,0.15267058366706696
IC,TGD-CN,ExcludeS5,between_all,476,0.092128944671438812,0.048707572940541739,0.13042944556611769,0.20650303795501887,0.11669735210898029,0.28903703766174227
IC,TGD-CN,ExcludeS5,excess,476,0.088899132504061465,0.064878975274146766,0.11211419365131708,0.28107281912022369,0.20027813616973009,0.36538544466414691
dPL,Base-CN,Full531,within_pooled,531,0.034076037756018501,0.012056997530166169,0.056427437667495736,0.093406870846521925,0.01197281057194468,0.17785219604544134
dPL,Base-CN,Full531,between_all,531,0.23147797961869954,0.17365701724073457,0.28849485825636162,0.44318865637428001,0.3616880670391901,0.5143224474295186
dPL,Base-CN,Full531,excess,531,0.19740194186268109,0.14630123860418126,0.26201288353805824,0.44091554219904205,0.36110487470517044,0.52156653653781671
dPL,Base-CN,ExcludeS5,within_pooled,476,0.055297689378463674,0.0071125769217899436,0.096007158231018214,0.045804037425085847,-0.056304870142242315,0.12944370867075419
dPL,Base-CN,ExcludeS5,between_all,476,0.48242595869773669,0.39153878906440404,0.56747729498592725,0.44812422551874065,0.37286725758447964,0.52135246333841412
dPL,Base-CN,ExcludeS5,excess,476,0.42712826931927295,0.32365219124038108,0.52490164476773316,0.46528313168814567,0.38363446072773266,0.53634503075608608
dPL,Base-TGD,Full531,within_pooled,531,0.058056578790536141,0.031408830736943935,0.092458924147967012,0.14656565076909267,0.059060997713460357,0.23950492943941934
dPL,Base-TGD,Full531,between_all,531,0.21430841811311621,0.16090808206545731,0.26643736446321198,0.37711950805027233,0.29963374898061729,0.44807255992015471
dPL,Base-TGD,Full531,excess,531,0.15625183932257988,0.10833825959285251,0.20468441494861514,0.38008735632060431,0.30565158684662236,0.44786638181757443
dPL,Base-TGD,ExcludeS5,within_pooled,476,0.13206106832390505,0.076325667181200874,0.18455494959989471,0.14345419690851111,0.045101414113645662,0.23880500812953254
dPL,Base-TGD,ExcludeS5,between_all,476,0.4730587231758554,0.38265148592792564,0.56196456989224242,0.3618295534193634,0.28491335774332971,0.4328033456226702
dPL,Base-TGD,ExcludeS5,excess,476,0.34099765485195055,0.26303425025695681,0.4314880301604046,0.38745859370118269,0.31067188178532451,0.45971079974375606
dPL,TGD-CN,Full531,within_pooled,531,0.062468432269905373,0.041446736041652069,0.089236504465229433,0.21497836449925511,0.13983655386095559,0.30198477922528949
dPL,TGD-CN,Full531,between_all,531,0.21543671692362773,0.15844249309444819,0.28072208036745272,0.43482283318810933,0.35916471255037469,0.50951702416277111
dPL,TGD-CN,Full531,excess,531,0.15296828465372253,0.1068170502723092,0.20477920205172767,0.42906859465290137,0.34948743251930559,0.50640306091526777
dPL,TGD-CN,ExcludeS5,within_pooled,476,0.13686191305029557,0.091413153756260579,0.17664226570131589,0.18097046540752423,0.086738650808109496,0.2631054105167458
dPL,TGD-CN,ExcludeS5,between_all,476,0.42650244222946038,0.34157512345885538,0.50854516090339275,0.45117736811374426,0.37014100257891364,0.52167290948335621
dPL,TGD-CN,ExcludeS5,excess,476,0.28964052917916511,0.22096924206020918,0.3549298562785993,0.45627758496031023,0.38569662122329262,0.52508767689151514
