paradigm,contrast,stratum,n_basins,metric,estimate,q25,q75,iqr,ci_lower,ci_upper
IC,Base-CN,Full531,531,within_base,0.46756002088773058,0.43010233336173909,0.51056025704993002,0.080457923688190935,0.46179283540832272,0.47334351219145127
IC,Base-CN,Full531,531,within_cn,0.48212049098105669,0.44662886474295371,0.51724390648655527,0.070615041743601559,0.4775443571173284,0.48706243758857692
IC,Base-CN,Full531,531,within_pooled,0.47535171519349517,0.43997429394544502,0.50691594469538925,0.066941650749944237,0.46953492691427606,0.47901716684697482
IC,Base-CN,Full531,531,between_all,0.49132779027375456,0.45785191790926705,0.52402466873274611,0.066172750823479065,0.48666089760591125,0.49516286200327553
IC,Base-CN,Full531,531,excess,0.007462556745992055,-0.0064844469461768361,0.02924422385515224,0.035728670801329077,0.0049533768161240666,0.010655275953340315
IC,Base-CN,Full531,531,prop_between_gt_within,0.63088512241054617,,,,0.59322033898305082,0.66854990583804141
IC,Base-CN,Full531,531,prop_excess_gt_0,0.63088512241054617,,,,0.58945386064030136,0.67142184557438789
IC,Base-CN,ExcludeS5,476,within_base,0.46792180180928455,0.43306685235691866,0.51409154893779418,0.081024696580875522,0.46222640137877324,0.47602612282230816
IC,Base-CN,ExcludeS5,476,within_cn,0.48119745884633802,0.44617207134093662,0.51586847523624435,0.069696403895307735,0.47568778439897652,0.48731373918722309
IC,Base-CN,ExcludeS5,476,within_pooled,0.47598440079797266,0.44305549636543506,0.50730996615638924,0.064254469790954172,0.47000646327537521,0.48163801739908285
IC,Base-CN,ExcludeS5,476,between_all,0.48499574573801768,0.45541770175113305,0.51410041676499796,0.058682715013864906,0.48058967534114166,0.49051089577829199
IC,Base-CN,ExcludeS5,476,excess,0.0049968314216815579,-0.0075886535204361116,0.019591491160049421,0.027180144680485532,0.0028756259917664161,0.0070959023754021376
IC,Base-CN,ExcludeS5,476,prop_between_gt_within,0.59033613445378152,,,,0.5514180672268908,0.63235294117647056
IC,Base-CN,ExcludeS5,476,prop_excess_gt_0,0.59033613445378152,,,,0.54411764705882348,0.63025210084033612
IC,Base-CN,S1,165,within_base,0.47593417476987226,0.44503826524062956,0.51701417524538051,0.071975910004750954,0.4665435671680489,0.48602848394227499
IC,Base-CN,S1,165,within_cn,0.46972603942834762,0.43821913995715406,0.5088139244726736,0.070594784515519537,0.45789585099401447,0.47724367113366628
IC,Base-CN,S1,165,within_pooled,0.4728824711866596,0.43986341163142667,0.5093730671480432,0.069509655516616531,0.46628381357358983,0.48246028842600353
IC,Base-CN,S1,165,between_all,0.47046164807870094,0.44389356385012962,0.50461027623390708,0.06071671238377746,0.46179761615519704,0.48164721027357554
IC,Base-CN,S1,165,excess,-0.0018112891613693005,-0.010100996221028669,0.012524382460883721,0.022625378681912389,-0.004414660870519449,0.00090772211371037415
IC,Base-CN,S1,165,prop_between_gt_within,0.46666666666666667,,,,0.39393939393939392,0.54257575757575738
IC,Base-CN,S1,165,prop_excess_gt_0,0.46666666666666667,,,,0.37863636363636366,0.53939393939393943
IC,Base-CN,S2,156,within_base,0.47825854927448919,0.43996341844590608,0.52053509180701418,0.080571673361108098,0.46727903844242397,0.49506999733415458
IC,Base-CN,S2,156,within_cn,0.48865225632708265,0.45110816410030707,0.51909867415254429,0.067990510052237219,0.4796484145855574,0.49909390694785888
IC,Base-CN,S2,156,within_pooled,0.48463075508612641,0.4469884263753664,0.51244518258173621,0.065456756206369815,0.47719000639112391,0.49497358395662716
IC,Base-CN,S2,156,between_all,0.4875017025899217,0.45538554192485348,0.51142424141463894,0.05603869948978546,0.47696526308807952,0.49379481372523737
IC,Base-CN,S2,156,excess,0.0021614589377403626,-0.011643261593253129,0.016398483911722037,0.028041745504975166,-0.0041921841937762605,0.0045674041162372947
IC,Base-CN,S2,156,prop_between_gt_within,0.52564102564102566,,,,0.44230769230769229,0.59615384615384615
IC,Base-CN,S2,156,prop_excess_gt_0,0.52564102564102566,,,,0.45176282051282052,0.60256410256410253
IC,Base-CN,S3,121,within_base,0.45511215165003543,0.42895644532129912,0.4994629286365912,0.070506483315292079,0.45112475088479165,0.46621251615862069
IC,Base-CN,S3,121,within_cn,0.49460233142580462,0.45642935099987508,0.52025101527260087,0.063821664272725787,0.48113401438939468,0.50336845379707862
IC,Base-CN,S3,121,within_pooled,0.47548009159619353,0.44909278487129134,0.49849976120698092,0.049406976335689579,0.46641084164007945,0.48170852801328101
IC,Base-CN,S3,121,between_all,0.49433024621281418,0.46829667021347776,0.52187592841813246,0.053579258204654701,0.48527135864966353,0.50230450968357754
IC,Base-CN,S3,121,excess,0.012313983705670828,-4.0932655565373288e-05,0.038610663850841775,0.038651596506407149,0.0085979134301053615,0.018482995851244053
IC,Base-CN,S3,121,prop_between_gt_within,0.74380165289256195,,,,0.67334710743801651,0.81818181818181823
IC,Base-CN,S3,121,prop_excess_gt_0,0.74380165289256195,,,,0.66115702479338845,0.81818181818181823
IC,Base-CN,S4,34,within_base,0.44501745713643048,0.39117807850590802,0.46854550253635141,0.077367424030443388,0.40341906746584122,0.46226403366542396
IC,Base-CN,S4,34,within_cn,0.47544305468898163,0.45258395043350869,0.50223287577631015,0.049648925342801464,0.46601653813802085,0.48628787837974097
IC,Base-CN,S4,34,within_pooled,0.46168558778381058,0.41808219041810246,0.48403295442619287,0.065950764008090412,0.43298560905810179,0.47616722344014445
IC,Base-CN,S4,34,between_all,0.50866354044474893,0.47706858789776524,0.54871735610009886,0.071648768202333624,0.48988582610455611,0.5332109023451348
IC,Base-CN,S4,34,excess,0.042986916305741446,0.021923571810769163,0.0766065699362454,0.054682998125476237,0.027107555301656427,0.064303778771210962
IC,Base-CN,S4,34,prop_between_gt_within,0.94117647058823528,,,,0.8529411764705882,1
IC,Base-CN,S4,34,prop_excess_gt_0,0.94117647058823528,,,,0.8529411764705882,1
IC,Base-CN,S5,55,within_base,0.45466136158833986,0.38009660778991583,0.49805045486393246,0.11795384707401663,0.40851060813259776,0.47970586832316092
IC,Base-CN,S5,55,within_cn,0.48846546121032869,0.45649814152415302,0.52351743772225046,0.067019296198097433,0.47425748481563512,0.50863131774949888
IC,Base-CN,S5,55,within_pooled,0.45201837646673287,0.42737896047266566,0.50048605866321882,0.073107098190553166,0.43685626544076644,0.47828062329580184
IC,Base-CN,S5,55,between_all,0.56049472430965974,0.52518077060575585,0.5926060651489371,0.067425294543181247,0.54383778660132776,0.5760613455324175
IC,Base-CN,S5,55,excess,0.082933505321378442,0.056621902870003571,0.12883622903056069,0.072214326160557119,0.0699461774418072,0.11039100055630602
IC,Base-CN,S5,55,prop_between_gt_within,0.98181818181818181,,,,0.94545454545454544,1
IC,Base-CN,S5,55,prop_excess_gt_0,0.98181818181818181,,,,0.94545454545454544,1
dPL,Base-CN,Full531,531,within_base,0.099930944587224554,0.0722117693526243,0.14413340190464163,0.071921632552017334,0.093342764330185721,0.10409975579605064
dPL,Base-CN,Full531,531,within_cn,0.10072321300358306,0.076072360312425452,0.14499501889324654,0.068922658580821083,0.096981724100033737,0.10695467827455425
