regime,stratum,frac_snow_range,N,P(A=3) [All 3 agree CN>TGD2],P(A=3)_95CI,P(A>=2) [Majority agree],P(A>=2)_95CI,P(A>=1),P(A=0) [None agree]
IC,Overall (All 531 Basins),"[0.0, 1.0]",531,0.4576271186440678,"[0.416, 0.499]",0.6534839924670434,"[0.612, 0.693]",0.8757062146892656,0.12429378531073447
IC,"S1 [0, 0.05)","[0, 0.05)",165,0.16363636363636364,"[0.109, 0.224]",0.4303030303030303,"[0.358, 0.509]",0.8242424242424242,0.17575757575757575
IC,"S2 [0.05, 0.15)","[0.05, 0.15)",156,0.36538461538461536,"[0.288, 0.442]",0.6282051282051282,"[0.551, 0.705]",0.8397435897435898,0.16025641025641027
IC,"S3 [0.15, 0.30)","[0.15, 0.30)",121,0.7520661157024794,"[0.669, 0.826]",0.8429752066115702,"[0.777, 0.909]",0.9421487603305785,0.05785123966942149
IC,"S4 [0.30, 0.50)","[0.30, 0.50)",34,0.6176470588235294,"[0.441, 0.765]",0.7647058823529411,"[0.618, 0.912]",0.9411764705882353,0.058823529411764705
IC,"S5 [0.50, 1.00]","[0.50, 1.00]",55,0.8545454545454545,"[0.764, 0.945]",0.9090909090909091,"[0.818, 0.982]",0.9454545454545454,0.05454545454545454
dPL,Overall (All 531 Basins),"[0.0, 1.0]",531,0.3465160075329567,"[0.305, 0.388]",0.615819209039548,"[0.574, 0.657]",0.8832391713747646,0.1167608286252354
dPL,"S1 [0, 0.05)","[0, 0.05)",165,0.12121212121212122,"[0.073, 0.176]",0.45454545454545453,"[0.382, 0.533]",0.8424242424242424,0.15757575757575756
dPL,"S2 [0.05, 0.15)","[0.05, 0.15)",156,0.2692307692307692,"[0.199, 0.340]",0.5641025641025641,"[0.487, 0.641]",0.8910256410256411,0.10897435897435898
dPL,"S3 [0.15, 0.30)","[0.15, 0.30)",121,0.5702479338842975,"[0.479, 0.661]",0.743801652892562,"[0.669, 0.818]",0.859504132231405,0.14049586776859505
dPL,"S4 [0.30, 0.50)","[0.30, 0.50)",34,0.5,"[0.324, 0.676]",0.7058823529411765,"[0.559, 0.853]",0.9705882352941176,0.029411764705882353
dPL,"S5 [0.50, 1.00]","[0.50, 1.00]",55,0.6545454545454545,"[0.527, 0.782]",0.9090909090909091,"[0.836, 0.982]",0.9818181818181818,0.01818181818181818
