regime,host_model,sample,N,CN_minus_Base_median,CN_minus_Base_95CI,TGD2_minus_Base_median,TGD2_minus_Base_95CI,CN_minus_TGD2_median (Primary A),CN_minus_TGD2_mean,CN_minus_TGD2_95CI,CN_minus_TGD2_frac_positive,Generalization_Exposure_E_median (Primary B),Generalization_Exposure_E_mean,Generalization_Exposure_E_95CI
IC,XAJ,All 531 Basins,531,0.027315425020796535,"[0.0202, 0.0357]",0.013561335584440393,"[0.0097, 0.0174]",0.01459217867415663,0.041303233471043074,"[0.0103, 0.0216]",0.6779661016949152,-0.0069310961214168465,-0.022072762146014346,"[-0.0106, -0.0040]"
IC,XAJ,High-Snow (frac_snow>=0.30),89,0.47597886078025975,"[0.3983, 0.6185]",0.38727799782798267,"[0.3493, 0.4631]",0.1324598259107379,0.13236494940103222,"[0.1000, 0.1616]",0.8539325842696629,-0.05342482877688193,-0.07201586878039935,"[-0.0933, -0.0262]"
IC,GR4J,All 531 Basins,531,0.025063034861945388,"[0.0174, 0.0321]",0.01160801709584458,"[0.0090, 0.0143]",0.015231960991250793,0.04663134645545098,"[0.0093, 0.0203]",0.672316384180791,-0.00852258681357787,-0.03138197262616697,"[-0.0117, -0.0057]"
IC,GR4J,High-Snow (frac_snow>=0.30),89,0.5393014785396321,"[0.4639, 0.6870]",0.43740177220839094,"[0.3422, 0.5207]",0.17257133600796748,0.17495479510582787,"[0.1562, 0.1992]",0.9213483146067416,-0.03486650478263442,-0.05884764254667372,"[-0.0604, -0.0069]"
IC,SIMHYD,All 531 Basins,531,0.020096518074619096,"[0.0147, 0.0290]",0.01370980627907914,"[0.0099, 0.0164]",0.009129248585401428,0.031423145272323275,"[0.0053, 0.0134]",0.6365348399246704,-0.006243991925599546,-0.02212054908537954,"[-0.0089, -0.0035]"
IC,SIMHYD,High-Snow (frac_snow>=0.30),89,0.47606981127705206,"[0.3375, 0.5575]",0.36297127277558117,"[0.2624, 0.4659]",0.11577892951749358,0.10614000925244162,"[0.0700, 0.1385]",0.7865168539325843,-0.05622295337237826,-0.06489696203132882,"[-0.0801, -0.0210]"
dPL,XAJ,All 531 Basins,531,0.02344766781921004,"[0.0154, 0.0309]",0.01465987746021602,"[0.0116, 0.0204]",0.011384229004068214,0.031044680673888252,"[0.0066, 0.0170]",0.5725047080979284,-0.010405207095383617,-0.01823717501296807,"[-0.0158, -0.0068]"
dPL,XAJ,High-Snow (frac_snow>=0.30),89,0.44656228427516853,"[0.3758, 0.5978]",0.3890172870170029,"[0.3229, 0.4448]",0.11943421943151922,0.12265725114424454,"[0.1006, 0.1516]",0.7303370786516854,-0.03323830310863418,-0.04168110890808117,"[-0.0494, -0.0116]"
dPL,GR4J,All 531 Basins,531,0.043334845763731145,"[0.0369, 0.0525]",0.02277375477085153,"[0.0187, 0.0270]",0.01748650048216882,0.049590896069972204,"[0.0121, 0.0208]",0.6930320150659134,-0.007288656696993967,-0.027345930995259716,"[-0.0117, -0.0024]"
dPL,GR4J,High-Snow (frac_snow>=0.30),89,0.5159473298150908,"[0.4639, 0.6772]",0.4209292793059136,"[0.3179, 0.4937]",0.18201989467572433,0.18135738062293838,"[0.1544, 0.2005]",0.8876404494382022,-0.010262102090412895,-0.049423303201246035,"[-0.0482, 0.0161]"
dPL,SIMHYD,All 531 Basins,531,0.022442811079929625,"[0.0173, 0.0296]",0.0166783602541567,"[0.0133, 0.0199]",0.009786016997245128,0.027406206037161526,"[0.0037, 0.0138]",0.5800376647834274,-0.005297056027311897,-0.005791568396696365,"[-0.0090, -0.0009]"
dPL,SIMHYD,High-Snow (frac_snow>=0.30),89,0.5277955999342049,"[0.3545, 0.5732]",0.3733071991488621,"[0.2896, 0.4836]",0.10742881556573214,0.11073117296786977,"[0.0840, 0.1296]",0.7865168539325843,0.002676321294638795,-0.006300888300958347,"[-0.0227, 0.0209]"
