metric,summary_level,period,snow_stratum,stratum_n,paradigm,model,median,q25,q75,iqr,mean,std,bootstrap_ci_low,bootstrap_ci_high
kge,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-Base,0.809773613301547,0.646892500120529,0.871775557025979,0.22488305690544996,0.709998307805647,0.24174104326452356,0.7881608789926564,0.8252899034553068
nse,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-Base,0.7192849326364695,0.5645478751145026,0.7781867791746799,0.21363890406017738,0.6244983924153645,0.22965399110129736,0.6987528350430235,0.7340254082825415
pbias,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-Base,4.048868066507735,3.2344625006026453,4.358877785129895,1.1244152845272497,3.5499915390282344,1.2087052163226177,3.940804394963282,4.126449517276534
rmse,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-Base,0.35218110935876246,0.30257955437921685,0.4824859999035768,0.17990644552435997,0.43200135375548243,0.19339283461161885,0.33976807723575453,0.36947129680587487
kge,snow_stratum,train,S1,165,IC-CMA-ES,XAJ-Base,0.8728844061264612,0.8300467123439806,0.9111528811893858,0.08110616884540511,0.8499246902952818,0.10987399625655617,0.8596229399558272,0.8880685551942503
kge,snow_stratum,train,S2,156,IC-CMA-ES,XAJ-Base,0.84068687313407,0.799289343064566,0.8720327359177354,0.07274339285316944,0.8133858381427922,0.10550332233711918,0.8277706653011854,0.8530004158972281
kge,snow_stratum,train,S3,121,IC-CMA-ES,XAJ-Base,0.6877092808342202,0.5980127161696045,0.7645134300030307,0.16650071383342624,0.6701255819372562,0.14838162293296714,0.6744812227224806,0.6975526203037088
kge,snow_stratum,train,S4,34,IC-CMA-ES,XAJ-Base,0.5649702938034437,0.3878090021998037,0.721963872064908,0.3341548698651043,0.537113109423606,0.21212048905442385,0.4743124124056518,0.6599552659702901
kge,snow_stratum,train,S5,55,IC-CMA-ES,XAJ-Base,0.1270433684707067,0.0422641531683398,0.3039187604089033,0.2616546072405635,0.19156901201801518,0.20089473535953908,0.076399444560689,0.2412794568651269
kge,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-TGD,0.8327756068678623,0.7475845597749102,0.8877884897321895,0.14020392995727926,0.8007032243434081,0.12420058056925841,0.825229210299366,0.8441441197873648
nse,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-TGD,0.7411368265244691,0.6602053317861647,0.7933990652455799,0.1331937334594152,0.7106680631262378,0.11799055154079548,0.7339677497843976,0.7519369137979965
pbias,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-TGD,4.163878034339311,3.737922798874551,4.4389424486609474,0.7010196497863963,4.00351612171704,0.621002902846292,4.12614605149683,4.220720598936824
rmse,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-TGD,0.33377951450571014,0.28976920821424845,0.40193235218007184,0.11216314396582339,0.35943742052527344,0.09936046445540674,0.3246847041701082,0.3398166317605072
kge,snow_stratum,train,S1,165,IC-CMA-ES,XAJ-TGD,0.8830882091329383,0.8309394648830113,0.9159981832706952,0.08505871838768386,0.8562347724163597,0.10645926273077805,0.8694551254617274,0.8944370275748575
kge,snow_stratum,train,S2,156,IC-CMA-ES,XAJ-TGD,0.8553469458637624,0.8148460648751636,0.8826120402992264,0.06776597542406271,0.8302763844192146,0.09600955706043328,0.8454630655567705,0.8630250315664587
kge,snow_stratum,train,S3,121,IC-CMA-ES,XAJ-TGD,0.754212938745347,0.7056257967228605,0.8250231534086727,0.1193973566858122,0.7451074580404006,0.11574351427914366,0.7399889536798563,0.7682431883459757
kge,snow_stratum,train,S4,34,IC-CMA-ES,XAJ-TGD,0.7654047547547608,0.6667935768219938,0.817355369433524,0.15056179261153024,0.7403252197421666,0.09647877226174945,0.6773740966526718,0.7984043757017525
kge,snow_stratum,train,S5,55,IC-CMA-ES,XAJ-TGD,0.7376219651745769,0.6208735753376785,0.8245692639153177,0.2036956885776392,0.7098636148023784,0.15658632171800363,0.6610677699662071,0.7893817024681998
kge,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-CN,0.8706531228321605,0.8263744285052632,0.9065427219120961,0.08016829340683285,0.8485717873128792,0.09682215075915289,0.8663019844685336,0.8749206074028018
nse,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-CN,0.7771204666905523,0.7350557070799999,0.8112155858164911,0.07615987873649122,0.7561431979472352,0.09198104322119524,0.7729868852451068,0.7811745770326616
pbias,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-CN,4.353265614160803,4.131872142526316,4.53271360956048,0.400841467034164,4.242858936564395,0.4841107537957645,4.3315099223426685,4.374603037014009
rmse,full_sample,train,full_sample,531,IC-CMA-ES,XAJ-CN,0.3034775017342717,0.2747658224703232,0.33890045719578943,0.06413463472546621,0.3211425701496967,0.07745772060732233,0.3000635140777586,0.30695841242517313
kge,snow_stratum,train,S1,165,IC-CMA-ES,XAJ-CN,0.8799681799081869,0.8277858417698317,0.9143335289952376,0.08654768722540584,0.8526423483151682,0.11014953647566153,0.8684140702339072,0.8924103494167125
kge,snow_stratum,train,S2,156,IC-CMA-ES,XAJ-CN,0.8655440548509025,0.8219310034841828,0.8930796535525228,0.07114865006834004,0.8425442848484715,0.08535096779208493,0.8565284868774825,0.8706531228321605
kge,snow_stratum,train,S3,121,IC-CMA-ES,XAJ-CN,0.8619481660888628,0.8237867450612979,0.8882341759762892,0.06444743091499128,0.8358592073167035,0.10027410921262067,0.8530654892317617,0.8713275070936248
kge,snow_stratum,train,S4,34,IC-CMA-ES,XAJ-CN,0.8552264619408477,0.8134117344216023,0.8770439264614971,0.06363219203989479,0.8256572727593825,0.09223516796626927,0.8287295083350381,0.8666219418315315
kge,snow_stratum,train,S5,55,IC-CMA-ES,XAJ-CN,0.9128284840078912,0.882168261175909,0.9294737964742892,0.04730553529838022,0.8955893053751709,0.05497602643340018,0.8973883598287478,0.9260463241936948
kge,full_sample,train,full_sample,531,dPL-MLP,XAJ-Base,0.7337010399656032,0.5639214124441967,0.8358954271870065,0.2719740147428098,0.6462762702577245,0.26200955128410386,0.7060647149959798,0.7548492627877885
nse,full_sample,train,full_sample,531,dPL-MLP,XAJ-Base,0.647015987967323,0.4857253418219869,0.744100655827656,0.25837531400566915,0.5639624567448382,0.24890907371989862,0.6207614792461807,0.667106799648399
pbias,full_sample,train,full_sample,531,dPL-MLP,XAJ-Base,3.668505199828016,2.819607062220984,4.1794771359350325,1.3598700737140486,3.231381351288623,1.3100477564205193,3.530323574979899,3.7742463139389426
rmse,full_sample,train,full_sample,531,dPL-MLP,XAJ-Base,0.41303916802751744,0.33128365825039485,0.5488628700446426,0.21757921179424777,0.48297898379382037,0.2096076410272831,0.3961205897697692,0.4351482280032162
kge,snow_stratum,train,S1,165,dPL-MLP,XAJ-Base,0.811830767284721,0.6986928724905477,0.8750836462780829,0.1763907737875352,0.7610332284341415,0.17642504837054782,0.7928608887035262,0.8362978286706924
kge,snow_stratum,train,S2,156,dPL-MLP,XAJ-Base,0.7974910594094926,0.7375528336076301,0.8459951038181988,0.10844227021056863,0.7534892486647817,0.1620131386886822,0.7843084592416784,0.8153205991729136
kge,snow_stratum,train,S3,121,dPL-MLP,XAJ-Base,0.6630435766218326,0.5706773438576367,0.7366605845934309,0.16598324073579418,0.6272068079984938,0.18974506145508047,0.638947869735756,0.6817221887020223
kge,snow_stratum,train,S4,34,dPL-MLP,XAJ-Base,0.5046854346688948,0.2468213166612766,0.696550829059448,0.4497295123981714,0.4425788294755285,0.284135456175261,0.34454307862192607,0.6072323334706833
kge,snow_stratum,train,S5,55,dPL-MLP,XAJ-Base,0.1086997067563589,0.03169834375396785,0.28856094018938194,0.2568625964354141,0.16578527370048685,0.19079113988219198,0.0741235854472441,0.2049388354843107
kge,full_sample,train,full_sample,531,dPL-MLP,XAJ-TGD,0.7638321144373007,0.6669098751810265,0.8376754117365077,0.1707655365554812,0.7207035655457504,0.18990696042051397,0.7528932698873891,0.7810170556943348
nse,full_sample,train,full_sample,531,dPL-MLP,XAJ-TGD,0.6756405087154356,0.5835643814219751,0.7457916411496822,0.16222725972770713,0.6346683872684628,0.18041161239948825,0.6652486063930196,0.691966202909618
pbias,full_sample,train,full_sample,531,dPL-MLP,XAJ-TGD,3.8191605721865036,3.3345493759051323,4.188377058682539,0.8538276827774065,3.603517827728752,0.94953480210257,3.764466349436946,3.905085278471674
rmse,full_sample,train,full_sample,531,dPL-MLP,XAJ-TGD,0.38893430845015947,0.32985967061079385,0.4664720998551789,0.13661242924438505,0.42343714756339973,0.1519255683364112,0.3751863554445322,0.3976853840900887
kge,snow_stratum,train,S1,165,dPL-MLP,XAJ-TGD,0.8074991761882124,0.7132684583679527,0.8769691969050026,0.16370073853704992,0.7637031037706226,0.17885258726520079,0.7846997028741495,0.8283745437802575
kge,snow_stratum,train,S2,156,dPL-MLP,XAJ-TGD,0.80174226413036,0.7312528208360665,0.8482242489606745,0.11697142812460803,0.7474887059451145,0.183175339556176,0.7898107578136229,0.8215129693980342
kge,snow_stratum,train,S3,121,dPL-MLP,XAJ-TGD,0.7063261423981257,0.6508626307527917,0.7649425351445522,0.11407990439176052,0.6680620732011686,0.19973803466027046,0.6865059405055489,0.728142273541297
kge,snow_stratum,train,S4,34,dPL-MLP,XAJ-TGD,0.6697851819746007,0.5742079184154887,0.7505123747811242,0.17630445636563552,0.6324248041558307,0.199098019375801,0.6049936550125188,0.7401065239511575
kge,snow_stratum,train,S5,55,dPL-MLP,XAJ-TGD,0.7166055980958431,0.6231284659842546,0.7841604818486847,0.16103201586443006,0.6791116072811012,0.15493865972861326,0.6569193803778848,0.7638321144373007
kge,full_sample,train,full_sample,531,dPL-MLP,XAJ-CN,0.8242620830678771,0.7351288330764019,0.8673662502167707,0.13223741714036885,0.7680685080355335,0.1698303724099928,0.8152205196817217,0.8329165750313583
nse,full_sample,train,full_sample,531,dPL-MLP,XAJ-CN,0.7330489789144832,0.6483723914225817,0.7739979377059322,0.12562554628335043,0.6796650826337569,0.16133885378949311,0.7244594936976355,0.7412707462797903
pbias,full_sample,train,full_sample,531,dPL-MLP,XAJ-CN,4.121310415339385,3.6756441653820096,4.336831251083854,0.6611870857018447,3.8403425401776685,0.8491518620499638,4.076102598408609,4.164582875156792
rmse,full_sample,train,full_sample,531,dPL-MLP,XAJ-CN,0.34059033354569834,0.3061069998265834,0.4118969335388785,0.10578993371229511,0.3855451935715731,0.13586429792799423,0.33366673997491336,0.3478235842546227
kge,snow_stratum,train,S1,165,dPL-MLP,XAJ-CN,0.8152205196817217,0.7023860810541802,0.8705739380526005,0.16818785699842032,0.7584750512334052,0.1783935433093082,0.7815718553044406,0.8345752182969515
kge,snow_stratum,train,S2,156,dPL-MLP,XAJ-CN,0.8258690326004368,0.7613193079276795,0.8651786794154748,0.10385937148779523,0.7752383522875825,0.1534686483120184,0.8108283400792096,0.8397950755260857
kge,snow_stratum,train,S3,121,dPL-MLP,XAJ-CN,0.8338559536082799,0.7713106320515175,0.8652298114378106,0.09391917938629313,0.7723293889024828,0.19371503481179211,0.8238792561715929,0.8470797963421244
kge,snow_stratum,train,S4,34,dPL-MLP,XAJ-CN,0.7682756367979475,0.6593873145105328,0.8439211659990591,0.1845338514885263,0.7145709980648638,0.18214146581501653,0.6972428289538288,0.8142015172644853
