record_type,family,paradigm,model,period,metric,n,ci_low,ci_high,resamples,seed,method,status,effect,analysis_set,wilcoxon_p,sign_test_p,robustness_type,block_count,block_source,claim_id,summary_level,result_role,bootstrap_statistic,snow_stratum,snow_interval,stratum_n,valid_year_requirement,signature,comparison,metric_unit
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,kge,121,0.58321024773500696,0.64807838904962267,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,kge,156,0.70026527303945807,0.74835850892191758,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,kge,165,0.72863682666861362,0.77194163238363112,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,kge,34,0.29792832968869071,0.60717342410686059,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,kge,531,0.55458016326500847,0.60438720273316171,10000,20260730,ordinary_basin_bootstrap,valid_daily_recomputation,,,,,,,,,,,,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,kge,531,0.64845252752692295,0.69256420645136019,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,kge,55,0.066193223674073196,0.22254563809922959,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,nse,121,0.24706767227842241,0.32964825487535843,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,nse,156,0.54823642458847521,0.62846977853783748,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,nse,165,0.60308833390617766,0.68953552883043834,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,nse,34,0.017039733248032551,0.31872496069788575,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,nse,531,0.44246015124053001,0.52239230527208247,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,nse,55,0.0028326131461667002,0.080455857357507696,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,pbias,121,3.6968502971583201,9.3664867046990796,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,pbias,156,6.7917977509473593,11.3627727990962,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,pbias,165,8.1866444898320729,12.587295452914464,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
