basin_id,paradigm,period,effect,effect_value,status,metric,effect_family,estimand,seed_count,seed_or_restart,model,structure,analysis_set
01022500,IC-CMA-ES,,train_minus_test,-0.094828629184389501,valid,kge,train_test_gap,KGE_train - KGE_test,,,XAJ-Base,,
01022500,IC-CMA-ES,,train_minus_test,0.036226641183479402,valid,kge,train_test_gap,KGE_train - KGE_test,,,XAJ-TGD,,
01022500,IC-CMA-ES,,train_minus_test,0.043032586210059301,valid,kge,train_test_gap,KGE_train - KGE_test,,,XAJ-CN,,
01022500,IC-CMA-ES,test,CN-Base,0.077780494514303106,valid,kge,structural,KGE_CN_Base,,,,,
01022500,IC-CMA-ES,test,CN-Base_test,0.077780494514303106,valid,kge,generalization_exposure,KGE_XAJ-CN_test - KGE_XAJ-Base_test,,,XAJ-CN,,
01022500,IC-CMA-ES,test,CN-TGD,0.11655022279405911,valid,kge,structural,KGE_CN_TGD,,,,,
01022500,IC-CMA-ES,test,CN-TGD_test,0.11655022279405911,valid,kge,generalization_exposure,KGE_XAJ-CN_test - KGE_XAJ-TGD_test,,,XAJ-CN,,
01022500,IC-CMA-ES,test,TGD-Base,-0.038769728279755902,valid,kge,structural,KGE_TGD_Base,,,,,
01022500,IC-CMA-ES,test,TGD-Base_test,-0.038769728279755902,valid,kge,generalization_exposure,KGE_XAJ-TGD_test - KGE_XAJ-Base_test,,,XAJ-TGD,,
01022500,IC-CMA-ES,test_minus_train,E_CN-Base,-0.1378612153944489,valid,kge,generalization_exposure,(KGE_XAJ-CN_test - KGE_XAJ-Base_test) - (KGE_XAJ-CN_train - KGE_XAJ-Base_train),,,XAJ-CN,,
01022500,IC-CMA-ES,test_minus_train,E_CN-TGD,-0.0068059450265797999,valid,kge,generalization_exposure,(KGE_XAJ-CN_test - KGE_XAJ-TGD_test) - (KGE_XAJ-CN_train - KGE_XAJ-TGD_train),,,XAJ-CN,,
01022500,IC-CMA-ES,test_minus_train,E_TGD-Base,-0.1310552703678689,valid,kge,generalization_exposure,(KGE_XAJ-TGD_test - KGE_XAJ-Base_test) - (KGE_XAJ-TGD_train - KGE_XAJ-Base_train),,,XAJ-TGD,,
01022500,IC-CMA-ES,train,CN-Base,0.21564170990875201,valid,kge,structural,KGE_CN_Base,,,,,
01022500,IC-CMA-ES,train,CN-Base_train,0.21564170990875201,valid,kge,generalization_exposure,KGE_XAJ-CN_train - KGE_XAJ-Base_train,,,XAJ-CN,,
01022500,IC-CMA-ES,train,CN-TGD,0.123356167820639,valid,kge,structural,KGE_CN_TGD,,,,,
01022500,IC-CMA-ES,train,CN-TGD_train,0.123356167820639,valid,kge,generalization_exposure,KGE_XAJ-CN_train - KGE_XAJ-TGD_train,,,XAJ-CN,,
01022500,IC-CMA-ES,train,TGD-Base,0.092285542088113001,valid,kge,structural,KGE_TGD_Base,,,,,
01022500,IC-CMA-ES,train,TGD-Base_train,0.092285542088113001,valid,kge,generalization_exposure,KGE_XAJ-TGD_train - KGE_XAJ-Base_train,,,XAJ-TGD,,
01022500,IC-dPL,test,B_IC_minus_dPL,0.0017994304863374611,valid,kge,tgd_transfer,B_IC_minus_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01022500,IC-dPL,test,B_IC_minus_dPL,0.013236655261387287,valid,kge,tgd_transfer,B_IC_minus_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01022500,IC-dPL,test,B_IC_minus_dPL,0.022941433444254256,valid,kge,tgd_transfer,B_IC_minus_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01022500,IC-dPL,test,IC_minus_dPL,0.0017994304863372999,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-Base,,
01022500,IC-dPL,test,IC_minus_dPL,0.0132366552613872,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-TGD,,
01022500,IC-dPL,test,IC_minus_dPL,0.0229414334442542,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-CN,,
01022500,IC-dPL,test_minus_train,D_IC_minus_dPL,-0.0022952633586160731,valid,kge,tgd_transfer,D_IC_minus_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01022500,IC-dPL,test_minus_train,D_IC_minus_dPL,-0.0030555854731816323,valid,kge,tgd_transfer,D_IC_minus_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01022500,IC-dPL,test_minus_train,D_IC_minus_dPL,-0.0036137314768198703,valid,kge,tgd_transfer,D_IC_minus_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01022500,IC-dPL,train,A_IC_minus_dPL,0.0054131619631573313,valid,kge,tgd_transfer,A_IC_minus_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
