metric,period,paradigm,effect,summary_level,snow_stratum,stratum_n,valid_basin_count,median,bootstrap_ci_low,bootstrap_ci_high,fraction_positive,model
kge,train,IC-CMA-ES,TGD-Base,full_sample,full_sample,531,531,0.017461138372530383,0.014015182234531076,0.020418479285578495,0.8832391713747646,
kge,train,IC-CMA-ES,TGD-Base,snow_stratum,S1,165,165,0.0024670004672243673,0.0016754597945435323,0.004055672098893755,0.7393939393939394,
kge,train,IC-CMA-ES,TGD-Base,snow_stratum,S2,156,156,0.011598099006322415,0.010267870587834738,0.015743760276748064,0.9038461538461539,
kge,train,IC-CMA-ES,TGD-Base,snow_stratum,S3,121,121,0.04689584200211827,0.03821095636546479,0.06117367903751203,0.9917355371900827,
kge,train,IC-CMA-ES,TGD-Base,snow_stratum,S4,34,34,0.10190057131771918,0.03442315858365774,0.30937020660240244,0.9117647058823529,
kge,train,IC-CMA-ES,TGD-Base,snow_stratum,S5,55,55,0.5613844988996656,0.4582856528528534,0.6409248984630058,1.0,
kge,train,IC-CMA-ES,CN-TGD,full_sample,full_sample,531,531,0.009162283567397345,0.005857538472717971,0.01359905215251056,0.6666666666666666,
kge,train,IC-CMA-ES,CN-TGD,snow_stratum,S1,165,165,-0.0020214868384840212,-0.002876861871389469,-0.0012528783251808395,0.3212121212121212,
kge,train,IC-CMA-ES,CN-TGD,snow_stratum,S2,156,156,0.006813991090540317,0.0044285864856462576,0.00903470407115502,0.6987179487179487,
kge,train,IC-CMA-ES,CN-TGD,snow_stratum,S3,121,121,0.09838521313638071,0.08250921217338392,0.10907322975770206,0.8925619834710744,
kge,train,IC-CMA-ES,CN-TGD,snow_stratum,S4,34,34,0.09277326014144954,0.055190667683115396,0.10604440077375704,0.8823529411764706,
kge,train,IC-CMA-ES,CN-TGD,snow_stratum,S5,55,55,0.1842258173059378,0.12617067841264573,0.24079432239542498,0.9818181818181818,
kge,train,IC-CMA-ES,CN-Base,full_sample,full_sample,531,531,0.02213692392671529,0.017213887914093375,0.0321524232183219,0.8173258003766478,
kge,train,IC-CMA-ES,CN-Base,snow_stratum,S1,165,165,0.00138788022541525,0.00011743046972068072,0.0024980790807697106,0.5878787878787879,
kge,train,IC-CMA-ES,CN-Base,snow_stratum,S2,156,156,0.01828132014231182,0.015799497514541475,0.021596877009247402,0.8653846153846154,
kge,train,IC-CMA-ES,CN-Base,snow_stratum,S3,121,121,0.15366962106493243,0.13532403156970407,0.1726862820058619,0.9421487603305785,
kge,train,IC-CMA-ES,CN-Base,snow_stratum,S4,34,34,0.24331542284370894,0.1353845329509749,0.3628189886669232,0.9705882352941176,
kge,train,IC-CMA-ES,CN-Base,snow_stratum,S5,55,55,0.7333830147320395,0.6453753045680002,0.8161392858399108,1.0,
kge,train,dPL-MLP,TGD-Base,full_sample,full_sample,515,515,0.011156010979442632,0.007703848368315502,0.015831201375270942,0.6427184466019418,
kge,train,dPL-MLP,TGD-Base,snow_stratum,S1,161,161,-0.0001649224803460525,-0.0035612829474779284,0.001894121817759263,0.4906832298136646,
kge,train,dPL-MLP,TGD-Base,snow_stratum,S2,155,155,0.002011756411209653,-0.0013856176560747002,0.006743871652846289,0.5419354838709678,
kge,train,dPL-MLP,TGD-Base,snow_stratum,S3,118,118,0.024806025266295165,0.019223780695242887,0.0315502210546989,0.7711864406779662,
kge,train,dPL-MLP,TGD-Base,snow_stratum,S4,32,32,0.189894587867739,0.03035790097707297,0.3341107178899258,0.90625,
kge,train,dPL-MLP,TGD-Base,snow_stratum,S5,49,49,0.5632655055959805,0.5231494467265364,0.6156915594201688,0.9795918367346939,
kge,train,dPL-MLP,CN-TGD,full_sample,full_sample,515,515,0.022158744818391307,0.01495981390282275,0.02807566199696195,0.7048543689320388,
kge,train,dPL-MLP,CN-TGD,snow_stratum,S1,161,161,-0.0027200016201276433,-0.006773999972218614,0.002149003408603134,0.4658385093167702,
kge,train,dPL-MLP,CN-TGD,snow_stratum,S2,155,155,0.01631174548914216,0.009403605216843136,0.02325368603340172,0.7548387096774194,
