basin_id,paradigm,period,seed_or_restart,signature,first_model,second_model,effect_value,status,analysis_set,valid_years,effect_family,snow_stratum,snow_interval,stratum_n
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.0555404876520234,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.0555404876520234,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.0555404876520234,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.0555404876520234,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.0555404876520234,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.1005328400896028,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.1005328400896028,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.1005328400896028,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.1005328400896028,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.1005328400896028,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.044992352437579201,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.044992352437579201,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.044992352437579201,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.044992352437579201,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.044992352437579201,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,CT,XAJ-Base,XAJ-CN,16,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,CT,XAJ-Base,XAJ-CN,16,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,CT,XAJ-Base,XAJ-CN,16,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,CT,XAJ-Base,XAJ-CN,16,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,CT,XAJ-Base,XAJ-CN,16,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,test,selected_restart,CT,XAJ-Base,XAJ-TGD,19,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
