paradigm,effect,period,paired_basin_count,median,iqr,mean,fraction_greater_zero,spearman_rho,spearman_p,robust_slope,robust_ci_low,robust_ci_high,ols_slope,ols_ci_low,ols_ci_high,analysis_type,status,term,estimate,std_error,ci_low,ci_high,p_value,matched_basin_count,reference_category,model_specification,support_status,x_metric,y_metric,analysis_set,summary_level,result_role,bootstrap_ci_low,bootstrap_ci_high,bootstrap_statistic,aggregation_rule,snow_stratum,snow_interval,stratum_n,structure,regional_slope_ci_low,regional_slope_ci_high,bootstrap_method,effect_family,signature,comparison,metric_unit,association_x
IC-CMA-ES,CN-Base,test,531,0.023546132797762201,0.13751602551414671,0.1128771834679954,0.73069679849340863,0.70120214325672758,9.2386038177637353e-80,0.65907027732330137,0.60254941297537545,0.7184692606623051,0.92678588347424917,0.84459023896327001,1.0089815279852286,within_paradigm,valid_continuous_attribute,,,,,,,,,,,,,all_531_basins,detailed,secondary,,,,,,,,,,,,,,,,
IC-CMA-ES,CN-Base,train,531,0.022494513990702299,0.16322309537701321,0.1387879171224769,0.82862523540489641,0.84359906885807334,5.7362498250487854e-145,0.75316144835118337,0.68218786131238573,0.82555673823028441,1.0547349427059305,1.0103172263054536,1.0991526591064074,within_paradigm,valid_continuous_attribute,,,,,,,,,,,,,all_531_basins,detailed,secondary,,,,,,,,,,,,,,,,
IC-CMA-ES,CN-TGD,test,121,0.067417728809625196,0.088090014120794202,0.048127275147128092,0.82644628099173556,0.13022625660479606,0.15453626027700779,0.34583474447617824,-0.052641238658763981,0.67642212381308864,0.042556764395799029,-1.2888559932116208,1.3739695220032186,snow_stratum_summary,valid_continuous_attribute,,,,,,,,,,,frac_snow,KGE_CN-TGD_test,snow_fixed_strata,snow_stratum,stratified_primary,0.0553208694928344,0.079793412175519898,median,,S3,"[0.15, 0.30)",121,,,,,,,,,
IC-CMA-ES,CN-TGD,test,156,0.00517618538319955,0.028624430200338398,0.015274103491208356,0.60897435897435892,0.31310078867095503,6.8999175998906022e-05,0.34021402433294062,0.18097709321017294,0.50538095764582569,0.51633761469888306,-0.12765535190255017,1.1603305813003164,snow_stratum_summary,valid_continuous_attribute,,,,,,,,,,,frac_snow,KGE_CN-TGD_test,snow_fixed_strata,snow_stratum,stratified_primary,0.0015185296048391,0.0097751094521201509,median,,S2,"[0.05, 0.15)",156,,,,,,,,,
IC-CMA-ES,CN-TGD,test,165,-0.001738808734456,0.017276980025199701,-0.0044450837124543766,0.40606060606060607,-0.073745177922683744,0.34652295271474143,-0.074429121645391616,-0.25222145620312131,0.097716206092579916,-0.21712373988931141,-0.64318222257163304,0.20893474279301025,snow_stratum_summary,valid_continuous_attribute,,,,,,,,,,,frac_snow,KGE_CN-TGD_test,snow_fixed_strata,snow_stratum,stratified_primary,-0.0043960894537736998,-0.0002410725598367,median,,S1,"[0, 0.05)",165,,,,,,,,,
IC-CMA-ES,CN-TGD,test,34,0.091297267339254348,0.16091399817659563,0.076770813947869165,0.73529411764705888,0.21069518716577537,0.23166374193220438,0.36402126047496552,-0.29071547725619651,0.97704907100224581,0.14402496022097408,-0.92960086128131725,1.2176507817232654,snow_stratum_summary,valid_continuous_attribute,,,,,,,,,,,frac_snow,KGE_CN-TGD_test,snow_fixed_strata,snow_stratum,stratified_primary,0.011712510445724401,0.1318560108141876,median,,S4,"[0.30, 0.50)",34,,,,,,,,,
IC-CMA-ES,CN-TGD,test,531,0.0098345481029111,0.075631829002014594,0.037093779223969676,0.63653483992467041,0.53526857548125673,1.0718270279067527e-40,0.2676308165372161,0.23132502899872115,0.30729013376076481,0.2676658869046204,0.19670728688564093,0.33862448692359987,full_sample_attribute,valid_continuous_attribute,,,,,,,,,,,frac_snow,KGE_CN-TGD_test,all_531_basins,full_sample,primary,0.0056358730479751,0.012871493357991599,median,basin-wise CN-TGD test effect with continuous frac_snow,,,,,,,,,,,,
IC-CMA-ES,CN-TGD,test,531,0.0098345481029111,0.075631829002014705,0.0370937792239696,0.63653483992467041,0.53526857548125673,1.0718270279067527e-40,0.26763081653721632,0.2313250289987209,0.30729013376076481,0.26766588690462051,0.1967072868856409,0.33862448692359992,within_paradigm,valid_continuous_attribute,,,,,,,,,,,,,all_531_basins,detailed,secondary,,,,,,,,,,,,,,,,
IC-CMA-ES,CN-TGD,test,55,0.16257191155369141,0.19095239069497089,0.17479759034226036,0.92727272727272725,0.38701298701298709,0.0035124877213352597,0.6363229064354089,0.19432445223281972,1.237547533328287,0.4747550652250358,-0.0099810348258278503,0.9594911652758995,snow_stratum_summary,valid_continuous_attribute,,,,,,,,,,,frac_snow,KGE_CN-TGD_test,snow_fixed_strata,snow_stratum,stratified_primary,0.10572186674093489,0.21150861476804039,median,,S5,"[0.50, 1.00]",55,,,,,,,,,
IC-CMA-ES,CN-TGD,train,531,0.010191169040361501,0.087991992521237503,0.050359399263738502,0.74952919020715625,0.71924855867566817,1.0247399179095828e-85,0.28930963195596737,0.2580970326872552,0.31605751169719942,0.30006596648940081,0.27533359700972992,0.32479833596907171,within_paradigm,valid_continuous_attribute,,,,,,,,,,,,,all_531_basins,detailed,secondary,,,,,,,,,,,,,,,,
IC-CMA-ES,E_CN-Base,test_minus_train,531,-0.0080068902058959002,0.057353223691480951,-0.025910733654481412,0.3728813559322034,-0.29626578019426963,3.2164393507700862e-12,-0.11700840082978678,-0.14796794125293231,-0.084802023509198896,-0.12794905923168085,-0.20162316723295182,-0.05427495123040986,snow_exposure_continuous,valid_continuous_attribute,,,,,,,,,,,frac_snow,E_CN-Base,r1_remaining_exposure_gradient,full_sample,primary,,,,,,,,,-0.21566036894944468,-0.086416112648784377,region block bootstrap OLS slope sensitivity,generalization_exposure,,,,
IC-CMA-ES,E_CN-TGD,test_minus_train,531,-0.0040418235162397002,0.044360940636048951,-0.013265620039768883,0.41807909604519772,-0.071551360149622864,0.099554913735026188,-0.025132245765328132,-0.053585355119338388,0.0011480823271744634,-0.032400079584780431,-0.10234111960808248,0.03754096043852162,snow_exposure_continuous,valid_continuous_attribute,,,,,,,,,,,frac_snow,E_CN-TGD,r1_remaining_exposure_gradient,full_sample,primary,,,,,,,,,-0.10588174122677603,0.015903558802692987,region block bootstrap OLS slope sensitivity,generalization_exposure,,,,
IC-CMA-ES,E_TGD-Base,test_minus_train,531,-0.0038554449529178002,0.032751838378595549,-0.012645113614712529,0.4143126177024482,-0.24028277953925437,2.0677839313703893e-08,-0.051199183207014984,-0.072137600390169046,-0.033001917337396561,-0.095548979646900414,-0.14372201722341973,-0.047375942070381094,snow_exposure_continuous,valid_continuous_attribute,,,,,,,,,,,frac_snow,E_TGD-Base,r1_remaining_exposure_gradient,full_sample,primary,,,,,,,,,-0.13849410101286203,-0.065118512961029981,region block bootstrap OLS slope sensitivity,generalization_exposure,,,,
IC-CMA-ES,KGE_CN-TGD_vs_AMJJ,test,531,0.0037665434861456001,0.023190748900776003,0.011498351341050339,0.63653483992467041,0.36077161650572426,9.1136442027825281e-18,0.055428716253445934,0.041304466051095168,0.071190486449310197,0.065454812581018262,0.052288234409257756,0.078621390752778769,kge_signature_association,valid_continuous_attribute,,,,,,,,,,,KGE_CN-TGD,AMJJ_R_CN-TGD,r1_remaining_kge_signature_association,full_sample,primary,,,,,,,,,0.039461081166681192,0.085410713087253495,region block bootstrap OLS slope sensitivity,,AMJJ,R_CN-TGD,,KGE_CN-TGD_test
IC-CMA-ES,KGE_CN-TGD_vs_AMJJ_TGD-CN,test,531,,,,,0.25778429123656588,1.6557231328189087e-09,0.086487576543602201,0.056184142040176403,0.1200368808000697,0.031468844101537601,0.015302552512323001,0.047635135690752201,kge_signature_association,valid_association,,,,,,,,,,,KGE_CN-TGD_test,AMJJ_TGD-CN_error_reduction,all_531_basins,detailed,secondary,,,,,,,,,,,,,,,,
IC-CMA-ES,KGE_CN-TGD_vs_CT,test,531,1,5,2.4180790960451977,0.5216572504708098,0.3071891145401191,4.5622470916959964e-13,10.764743429520173,6.9831456582474924,13.804075436743469,17.918804870434322,14.620340055500296,21.217269685368347,kge_signature_association,valid_continuous_attribute,,,,,,,,,,,KGE_CN-TGD,CT_R_CN-TGD,r1_remaining_kge_signature_association,full_sample,primary,,,,,,,,,10.329924668827495,23.636859676672792,region block bootstrap OLS slope sensitivity,,CT,R_CN-TGD,,KGE_CN-TGD_test
IC-CMA-ES,KGE_CN-TGD_vs_CT_TGD-CN,test,531,,,,,0.29879866302543451,2.0600108253207319e-12,23.88868122122016,15.163812596453509,31.529144841152235,9.5007782904659113,5.4146032245109152,13.586953356420906,kge_signature_association,valid_association,,,,,,,,,,,KGE_CN-TGD_test,CT_TGD-CN_error_reduction,all_531_basins,detailed,secondary,,,,,,,,,,,,,,,,
IC-CMA-ES,R_CN-Base,test,121,0.0332482705478458,0.04582965676978909,0.046038928353050117,0.87603305785123964,0.43149979677550454,7.7595270671441928e-07,0.50147278773118398,0.32084159676602536,0.70490186512162001,0.5305856396165497,0.31229201425309716,0.74887926498000223,process_gradient_snow_stratum,valid_continuous_attribute,,,,,,,,,,,frac_snow,AMJJ_R_CN-Base,r1_remaining_process_gradient_snow_strata,full_sample,primary,,,,,S3,"[0.15, 0.30)",121,,0.071253464351310788,0.77332520944162764,region block bootstrap OLS slope sensitivity,,AMJJ,R_CN-Base,fractional_flow_error,
IC-CMA-ES,R_CN-Base,test,121,6,11,7.5206611570247937,0.75206611570247939,0.38205117368489838,1.5312397430137992e-05,109.09985892410229,62.558481580193387,157.94211006162436,129.00282311144787,84.558555535834657,173.44709068706106,process_gradient_snow_stratum,valid_continuous_attribute,,,,,,,,,,,frac_snow,CT_R_CN-Base,r1_remaining_process_gradient_snow_strata,full_sample,primary,,,,,S3,"[0.15, 0.30)",121,,45.825338148140325,180.70809397132922,region block bootstrap OLS slope sensitivity,,CT,R_CN-Base,days,
IC-CMA-ES,R_CN-Base,test,156,0.005739229478370092,0.018782865803663271,0.0089527401769193635,0.69230769230769229,0.21553318265872196,0.0068883634197231484,0.13162587027567468,0.03622634738002737,0.23469890838342283,0.21410510532380334,0.090694316627765378,0.33751589401984128,process_gradient_snow_stratum,valid_continuous_attribute,,,,,,,,,,,frac_snow,AMJJ_R_CN-Base,r1_remaining_process_gradient_snow_strata,full_sample,primary,,,,,S2,"[0.05, 0.15)",156,,-0.032591639532746165,0.5489645481682025,region block bootstrap OLS slope sensitivity,,AMJJ,R_CN-Base,fractional_flow_error,
IC-CMA-ES,R_CN-Base,test,156,1,6,2.1217948717948718,0.5641025641025641,0.20883034607218726,0.0088908335136880495,35.12578152677942,0,63.501834509128848,51.552960452154664,21.197551415098882,81.908369489210443,process_gradient_snow_stratum,valid_continuous_attribute,,,,,,,,,,,frac_snow,CT_R_CN-Base,r1_remaining_process_gradient_snow_strata,full_sample,primary,,,,,S2,"[0.05, 0.15)",156,,26.205474991074507,77.892682750762887,region block bootstrap OLS slope sensitivity,,CT,R_CN-Base,days,
IC-CMA-ES,R_CN-Base,test,165,0,2,-0.74545454545454548,0.39393939393939392,0.17917565642904479,0.021294428506886745,0,0,41.342124977562605,92.796244436278187,19.991219510488122,165.60126936206825,process_gradient_snow_stratum,valid_continuous_attribute,,,,,,,,,,,frac_snow,CT_R_CN-Base,r1_remaining_process_gradient_snow_strata,full_sample,primary,,,,,S1,"[0, 0.05)",165,,16.506217544735719,182.88066154929419,region block bootstrap OLS slope sensitivity,,CT,R_CN-Base,days,
IC-CMA-ES,R_CN-Base,test,165,0.00054686267246130058,0.010435457625594398,-0.00085143462404772905,0.54545454545454541,0.14855630012848411,0.056869356041272225,0.091926318227273859,-0.001954314356931823,0.18571058209680549,0.10609979755292952,-0.098661374953808736,0.31086097005966778,process_gradient_snow_stratum,valid_continuous_attribute,,,,,,,,,,,frac_snow,AMJJ_R_CN-Base,r1_remaining_process_gradient_snow_strata,full_sample,primary,,,,,S1,"[0, 0.05)",165,,-0.10241322921816354,0.23345969259402122,region block bootstrap OLS slope sensitivity,,AMJJ,R_CN-Base,fractional_flow_error,
