basin_id,paradigm,period,effect,effect_value,status,metric,effect_family,estimand,seed_count,seed_or_restart
01022500,IC-CMA-ES,test,CN-Base,0.07778049451430313,valid,kge,structural,KGE_CN_Base,,
01022500,IC-CMA-ES,test,TGD-Base,-0.038769728279756,valid,kge,structural,KGE_TGD_Base,,
01022500,IC-CMA-ES,test,CN-TGD,0.11655022279405913,valid,kge,structural,KGE_CN_TGD,,
01022500,IC-CMA-ES,train,CN-Base,0.2156417099087521,valid,kge,structural,KGE_CN_Base,,
01022500,IC-CMA-ES,train,TGD-Base,0.09228554208811302,valid,kge,structural,KGE_TGD_Base,,
01022500,IC-CMA-ES,train,CN-TGD,0.12335616782063907,valid,kge,structural,KGE_CN_TGD,,
01031500,IC-CMA-ES,test,CN-Base,0.25055355558516446,valid,kge,structural,KGE_CN_Base,,
01031500,IC-CMA-ES,test,TGD-Base,0.0674924925071918,valid,kge,structural,KGE_TGD_Base,,
01031500,IC-CMA-ES,test,CN-TGD,0.18306106307797265,valid,kge,structural,KGE_CN_TGD,,
01031500,IC-CMA-ES,train,CN-Base,0.2721202727281157,valid,kge,structural,KGE_CN_Base,,
01031500,IC-CMA-ES,train,TGD-Base,0.02412599162154505,valid,kge,structural,KGE_TGD_Base,,
01031500,IC-CMA-ES,train,CN-TGD,0.24799428110657062,valid,kge,structural,KGE_CN_TGD,,
01047000,IC-CMA-ES,test,CN-Base,0.20638805966945895,valid,kge,structural,KGE_CN_Base,,
01047000,IC-CMA-ES,test,TGD-Base,0.040206435713654676,valid,kge,structural,KGE_TGD_Base,,
01047000,IC-CMA-ES,test,CN-TGD,0.16618162395580427,valid,kge,structural,KGE_CN_TGD,,
01047000,IC-CMA-ES,train,CN-Base,0.2962201408887971,valid,kge,structural,KGE_CN_Base,,
01047000,IC-CMA-ES,train,TGD-Base,0.0518933171033199,valid,kge,structural,KGE_TGD_Base,,
01047000,IC-CMA-ES,train,CN-TGD,0.2443268237854772,valid,kge,structural,KGE_CN_TGD,,
01052500,IC-CMA-ES,test,CN-Base,0.40507293166923186,valid,kge,structural,KGE_CN_Base,,
01052500,IC-CMA-ES,test,TGD-Base,0.29273462070587,valid,kge,structural,KGE_TGD_Base,,
01052500,IC-CMA-ES,test,CN-TGD,0.11233831096336189,valid,kge,structural,KGE_CN_TGD,,
01052500,IC-CMA-ES,train,CN-Base,0.5668559337453469,valid,kge,structural,KGE_CN_Base,,
01052500,IC-CMA-ES,train,TGD-Base,0.4699207301225391,valid,kge,structural,KGE_TGD_Base,,
01052500,IC-CMA-ES,train,CN-TGD,0.09693520362280783,valid,kge,structural,KGE_CN_TGD,,
01054200,IC-CMA-ES,test,CN-Base,0.1902088948727536,valid,kge,structural,KGE_CN_Base,,
01054200,IC-CMA-ES,test,TGD-Base,0.04774440792222423,valid,kge,structural,KGE_TGD_Base,,
01054200,IC-CMA-ES,test,CN-TGD,0.14246448695052938,valid,kge,structural,KGE_CN_TGD,,
01054200,IC-CMA-ES,train,CN-Base,0.2395887966341319,valid,kge,structural,KGE_CN_Base,,
01054200,IC-CMA-ES,train,TGD-Base,0.05620732953436869,valid,kge,structural,KGE_TGD_Base,,
01054200,IC-CMA-ES,train,CN-TGD,0.18338146709976322,valid,kge,structural,KGE_CN_TGD,,
01055000,IC-CMA-ES,test,CN-Base,0.20709208568466742,valid,kge,structural,KGE_CN_Base,,
01055000,IC-CMA-ES,test,TGD-Base,0.04684898997554332,valid,kge,structural,KGE_TGD_Base,,
01055000,IC-CMA-ES,test,CN-TGD,0.1602430957091241,valid,kge,structural,KGE_CN_TGD,,
01055000,IC-CMA-ES,train,CN-Base,0.29722586153912,valid,kge,structural,KGE_CN_Base,,
01055000,IC-CMA-ES,train,TGD-Base,0.05189928076481243,valid,kge,structural,KGE_TGD_Base,,
01055000,IC-CMA-ES,train,CN-TGD,0.24532658077430758,valid,kge,structural,KGE_CN_TGD,,
01057000,IC-CMA-ES,test,CN-Base,0.21484142531179523,valid,kge,structural,KGE_CN_Base,,
01057000,IC-CMA-ES,test,TGD-Base,0.10767504092476415,valid,kge,structural,KGE_TGD_Base,,
01057000,IC-CMA-ES,test,CN-TGD,0.10716638438703108,valid,kge,structural,KGE_CN_TGD,,
01057000,IC-CMA-ES,train,CN-Base,0.21400411932403174,valid,kge,structural,KGE_CN_Base,,
01057000,IC-CMA-ES,train,TGD-Base,0.060653843466351276,valid,kge,structural,KGE_TGD_Base,,
01057000,IC-CMA-ES,train,CN-TGD,0.15335027585768046,valid,kge,structural,KGE_CN_TGD,,
01073000,IC-CMA-ES,test,CN-Base,0.047461696873059234,valid,kge,structural,KGE_CN_Base,,
01073000,IC-CMA-ES,test,TGD-Base,0.013718965293276653,valid,kge,structural,KGE_TGD_Base,,
01073000,IC-CMA-ES,test,CN-TGD,0.03374273157978258,valid,kge,structural,KGE_CN_TGD,,
01073000,IC-CMA-ES,train,CN-Base,0.13775825415711573,valid,kge,structural,KGE_CN_Base,,
01073000,IC-CMA-ES,train,TGD-Base,0.03693614799438938,valid,kge,structural,KGE_TGD_Base,,
01073000,IC-CMA-ES,train,CN-TGD,0.10082210616272635,valid,kge,structural,KGE_CN_TGD,,
01078000,IC-CMA-ES,test,CN-Base,0.17774805212698497,valid,kge,structural,KGE_CN_Base,,
01078000,IC-CMA-ES,test,TGD-Base,0.051377234018863405,valid,kge,structural,KGE_TGD_Base,,
01078000,IC-CMA-ES,test,CN-TGD,0.12637081810812156,valid,kge,structural,KGE_CN_TGD,,
01078000,IC-CMA-ES,train,CN-Base,0.3083005836699806,valid,kge,structural,KGE_CN_Base,,
01078000,IC-CMA-ES,train,TGD-Base,0.13539005183507113,valid,kge,structural,KGE_TGD_Base,,
01078000,IC-CMA-ES,train,CN-TGD,0.17291053183490945,valid,kge,structural,KGE_CN_TGD,,
01123000,IC-CMA-ES,test,CN-Base,5.9975352784569225e-05,valid,kge,structural,KGE_CN_Base,,
01123000,IC-CMA-ES,test,TGD-Base,0.008807726816930872,valid,kge,structural,KGE_TGD_Base,,
01123000,IC-CMA-ES,test,CN-TGD,-0.008747751464146303,valid,kge,structural,KGE_CN_TGD,,
01123000,IC-CMA-ES,train,CN-Base,0.014304935880094072,valid,kge,structural,KGE_CN_Base,,
01123000,IC-CMA-ES,train,TGD-Base,0.019354690790876927,valid,kge,structural,KGE_TGD_Base,,
