paradigm,subset,n,median_D,q25_D,q75_D,ci95_median_low,ci95_median_high,slope,ci95_slope_low,ci95_slope_high,spearman_rho,slope_direction
IC,full_531,531,1.4389204167334848,1.0491363949816406,1.7924116918494968,1.3817300124371725,1.4959492904511567,1.2905445345419386,1.1216233742215262,1.4642814273417377,0.43233235412294357,positive
dPL,full_531,531,0.64168894983362879,0.39017568281423254,1.1363265541866672,0.57472642738192803,0.69717966255061692,2.0847944029435306,1.9671650557591569,2.2124005439594097,0.74995880326248443,positive
IC,exclude_S5,476,1.3655716312269646,1.009477392989204,1.7071265277602723,1.3193863382455115,1.4295350952503516,1.5643899494889122,1.1552876537741801,1.9706878533614132,0.30378479528348579,positive
dPL,exclude_S5,476,0.56402849161545898,0.36735188040586941,0.9050440960553584,0.51917675026250032,0.62635004669754157,2.674233877966953,2.3737176514421732,2.9782318175202165,0.66714570444392185,positive
IC,S1,165,1.2045971943811391,0.74614285813092607,1.5154824455427502,1.0533285905636749,1.2756775753662319,,,,,not_estimated
dPL,S1,165,0.39015434032987861,0.27105763355110346,0.53958420343675084,0.34192835046522418,0.42316536112944181,,,,,not_estimated
IC,S2,156,1.3276641076642899,1.0053548700461372,1.7288443279776384,1.2299780703873173,1.4347404394909744,,,,,not_estimated
dPL,S2,156,0.50277648094657201,0.36032641147957667,0.70953611398067618,0.45244823616375984,0.53204606551932054,,,,,not_estimated
IC,S3,121,1.5410505877402332,1.2664816255750064,1.8347390658543317,1.4271927216296185,1.6022448422532576,,,,,not_estimated
dPL,S3,121,0.91713569742473722,0.72506833024801265,1.2271812157122595,0.87328108715083186,1.0378714151561184,,,,,not_estimated
IC,S4,34,1.7837751153013461,1.371431439944294,2.0398853104480308,1.522741940875624,1.9540270560687729,,,,,not_estimated
dPL,S4,34,1.2416107564281789,0.94154271034904258,1.6831943410121009,0.9977346157773469,1.541814416148898,,,,,not_estimated
IC,S5,55,2.0017723376248298,1.7602988509773159,2.2538362233124527,1.8310988760663924,2.1102243556253044,,,,,not_estimated
dPL,S5,55,1.709036829456027,1.5855805925607076,1.9457240920165173,1.6342543897140402,1.7996099588923662,,,,,not_estimated
