paradigm,threshold,stratum,median_boundary_contribution_percent
IC,0.01,Full531,93.134940134508412
IC,0.01,S1,94.966068862988266
IC,0.01,S2,93.141179488005491
IC,0.01,S3,90.176656473040111
IC,0.01,S4,89.825949930529063
IC,0.01,S5,94.740088391598192
IC,0.02,Full531,93.189034275852649
IC,0.02,S1,95.13243516285354
IC,0.02,S2,93.165712599139511
IC,0.02,S3,90.264915544136329
IC,0.02,S4,90.181737062847645
IC,0.02,S5,94.848867378695616
IC,0.050000000000000003,Full531,94.161520526284335
IC,0.050000000000000003,S1,95.180614974058003
IC,0.050000000000000003,S2,93.617671175477966
IC,0.050000000000000003,S3,91.998453972689063
IC,0.050000000000000003,S4,91.125754376852626
IC,0.050000000000000003,S5,95.751820990062882
dPL,0.01,Full531,0.35104330643717901
dPL,0.01,S1,0.10773323545043255
dPL,0.01,S2,0.13874381325999052
dPL,0.01,S3,1.1340327722185644
dPL,0.01,S4,26.117314192487861
dPL,0.01,S5,46.367954793709522
dPL,0.02,Full531,2.1258448976617794
dPL,0.02,S1,0.41347793438739355
dPL,0.02,S2,0.51796011318989199
dPL,0.02,S3,15.347122642307376
dPL,0.02,S4,43.781751007928563
dPL,0.02,S5,58.152163395763587
dPL,0.050000000000000003,Full531,18.83167703769854
dPL,0.050000000000000003,S1,4.797363454680557
dPL,0.050000000000000003,S2,7.4982973311265075
dPL,0.050000000000000003,S3,34.355411011892464
dPL,0.050000000000000003,S4,63.764675057254074
dPL,0.050000000000000003,S5,78.793750266425505
