paradigm,structure,parameter,symbol,tolerance,exact_zero_share,exact_one_share,near_lower_bound_share,near_upper_bound_share,total_boundary_mass_share,n_basins
IC,Base,xaj_k,k,0.01,0.14500941619585686,0.052730696798493411,0.14689265536723164,0.052730696798493411,0.19962335216572505,531
IC,Base,xaj_k,k,0.02,0.14500941619585686,0.052730696798493411,0.15065913370998116,0.052730696798493411,0.20338983050847456,531
IC,Base,xaj_k,k,0.050000000000000003,0.14500941619585686,0.052730696798493411,0.16949152542372881,0.052730696798493411,0.22222222222222221,531
IC,Base,xaj_b,b,0.01,0.3295668549905838,0.15630885122410546,0.33145009416195859,0.160075329566855,0.49152542372881358,531
IC,Base,xaj_b,b,0.02,0.3295668549905838,0.15630885122410546,0.34651600753295669,0.16195856873822975,0.50847457627118642,531
IC,Base,xaj_b,b,0.050000000000000003,0.3295668549905838,0.15630885122410546,0.39736346516007531,0.16195856873822975,0.55932203389830504,531
IC,Base,xaj_im,im,0.01,0.79849340866290019,0.018832391713747645,0.80602636534839922,0.018832391713747645,0.82485875706214684,531
IC,Base,xaj_im,im,0.02,0.79849340866290019,0.018832391713747645,0.81544256120527303,0.018832391713747645,0.83427495291902065,531
IC,Base,xaj_im,im,0.050000000000000003,0.79849340866290019,0.018832391713747645,0.83050847457627119,0.020715630885122412,0.8512241054613936,531
IC,Base,xaj_um,um,0.01,0.22410546139359699,0.6064030131826742,0.22598870056497175,0.61016949152542377,0.83615819209039555,531
IC,Base,xaj_um,um,0.02,0.22410546139359699,0.6064030131826742,0.22598870056497175,0.61016949152542377,0.83615819209039555,531
IC,Base,xaj_um,um,0.050000000000000003,0.22410546139359699,0.6064030131826742,0.2335216572504708,0.61205273069679844,0.84557438794726925,531
IC,Base,xaj_lm,lm,0.01,0.23163841807909605,0.3559322033898305,0.23163841807909605,0.3559322033898305,0.58757062146892658,531
IC,Base,xaj_lm,lm,0.02,0.23163841807909605,0.3559322033898305,0.2335216572504708,0.35969868173258002,0.59322033898305082,531
IC,Base,xaj_lm,lm,0.050000000000000003,0.23163841807909605,0.3559322033898305,0.23728813559322035,0.37476459510357818,0.61205273069679855,531
IC,Base,xaj_dm,dm,0.01,0.53107344632768361,0.1864406779661017,0.53107344632768361,0.18832391713747645,0.71939736346516003,531
IC,Base,xaj_dm,dm,0.02,0.53107344632768361,0.1864406779661017,0.53295668549905839,0.19209039548022599,0.72504708097928439,531
IC,Base,xaj_dm,dm,0.050000000000000003,0.53107344632768361,0.1864406779661017,0.53672316384180796,0.19397363465160075,0.73069679849340874,531
IC,Base,xaj_c,c,0.01,0.21657250470809794,0.54990583804143123,0.21657250470809794,0.54990583804143123,0.7664783427495292,531
IC,Base,xaj_c,c,0.02,0.21657250470809794,0.54990583804143123,0.21657250470809794,0.55178907721280601,0.76836158192090398,531
IC,Base,xaj_c,c,0.050000000000000003,0.21657250470809794,0.54990583804143123,0.22222222222222221,0.56308851224105461,0.78531073446327682,531
IC,Base,xaj_sm,sm,0.01,0.14689265536723164,0.13559322033898305,0.1487758945386064,0.13559322033898305,0.28436911487758942,531
IC,Base,xaj_sm,sm,0.02,0.14689265536723164,0.13559322033898305,0.15254237288135594,0.13559322033898305,0.28813559322033899,531
IC,Base,xaj_sm,sm,0.050000000000000003,0.14689265536723164,0.13559322033898305,0.16949152542372881,0.13559322033898305,0.30508474576271183,531
IC,Base,xaj_ex,ex,0.01,0.43502824858757061,0.2128060263653484,0.43879472693032018,0.21468926553672316,0.65348399246704336,531
IC,Base,xaj_ex,ex,0.02,0.43502824858757061,0.2128060263653484,0.45009416195856872,0.2184557438794727,0.66854990583804141,531
IC,Base,xaj_ex,ex,0.050000000000000003,0.43502824858757061,0.2128060263653484,0.47269303201506591,0.2184557438794727,0.6911487758945386,531
IC,Base,xaj_ki,ki,0.01,0.23163841807909605,0.16760828625235405,0.2391713747645951,0.16760828625235405,0.40677966101694918,531
IC,Base,xaj_ki,ki,0.02,0.23163841807909605,0.16760828625235405,0.24105461393596986,0.16760828625235405,0.40866290018832391,531
IC,Base,xaj_ki,ki,0.050000000000000003,0.23163841807909605,0.16760828625235405,0.25612052730696799,0.17325800376647835,0.42937853107344637,531
IC,Base,xaj_kg,kg,0.01,0.35216572504708099,0.17137476459510359,0.35781544256120529,0.17137476459510359,0.52919020715630882,531
IC,Base,xaj_kg,kg,0.02,0.35216572504708099,0.17137476459510359,0.35969868173258002,0.17137476459510359,0.53107344632768361,531
IC,Base,xaj_kg,kg,0.050000000000000003,0.35216572504708099,0.17137476459510359,0.37476459510357818,0.1751412429378531,0.54990583804143123,531
IC,Base,xaj_ci,ci,0.01,0.27495291902071561,0.077212806026365349,0.28436911487758948,0.082862523540489647,0.36723163841807915,531
IC,Base,xaj_ci,ci,0.02,0.27495291902071561,0.077212806026365349,0.28625235404896421,0.086629001883239173,0.3728813559322034,531
IC,Base,xaj_ci,ci,0.050000000000000003,0.27495291902071561,0.077212806026365349,0.2975517890772128,0.097928436911487754,0.39548022598870058,531
IC,Base,xaj_cg,cg,0.01,0.26365348399246702,0.11299435028248588,0.26365348399246702,0.12052730696798493,0.38418079096045193,531
IC,Base,xaj_cg,cg,0.02,0.26365348399246702,0.11299435028248588,0.26741996233521659,0.12994350282485875,0.39736346516007537,531
IC,Base,xaj_cg,cg,0.050000000000000003,0.26365348399246702,0.11299435028248588,0.2711864406779661,0.13935969868173259,0.41054613935969869,531
IC,Base,xaj_a,a,0.01,0.3992467043314501,0.2071563088512241,0.3992467043314501,0.2071563088512241,0.6064030131826742,531
IC,Base,xaj_a,a,0.02,0.3992467043314501,0.2071563088512241,0.40489642184557439,0.20903954802259886,0.61393596986817323,531
IC,Base,xaj_a,a,0.050000000000000003,0.3992467043314501,0.2071563088512241,0.40866290018832391,0.2184557438794727,0.6271186440677966,531
IC,Base,xaj_theta,theta,0.01,0.6064030131826742,0.10357815442561205,0.61770244821092279,0.10357815442561205,0.72128060263653482,531
IC,Base,xaj_theta,theta,0.02,0.6064030131826742,0.10357815442561205,0.64218455743879477,0.10357815442561205,0.74576271186440679,531
IC,Base,xaj_theta,theta,0.050000000000000003,0.6064030131826742,0.10357815442561205,0.70433145009416198,0.10357815442561205,0.80790960451977401,531
IC,CN,xaj_k,k,0.01,0.12429378531073447,0.052730696798493411,0.12994350282485875,0.052730696798493411,0.18267419962335216,531
IC,CN,xaj_k,k,0.02,0.12429378531073447,0.052730696798493411,0.12994350282485875,0.052730696798493411,0.18267419962335216,531
IC,CN,xaj_k,k,0.050000000000000003,0.12429378531073447,0.052730696798493411,0.14124293785310735,0.054613935969868174,0.19585687382297551,531
IC,CN,xaj_b,b,0.01,0.27495291902071561,0.13935969868173259,0.28060263653483991,0.13935969868173259,0.4199623352165725,531
IC,CN,xaj_b,b,0.02,0.27495291902071561,0.13935969868173259,0.28813559322033899,0.14124293785310735,0.42937853107344637,531
IC,CN,xaj_b,b,0.050000000000000003,0.27495291902071561,0.13935969868173259,0.32015065913370999,0.14124293785310735,0.46139359698681737,531
IC,CN,xaj_im,im,0.01,0.70809792843691144,0.033898305084745763,0.71186440677966101,0.033898305084745763,0.74576271186440679,531
IC,CN,xaj_im,im,0.02,0.70809792843691144,0.033898305084745763,0.72693032015065917,0.035781544256120526,0.76271186440677974,531
IC,CN,xaj_im,im,0.050000000000000003,0.70809792843691144,0.033898305084745763,0.75141242937853103,0.035781544256120526,0.7871939736346516,531
IC,CN,xaj_um,um,0.01,0.27871939736346518,0.45951035781544258,0.2824858757062147,0.4632768361581921,0.74576271186440679,531
IC,CN,xaj_um,um,0.02,0.27871939736346518,0.45951035781544258,0.28625235404896421,0.46516007532956688,0.75141242937853114,531
IC,CN,xaj_um,um,0.050000000000000003,0.27871939736346518,0.45951035781544258,0.29378531073446329,0.47269303201506591,0.7664783427495292,531
IC,CN,xaj_lm,lm,0.01,0.31826741996233521,0.24670433145009416,0.31826741996233521,0.2504708097928437,0.56873822975517885,531
IC,CN,xaj_lm,lm,0.02,0.31826741996233521,0.24670433145009416,0.32015065913370999,0.25235404896421848,0.57250470809792842,531
IC,CN,xaj_lm,lm,0.050000000000000003,0.31826741996233521,0.24670433145009416,0.32580037664783429,0.26177024482109229,0.58757062146892658,531
IC,CN,xaj_dm,dm,0.01,0.44821092278719399,0.2184557438794727,0.45386064030131829,0.22033898305084745,0.67419962335216577,531
IC,CN,xaj_dm,dm,0.02,0.44821092278719399,0.2184557438794727,0.45574387947269301,0.22410546139359699,0.67984934086629001,531
IC,CN,xaj_dm,dm,0.050000000000000003,0.44821092278719399,0.2184557438794727,0.46704331450094161,0.22975517890772129,0.69679849340866284,531
IC,CN,xaj_c,c,0.01,0.2128060263653484,0.48022598870056499,0.2184557438794727,0.4839924670433145,0.7024482109227872,531
IC,CN,xaj_c,c,0.02,0.2128060263653484,0.48022598870056499,0.2184557438794727,0.4839924670433145,0.7024482109227872,531
IC,CN,xaj_c,c,0.050000000000000003,0.2128060263653484,0.48022598870056499,0.22787193973634651,0.49905838041431261,0.72693032015065917,531
IC,CN,xaj_sm,sm,0.01,0.11299435028248588,0.13182674199623351,0.11864406779661017,0.13370998116760829,0.25235404896421848,531
IC,CN,xaj_sm,sm,0.02,0.11299435028248588,0.13182674199623351,0.1224105461393597,0.13370998116760829,0.25612052730696799,531
IC,CN,xaj_sm,sm,0.050000000000000003,0.11299435028248588,0.13182674199623351,0.13935969868173259,0.13559322033898305,0.27495291902071561,531
IC,CN,xaj_ex,ex,0.01,0.35404896421845572,0.25235404896421848,0.35781544256120529,0.25612052730696799,0.61393596986817323,531
IC,CN,xaj_ex,ex,0.02,0.35404896421845572,0.25235404896421848,0.37476459510357818,0.25612052730696799,0.63088512241054617,531
IC,CN,xaj_ex,ex,0.050000000000000003,0.35404896421845572,0.25235404896421848,0.40866290018832391,0.25988700564971751,0.66854990583804141,531
IC,CN,xaj_ki,ki,0.01,0.16572504708097929,0.21657250470809794,0.16572504708097929,0.2184557438794727,0.38418079096045199,531
IC,CN,xaj_ki,ki,0.02,0.16572504708097929,0.21657250470809794,0.16572504708097929,0.22033898305084745,0.38606403013182677,531
IC,CN,xaj_ki,ki,0.050000000000000003,0.16572504708097929,0.21657250470809794,0.17702448210922786,0.22598870056497175,0.40301318267419961,531
IC,CN,xaj_kg,kg,0.01,0.3295668549905838,0.19585687382297551,0.3295668549905838,0.19585687382297551,0.52542372881355925,531
IC,CN,xaj_kg,kg,0.02,0.3295668549905838,0.19585687382297551,0.33145009416195859,0.19585687382297551,0.52730696798493404,531
IC,CN,xaj_kg,kg,0.050000000000000003,0.3295668549905838,0.19585687382297551,0.34839924670433148,0.19962335216572505,0.54802259887005655,531
IC,CN,xaj_ci,ci,0.01,0.20903954802259886,0.097928436911487754,0.21092278719397364,0.10922787193973635,0.32015065913370999,531
IC,CN,xaj_ci,ci,0.02,0.20903954802259886,0.097928436911487754,0.21092278719397364,0.10922787193973635,0.32015065913370999,531
IC,CN,xaj_ci,ci,0.050000000000000003,0.20903954802259886,0.097928436911487754,0.22410546139359699,0.11864406779661017,0.34274952919020718,531
IC,CN,xaj_cg,cg,0.01,0.2448210922787194,0.12617702448210924,0.24858757062146894,0.13935969868173259,0.38794726930320156,531
IC,CN,xaj_cg,cg,0.02,0.2448210922787194,0.12617702448210924,0.25235404896421848,0.15819209039548024,0.41054613935969875,531
IC,CN,xaj_cg,cg,0.050000000000000003,0.2448210922787194,0.12617702448210924,0.25988700564971751,0.19020715630885121,0.45009416195856872,531
IC,CN,xaj_a,a,0.01,0.39171374764595102,0.16384180790960451,0.3935969868173258,0.16572504708097929,0.55932203389830515,531
IC,CN,xaj_a,a,0.02,0.39171374764595102,0.16384180790960451,0.3935969868173258,0.16949152542372881,0.56308851224105461,531
IC,CN,xaj_a,a,0.050000000000000003,0.39171374764595102,0.16384180790960451,0.3992467043314501,0.17325800376647835,0.57250470809792842,531
IC,CN,xaj_theta,theta,0.01,0.52730696798493404,0.0903954802259887,0.53672316384180796,0.0903954802259887,0.62711864406779672,531
IC,CN,xaj_theta,theta,0.02,0.52730696798493404,0.0903954802259887,0.57250470809792842,0.0903954802259887,0.66290018832391717,531
IC,CN,xaj_theta,theta,0.050000000000000003,0.52730696798493404,0.0903954802259887,0.62335216572504704,0.0903954802259887,0.71374764595103568,531
IC,TGD,xaj_k,k,0.01,0.13747645951035781,0.047080979284369114,0.13747645951035781,0.047080979284369114,0.18455743879472691,531
IC,TGD,xaj_k,k,0.02,0.13747645951035781,0.047080979284369114,0.13747645951035781,0.047080979284369114,0.18455743879472691,531
IC,TGD,xaj_k,k,0.050000000000000003,0.13747645951035781,0.047080979284369114,0.15819209039548024,0.050847457627118647,0.20903954802259889,531
IC,TGD,xaj_b,b,0.01,0.30696798493408661,0.13182674199623351,0.31261770244821091,0.13182674199623351,0.44444444444444442,531
IC,TGD,xaj_b,b,0.02,0.30696798493408661,0.13182674199623351,0.3239171374764595,0.13182674199623351,0.45574387947269301,531
IC,TGD,xaj_b,b,0.050000000000000003,0.30696798493408661,0.13182674199623351,0.38418079096045199,0.13182674199623351,0.51600753295668556,531
IC,TGD,xaj_im,im,0.01,0.79284369114877584,0.016949152542372881,0.79661016949152541,0.016949152542372881,0.81355932203389825,531
IC,TGD,xaj_im,im,0.02,0.79284369114877584,0.016949152542372881,0.80602636534839922,0.016949152542372881,0.82297551789077206,531
IC,TGD,xaj_im,im,0.050000000000000003,0.79284369114877584,0.016949152542372881,0.8192090395480226,0.016949152542372881,0.83615819209039544,531
IC,TGD,xaj_um,um,0.01,0.24858757062146894,0.57062146892655363,0.25235404896421848,0.57250470809792842,0.82485875706214684,531
IC,TGD,xaj_um,um,0.02,0.24858757062146894,0.57062146892655363,0.25235404896421848,0.57250470809792842,0.82485875706214684,531
IC,TGD,xaj_um,um,0.050000000000000003,0.24858757062146894,0.57062146892655363,0.25612052730696799,0.5743879472693032,0.83050847457627119,531
IC,TGD,xaj_lm,lm,0.01,0.25235404896421848,0.33145009416195859,0.25423728813559321,0.33709981167608288,0.59133709981167604,531
IC,TGD,xaj_lm,lm,0.02,0.25235404896421848,0.33145009416195859,0.25612052730696799,0.33709981167608288,0.59322033898305082,531
IC,TGD,xaj_lm,lm,0.050000000000000003,0.25235404896421848,0.33145009416195859,0.26365348399246702,0.34463276836158191,0.60828625235404887,531
IC,TGD,xaj_dm,dm,0.01,0.51600753295668544,0.1807909604519774,0.51789077212806023,0.18267419962335216,0.70056497175141241,531
IC,TGD,xaj_dm,dm,0.02,0.51600753295668544,0.1807909604519774,0.51789077212806023,0.1864406779661017,0.70433145009416198,531
IC,TGD,xaj_dm,dm,0.050000000000000003,0.51600753295668544,0.1807909604519774,0.5216572504708098,0.19020715630885121,0.71186440677966101,531
IC,TGD,xaj_c,c,0.01,0.22033898305084745,0.48775894538606401,0.22222222222222221,0.4896421845574388,0.71186440677966101,531
IC,TGD,xaj_c,c,0.02,0.22033898305084745,0.48775894538606401,0.22410546139359699,0.4896421845574388,0.71374764595103579,531
IC,TGD,xaj_c,c,0.050000000000000003,0.22033898305084745,0.48775894538606401,0.22975517890772129,0.49529190207156309,0.72504708097928439,531
IC,TGD,xaj_sm,sm,0.01,0.17325800376647835,0.16384180790960451,0.1751412429378531,0.16572504708097929,0.3408662900188324,531
IC,TGD,xaj_sm,sm,0.02,0.17325800376647835,0.16384180790960451,0.1864406779661017,0.16949152542372881,0.3559322033898305,531
IC,TGD,xaj_sm,sm,0.050000000000000003,0.17325800376647835,0.16384180790960451,0.2071563088512241,0.17137476459510359,0.37853107344632769,531
IC,TGD,xaj_ex,ex,0.01,0.48022598870056499,0.19774011299435029,0.4839924670433145,0.20150659133709981,0.68549905838041436,531
IC,TGD,xaj_ex,ex,0.02,0.48022598870056499,0.19774011299435029,0.48587570621468928,0.20150659133709981,0.68738229755178915,531
IC,TGD,xaj_ex,ex,0.050000000000000003,0.48022598870056499,0.19774011299435029,0.51600753295668544,0.20150659133709981,0.71751412429378525,531
IC,TGD,xaj_ki,ki,0.01,0.2335216572504708,0.19962335216572505,0.23540489642184556,0.20150659133709981,0.43691148775894539,531
IC,TGD,xaj_ki,ki,0.02,0.2335216572504708,0.19962335216572505,0.2391713747645951,0.20150659133709981,0.44067796610169491,531
IC,TGD,xaj_ki,ki,0.050000000000000003,0.2335216572504708,0.19962335216572505,0.25235404896421848,0.20903954802259886,0.46139359698681737,531
IC,TGD,xaj_kg,kg,0.01,0.32768361581920902,0.23540489642184556,0.32768361581920902,0.23540489642184556,0.56308851224105461,531
IC,TGD,xaj_kg,kg,0.02,0.32768361581920902,0.23540489642184556,0.33333333333333331,0.23728813559322035,0.57062146892655363,531
IC,TGD,xaj_kg,kg,0.050000000000000003,0.32768361581920902,0.23540489642184556,0.34274952919020718,0.24105461393596986,0.58380414312617701,531
IC,TGD,xaj_ci,ci,0.01,0.2711864406779661,0.10546139359698682,0.27495291902071561,0.11299435028248588,0.3879472693032015,531
IC,TGD,xaj_ci,ci,0.02,0.2711864406779661,0.10546139359698682,0.27495291902071561,0.1167608286252354,0.39171374764595102,531
IC,TGD,xaj_ci,ci,0.050000000000000003,0.2711864406779661,0.10546139359698682,0.28625235404896421,0.13935969868173259,0.4256120527306968,531
IC,TGD,xaj_cg,cg,0.01,0.27306967984934089,0.10169491525423729,0.27306967984934089,0.10734463276836158,0.38041431261770248,531
IC,TGD,xaj_cg,cg,0.02,0.27306967984934089,0.10169491525423729,0.27306967984934089,0.1111111111111111,0.38418079096045199,531
IC,TGD,xaj_cg,cg,0.050000000000000003,0.27306967984934089,0.10169491525423729,0.2824858757062147,0.13747645951035781,0.4199623352165725,531
IC,TGD,xaj_a,a,0.01,0.37099811676082861,0.20903954802259886,0.3728813559322034,0.2128060263653484,0.5856873822975518,531
IC,TGD,xaj_a,a,0.02,0.37099811676082861,0.20903954802259886,0.3728813559322034,0.2128060263653484,0.5856873822975518,531
IC,TGD,xaj_a,a,0.050000000000000003,0.37099811676082861,0.20903954802259886,0.3728813559322034,0.22598870056497175,0.59887005649717517,531
IC,TGD,xaj_theta,theta,0.01,0.53107344632768361,0.13747645951035781,0.53672316384180796,0.13747645951035781,0.67419962335216577,531
IC,TGD,xaj_theta,theta,0.02,0.53107344632768361,0.13747645951035781,0.55743879472693036,0.13935969868173259,0.69679849340866296,531
IC,TGD,xaj_theta,theta,0.050000000000000003,0.53107344632768361,0.13747645951035781,0.6064030131826742,0.13935969868173259,0.74576271186440679,531
dPL,Base,xaj_k,k,0.01,0,0,0.04519774011299435,0,0.04519774011299435,531
