paradigm,structure,parameter,parameter_display,threshold,n,median_boundary_distance,q25_boundary_distance,q75_boundary_distance,boundary_rate,base_rate,cn_rate,cn_minus_base,ci95_low,ci95_high
IC,Base,xaj_a,a (UH shape),0.01,531,0,0,0.23652574292613904,0.6064030131826742,,,,,
IC,Base,xaj_a,a (UH shape),0.02,531,0,0,0.23652574292613904,0.61393596986817323,,,,,
IC,Base,xaj_a,a (UH shape),0.050000000000000003,531,0,0,0.23652574292613904,0.6271186440677966,,,,,
IC,Base,xaj_b,b,0.01,531,0.016254561961128896,0,0.18001149608443628,0.49152542372881358,,,,,
IC,Base,xaj_b,b,0.02,531,0.016254561961128896,0,0.18001149608443628,0.50847457627118642,,,,,
IC,Base,xaj_b,b,0.050000000000000003,531,0.016254561961128896,0,0.18001149608443628,0.55932203389830504,,,,,
IC,Base,xaj_c,c,0.01,531,0,0,0,0.7664783427495292,,,,,
IC,Base,xaj_c,c,0.02,531,0,0,0,0.76836158192090398,,,,,
IC,Base,xaj_c,c,0.050000000000000003,531,0,0,0,0.78531073446327682,,,,,
IC,Base,xaj_cg,cg,0.01,531,0.11617790904554948,0,0.25383830007851554,0.38418079096045199,,,,,
IC,Base,xaj_cg,cg,0.02,531,0.11617790904554948,0,0.25383830007851554,0.39736346516007531,,,,,
IC,Base,xaj_cg,cg,0.050000000000000003,531,0.11617790904554948,0,0.25383830007851554,0.41054613935969869,,,,,
IC,Base,xaj_ci,ci,0.01,531,0.16094447145628943,0,0.32097502610959999,0.3672316384180791,,,,,
IC,Base,xaj_ci,ci,0.02,531,0.16094447145628943,0,0.32097502610959999,0.3728813559322034,,,,,
IC,Base,xaj_ci,ci,0.050000000000000003,531,0.16094447145628943,0,0.32097502610959999,0.39548022598870058,,,,,
IC,Base,xaj_dm,dm,0.01,531,0,0,0.096213378249789649,0.71939736346516003,,,,,
IC,Base,xaj_dm,dm,0.02,531,0,0,0.096213378249789649,0.72504708097928439,,,,,
IC,Base,xaj_dm,dm,0.050000000000000003,531,0,0,0.096213378249789649,0.73069679849340863,,,,,
IC,Base,xaj_ex,ex,0.01,531,0,0,0.10066883115694714,0.65348399246704336,,,,,
IC,Base,xaj_ex,ex,0.02,531,0,0,0.10066883115694714,0.66854990583804141,,,,,
IC,Base,xaj_ex,ex,0.050000000000000003,531,0,0,0.10066883115694714,0.6911487758945386,,,,,
IC,Base,xaj_im,im,0.01,531,0,0,0,0.82485875706214684,,,,,
IC,Base,xaj_im,im,0.02,531,0,0,0,0.83427495291902076,,,,,
IC,Base,xaj_im,im,0.050000000000000003,531,0,0,0,0.8512241054613936,,,,,
IC,Base,xaj_k,k,0.01,531,0.1487861071583978,0.066014703836137459,0.2441185603378693,0.19962335216572505,,,,,
IC,Base,xaj_k,k,0.02,531,0.1487861071583978,0.066014703836137459,0.2441185603378693,0.20338983050847459,,,,,
IC,Base,xaj_k,k,0.050000000000000003,531,0.1487861071583978,0.066014703836137459,0.2441185603378693,0.22222222222222221,,,,,
IC,Base,xaj_kg,kg,0.01,531,0,0,0.20026785009706083,0.52919020715630882,,,,,
IC,Base,xaj_kg,kg,0.02,531,0,0,0.20026785009706083,0.53107344632768361,,,,,
IC,Base,xaj_kg,kg,0.050000000000000003,531,0,0,0.20026785009706083,0.54990583804143123,,,,,
IC,Base,xaj_ki,ki,0.01,531,0.12414856349108649,0,0.31262888682624768,0.40677966101694918,,,,,
IC,Base,xaj_ki,ki,0.02,531,0.12414856349108649,0,0.31262888682624768,0.40866290018832391,,,,,
IC,Base,xaj_ki,ki,0.050000000000000003,531,0.12414856349108649,0,0.31262888682624768,0.42937853107344631,,,,,
IC,Base,xaj_lm,lm,0.01,531,0,0,0.24768392746011375,0.58757062146892658,,,,,
IC,Base,xaj_lm,lm,0.02,531,0,0,0.24768392746011375,0.59322033898305082,,,,,
IC,Base,xaj_lm,lm,0.050000000000000003,531,0,0,0.24768392746011375,0.61205273069679844,,,,,
IC,Base,xaj_sm,sm,0.01,531,0.17540048156415636,0,0.307667602255698,0.28436911487758948,,,,,
IC,Base,xaj_sm,sm,0.02,531,0.17540048156415636,0,0.307667602255698,0.28813559322033899,,,,,
IC,Base,xaj_sm,sm,0.050000000000000003,531,0.17540048156415636,0,0.307667602255698,0.30508474576271188,,,,,
IC,Base,xaj_theta,theta (UH scale),0.01,531,0,0,0.023527387535788532,0.72128060263653482,,,,,
IC,Base,xaj_theta,theta (UH scale),0.02,531,0,0,0.023527387535788532,0.74576271186440679,,,,,
IC,Base,xaj_theta,theta (UH scale),0.050000000000000003,531,0,0,0.023527387535788532,0.80790960451977401,,,,,
IC,Base,xaj_um,um,0.01,531,0,0,0,0.83615819209039544,,,,,
IC,Base,xaj_um,um,0.02,531,0,0,0,0.83615819209039544,,,,,
IC,Base,xaj_um,um,0.050000000000000003,531,0,0,0,0.84557438794726936,,,,,
IC,CN,xaj_a,a (UH shape),0.01,531,0,0,0.26557541244489091,0.55932203389830504,,,,,
IC,CN,xaj_a,a (UH shape),0.02,531,0,0,0.26557541244489091,0.56308851224105461,,,,,
IC,CN,xaj_a,a (UH shape),0.050000000000000003,531,0,0,0.26557541244489091,0.57250470809792842,,,,,
IC,CN,xaj_b,b,0.01,531,0.063549082620670203,0,0.21159446018569456,0.4199623352165725,,,,,
IC,CN,xaj_b,b,0.02,531,0.063549082620670203,0,0.21159446018569456,0.42937853107344631,,,,,
IC,CN,xaj_b,b,0.050000000000000003,531,0.063549082620670203,0,0.21159446018569456,0.46139359698681731,,,,,
IC,CN,xaj_c,c,0.01,531,0,0,0.089299518662826094,0.7024482109227872,,,,,
IC,CN,xaj_c,c,0.02,531,0,0,0.089299518662826094,0.7024482109227872,,,,,
