paradigm,structure,parameter,parameter_display,n,median_z,iqr_z,q25_z,q75_z,iqr_difference_cn_minus_base,ci95_low,ci95_high
IC,CN-Base,xaj_a,a (UH shape),531,,,,,-0.068692488587690836,-0.14755282659508406,-0.019076008035065248
IC,CN-Base,xaj_b,b,531,,,,,-0.029199658594831979,-0.10729753002366087,0.062848951369511644
IC,CN-Base,xaj_c,c,531,,,,,0.017693938236544887,-0.18754164255644537,0.21650764893381413
IC,CN-Base,xaj_cg,cg,531,,,,,-0.018927655329295523,-0.12698798361529928,0.088042210922271616
IC,CN-Base,xaj_ci,ci,531,,,,,-0.043877576185725298,-0.11978958346313444,0.057214521237776365
IC,CN-Base,xaj_dm,dm,531,,,,,0.19650803872791411,0.029088956843154913,0.35740490143847109
IC,CN-Base,xaj_ex,ex,531,,,,,0.41513349470876548,-0.0011812868557223855,0.59350781116222684
IC,CN-Base,xaj_im,im,531,,,,,0.046860373498941663,0.0055542021967094277,0.081681850843798087
IC,CN-Base,xaj_k,k,531,,,,,0.014359245745274363,-0.016190069501990634,0.049076373858445724
IC,CN-Base,xaj_kg,kg,531,,,,,0.23287147252973861,0.055034206172363653,0.37708174983807113
IC,CN-Base,xaj_ki,ki,531,,,,,0.088731118076766508,-0.040091764218569227,0.25894277539658128
IC,CN-Base,xaj_lm,lm,531,,,,,0.089860237941717241,-0.13361013561462776,0.2106588815746917
IC,CN-Base,xaj_sm,sm,531,,,,,0.010615891823249513,-0.044775352978106212,0.062609648059543346
IC,CN-Base,xaj_theta,theta (UH scale),531,,,,,0.069450186071653541,0.012380826394133185,0.11691619548858506
IC,CN-Base,xaj_um,um,531,,,,,0.10180596726818089,0,0.31252652655652935
dPL,CN-Base,xaj_a,a (UH shape),531,,,,,-0.049548015512269061,-0.090180718436323429,0.00013442543046221386
dPL,CN-Base,xaj_b,b,531,,,,,-0.18595770001411432,-0.25503782359393018,-0.13171684506692369
dPL,CN-Base,xaj_c,c,531,,,,,0.12238782644271851,0.082642017304897314,0.18031057417392726
dPL,CN-Base,xaj_cg,cg,531,,,,,-0.13837248086929327,-0.1940806731581689,-0.074357070028782016
dPL,CN-Base,xaj_ci,ci,531,,,,,-0.2318788899315728,-0.28816691289345431,-0.1669356897473335
dPL,CN-Base,xaj_dm,dm,531,,,,,0.04378385014004179,0.024166339768303766,0.064573352071973997
dPL,CN-Base,xaj_ex,ex,531,,,,,-0.071806358663659378,-0.13637554214188929,-0.027052189076417384
dPL,CN-Base,xaj_im,im,531,,,,,0.028129166360789288,0.020924938213283895,0.039774439006578177
dPL,CN-Base,xaj_k,k,531,,,,,-0.013159632682800279,-0.025870937605698894,0.0015498573581377575
dPL,CN-Base,xaj_kg,kg,531,,,,,0.20332944778991602,0.16151198297406419,0.27646528724913616
dPL,CN-Base,xaj_ki,ki,531,,,,,-0.066138481987374126,-0.12099642938535132,-0.0011635465281350063
dPL,CN-Base,xaj_lm,lm,531,,,,,0.11571320427788617,0.060557232962714307,0.15397949589623347
dPL,CN-Base,xaj_sm,sm,531,,,,,-0.077209101225200472,-0.16158613782179984,-0.031462250132309792
dPL,CN-Base,xaj_theta,theta (UH scale),531,,,,,0.0022317910423645558,-0.0073651264600742335,0.0094889348874298424
dPL,CN-Base,xaj_um,um,531,,,,,0.45740232467651365,0.31403144995371512,0.54862293508317739
