paradigm,structure,parameter,parameter_display,n,median_z,iqr_z,q25_z,q75_z,iqr_difference_cn_minus_base,ci95_low,ci95_high
IC,Base,xaj_a,a (UH shape),531,0.36266167498345564,0.86300961069910764,0,0.86300961069910764,,,
IC,Base,xaj_b,b,531,0.101375637645055,0.41317612042568941,0,0.41317612042568941,,,
IC,Base,xaj_c,c,531,1,0.83093143555971327,0.16906856444028676,1,,,
IC,Base,xaj_cg,cg,531,0.6446235967787407,0.86143710483019909,0,0.86143710483019909,,,
IC,Base,xaj_ci,ci,531,0.41108945346675074,0.72982599407120552,0,0.72982599407120552,,,
IC,Base,xaj_dm,dm,531,0,0.67766151438611844,0,0.67766151438611844,,,
IC,Base,xaj_ex,ex,531,0.083007040650323355,0.58486650529123452,0,0.58486650529123452,,,
IC,Base,xaj_im,im,531,0,0,0,0,,,
IC,Base,xaj_k,k,531,0.16680621374376634,0.22470822777415858,0.090778275047126683,0.31548650282128526,,,
IC,Base,xaj_kg,kg,531,0.14595734468363464,0.50213459367356772,0,0.50213459367356772,,,
IC,Base,xaj_ki,ki,531,0.29862185783031703,0.54633297708004269,0.044147279721310745,0.59048025680135341,,,
IC,Base,xaj_lm,lm,531,0.67501000336102912,0.90133624938176193,0.098663750618238039,1,,,
IC,Base,xaj_sm,sm,531,0.26543055668844312,0.39372658081535189,0.11981072069573123,0.51353730151108312,,,
IC,Base,xaj_theta,theta (UH scale),531,0,0.086733583309542395,0,0.086733583309542395,,,
IC,Base,xaj_um,um,531,1,0.89819403273181908,0.10180596726818089,1,,,
IC,CN,xaj_a,a (UH shape),531,0.31516948929486677,0.79431712211141681,0,0.79431712211141681,,,
IC,CN,xaj_b,b,531,0.15349623816268052,0.38397646183085743,0,0.38397646183085743,,,
IC,CN,xaj_c,c,531,0.94969100227674486,0.84862537379625813,0.15137462620374184,1,,,
IC,CN,xaj_cg,cg,531,0.58173760634909655,0.84250944950090356,0.017656452928092595,0.86016590242899615,,,
IC,CN,xaj_ci,ci,531,0.56432265814233229,0.68594841788548022,0.12409823329527268,0.81004665118075292,,,
IC,CN,xaj_dm,dm,531,0.15099249602907763,0.87416955311403255,0,0.87416955311403255,,,
IC,CN,xaj_ex,ex,531,0.13442995837235594,1,0,1,,,
IC,CN,xaj_im,im,531,0,0.046860373498941663,0,0.046860373498941663,,,
IC,CN,xaj_k,k,531,0.18721383202840683,0.23906747351943294,0.11029382330663504,0.34936129682606798,,,
IC,CN,xaj_kg,kg,531,0.21132727246285868,0.73500606620330633,0,0.73500606620330633,,,
IC,CN,xaj_ki,ki,531,0.38828352528841592,0.63506409515680917,0.15646301023385825,0.7915271053906674,,,
IC,CN,xaj_lm,lm,531,0.41445108085263027,0.9911964873234792,0,0.9911964873234792,,,
IC,CN,xaj_sm,sm,531,0.27886438813461217,0.4043424726386014,0.14161862305013367,0.54596109568873508,,,
IC,CN,xaj_theta,theta (UH scale),531,0,0.15618376938119594,0,0.15618376938119594,,,
IC,CN,xaj_um,um,531,0.8643295370223486,1,0,1,,,
IC,GD,xaj_a,a (UH shape),531,0.44845493882986792,0.95996869089949377,0,0.95996869089949377,,,
IC,GD,xaj_b,b,531,0.122990129062859,0.37654975487357811,0,0.37654975487357811,,,
IC,GD,xaj_c,c,531,0.9226739130045305,0.96912815069103597,0.030871849308964014,1,,,
IC,GD,xaj_cg,cg,531,0.55446306423907366,0.80711806229996541,0,0.80711806229996541,,,
IC,GD,xaj_ci,ci,531,0.47444626251762267,0.80043521917586569,0,0.80043521917586569,,,
IC,GD,xaj_dm,dm,531,0.015648262835156006,0.79216917710270573,0,0.79216917710270573,,,
IC,GD,xaj_ex,ex,531,0.040281618521452019,0.56338090755525461,0,0.56338090755525461,,,
IC,GD,xaj_im,im,531,0,0,0,0,,,
IC,GD,xaj_k,k,531,0.16973561717906457,0.21302966712177127,0.09254818301218401,0.30557785013395528,,,
IC,GD,xaj_kg,kg,531,0.20026486952222752,0.88568051364071387,0,0.88568051364071387,,,
IC,GD,xaj_ki,ki,531,0.38417111022817296,0.76331612846200125,0.057538979033884212,0.82085510749588542,,,
IC,GD,xaj_lm,lm,531,0.57572309660331245,1,0,1,,,
IC,GD,xaj_sm,sm,531,0.2344189563446667,0.46428876501275351,0.080076589201686699,0.54436535421444021,,,
IC,GD,xaj_theta,theta (UH scale),531,0,0.16829281607366636,0,0.16829281607366636,,,
IC,GD,xaj_um,um,531,1,0.85059914698946604,0.14940085301053396,1,,,
dPL,Base,xaj_a,a (UH shape),531,0.51945550688381859,0.53963488545911065,0.28655927756737021,0.82619416302648085,,,
dPL,Base,xaj_b,b,531,0.23862381985313016,0.53652337507197734,0.07102439748613458,0.60754777255811188,,,
dPL,Base,xaj_c,c,531,0.99467425346374516,0.014320313930511475,0.98431872129440312,0.9986390352249146,,,
dPL,Base,xaj_cg,cg,531,0.61671113967895497,0.58971166610717796,0.25134718418121321,0.84105885028839111,,,
dPL,Base,xaj_ci,ci,531,0.59976295630137122,0.50309363338682389,0.25006310145060218,0.75315673483742607,,,
dPL,Base,xaj_dm,dm,531,0.0052170541551378041,0.031036270989312064,0.001157538096110026,0.03219380908542209,,,
dPL,Base,xaj_ex,ex,531,0.20479798003246913,0.58741876169254903,0.046307088513123359,0.6337258502056724,,,
dPL,Base,xaj_im,im,531,0.0012405502881544332,0.006112950892808537,0.00022747379262000322,0.0063404246854285402,,,
dPL,Base,xaj_k,k,531,0.17790850003560385,0.15586143732070923,0.10344638427098592,0.25930782159169513,,,
dPL,Base,xaj_kg,kg,531,0.058170269642557421,0.17450857841010603,0.017917343149227757,0.1924259215593338,,,
dPL,Base,xaj_ki,ki,531,0.28079024382999968,0.48340080838118282,0.079342140150921697,0.56274294853210449,,,
dPL,Base,xaj_lm,lm,531,0.72178387112087672,0.46089909871419282,0.4606616973876953,0.92156079610188812,,,
dPL,Base,xaj_sm,sm,531,0.24897934763055099,0.4478426581934879,0.10128712905080695,0.54912978724429484,,,
dPL,Base,xaj_theta,theta (UH scale),531,0.0093324390741494987,0.03193472082225176,0.0027359117968724323,0.034670632619124189,,,
dPL,Base,xaj_um,um,531,0.97113918728298609,0.32600330776638453,0.67005644904242623,0.99605975680881076,,,
dPL,CN,xaj_a,a (UH shape),531,0.53942861228153627,0.49008686994684159,0.30158958558378546,0.79167645553062704,,,
dPL,CN,xaj_b,b,531,0.18160408735275271,0.35056567505786296,0.069961529029043096,0.42052720408690603,,,
dPL,CN,xaj_c,c,531,0.97563056945800786,0.13670814037322998,0.85695635080337529,0.99366449117660527,,,
dPL,CN,xaj_cg,cg,531,0.68402445316314686,0.45133918523788463,0.46353167295455922,0.91487085819244385,,,
dPL,CN,xaj_ci,ci,531,0.71669938829210067,0.27121474345525109,0.56440339485804236,0.83561813831329346,,,
dPL,CN,xaj_dm,dm,531,0.016119734446207682,0.07482012112935385,0.0040471659766303167,0.07886728710598416,,,
dPL,CN,xaj_ex,ex,531,0.26786921526256363,0.51561240302888967,0.080747577704881363,0.59635998073377106,,,
dPL,CN,xaj_im,im,531,0.0069673941470682621,0.034242117253597826,0.0011929635851023099,0.035435080838700138,,,
dPL,CN,xaj_k,k,531,0.16579039891560873,0.14270180463790894,0.10441255569458008,0.24711436033248901,,,
dPL,CN,xaj_kg,kg,531,0.17653662179197585,0.37783802620002205,0.052965655922889709,0.43080368212291176,,,
dPL,CN,xaj_ki,ki,531,0.51341955150876728,0.41726232639380867,0.31732664576598579,0.73458897215979446,,,
dPL,CN,xaj_lm,lm,531,0.6585978190104167,0.576612302992079,0.32939084370930993,0.90600314670138893,,,
dPL,CN,xaj_sm,sm,531,0.26170224641498768,0.37063355696828743,0.12186106631630346,0.49249462328459087,,,
dPL,CN,xaj_theta,theta (UH scale),531,0.0070949775668290947,0.034166511864616313,0.0027414980129553722,0.036908009877571687,,,
dPL,CN,xaj_um,um,531,0.8263026767306858,0.78340563244289818,0.19907787111070421,0.98248350355360237,,,
dPL,GD,xaj_a,a (UH shape),531,0.56746014233293207,0.52065762980230923,0.30379052819876839,0.82444815800107762,,,
dPL,GD,xaj_b,b,531,0.20583263823860573,0.44721910043766622,0.086565540025108745,0.53378464046277496,,,
dPL,GD,xaj_c,c,531,0.95826416015625004,0.56182518601417542,0.43088920712471007,0.99271439313888554,,,
dPL,GD,xaj_cg,cg,531,0.60181474685668934,0.5970585346221926,0.23578143119811995,0.8328399658203125,,,
dPL,GD,xaj_ci,ci,531,0.59340963098737931,0.44610319866074455,0.32558534873856437,0.77168854739930892,,,
dPL,GD,xaj_dm,dm,531,0.011310757531060114,0.0822045856051975,0.0025172127617730036,0.084721798366970497,,,
dPL,GD,xaj_ex,ex,531,0.18628300491132235,0.63096728764082255,0.036195733045276839,0.66716302068609934,,,
dPL,GD,xaj_im,im,531,0.0020548483977715177,0.0061109728509715451,0.00063688101363368332,0.0067478538646052284,,,
dPL,GD,xaj_k,k,531,0.16338721911112467,0.14849241574605304,0.092015246550242111,0.24050766229629517,,,
dPL,GD,xaj_kg,kg,531,0.14018800641809193,0.51290265018386494,0.032524552994540767,0.54542720317840576,,,
