paradigm,parameter,parameter_display,function_group,n,median_shift,q25,q75,iqr,ci95_low_shift,ci95_high_shift,abs_median_shift,sign_direction,bootstrap_n,bootstrap_seed,beta,ci95_low_gradient,ci95_high_gradient,spearman_rho,bh_q,cross_paradigm_direction_consistent,gradient_direction_consistent,candidate_score,selected_panel_c,panel_c_rank,selection_reason,selection_rule
IC,xaj_um,um,ET / tension-water storage,531,0,0,0.11313133775814044,0.11313133775814044,0,0,0,zero,10000,20260730,0.52112286207081493,0.32285790218725541,0.71979153544347918,0.21637225356806561,2.4021998946805388e-06,False,True,0.52112286207081493,True,1,"both IC/dPL slope CIs exclude zero, shared slope direction, top four minimum absolute slope",effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
dPL,xaj_um,um,ET / tension-water storage,531,0.010730658637152724,-0.0051697201199001896,0.16419171227349177,0.16936143239339196,0.0080351935492620763,0.015540038214789494,0.010730658637152724,Base>CN,10000,20260730,1.0153148304277149,0.86758017039538027,1.1524292789968866,0.41821397553677458,2.0301945778014002e-23,False,True,1.0260454890648676,True,1,"both IC/dPL slope CIs exclude zero, shared slope direction, top four minimum absolute slope",effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
IC,xaj_ki,ki,routing / recession,531,0,-0.23236624102590889,0.048514526079928427,0.28088076710583731,-0.0022613416313768467,0,0,zero,10000,20260730,-0.47456930334792741,-0.65617853933655035,-0.31307395141131311,-0.23669070985082841,2.5433748483506624e-07,False,True,0.47456930334792741,True,2,"both IC/dPL slope CIs exclude zero, shared slope direction, top four minimum absolute slope",effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
dPL,xaj_ki,ki,routing / recession,531,-0.094562109027590074,-0.35979240600551876,0.025100633502006517,0.38489303950752529,-0.1249676729951586,-0.064285184655870742,0.094562109027590074,Base<CN,10000,20260730,-0.74025922660284471,-0.86440326728511585,-0.62399684982910131,-0.61301451439664201,6.2064763196034783e-55,False,True,0.83482133563043481,True,2,"both IC/dPL slope CIs exclude zero, shared slope direction, top four minimum absolute slope",effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
IC,xaj_ci,ci,routing / recession,531,0,-0.29467586280526525,0.10027114378831947,0.39494700659358473,-0.015363458081855574,0,0,zero,10000,20260730,-0.4138156249413491,-0.6365510102196974,-0.1943291893543215,-0.18322056530884787,5.3898991592488998e-05,False,True,0.4138156249413491,True,3,"both IC/dPL slope CIs exclude zero, shared slope direction, top four minimum absolute slope",effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
dPL,xaj_ci,ci,routing / recession,531,-0.048280159632364983,-0.22929542594485813,0.030505458513895689,0.25980088445875382,-0.065883133146497908,-0.03458764817979601,0.048280159632364983,Base<CN,10000,20260730,-1.2264142761939927,-1.295107812135271,-1.1537620371823925,-0.51915952883788308,2.0888682043199899e-37,False,True,1.2746944358263577,True,3,"both IC/dPL slope CIs exclude zero, shared slope direction, top four minimum absolute slope",effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
IC,xaj_im,im,production / free-water storage,531,0,0,0,0,0,0,0,zero,10000,20260730,-0.36347934760963779,-0.51693823215756407,-0.2067398667463472,-0.24768422263930071,1.0914679749381151e-07,False,True,0.36347934760963779,True,4,"both IC/dPL slope CIs exclude zero, shared slope direction, top four minimum absolute slope",effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
dPL,xaj_im,im,production / free-water storage,531,-0.0016271749821801986,-0.017810342251323164,3.115537765552283e-06,0.017813457789088716,-0.002544320304878056,-0.00088372937170788646,0.0016271749821801986,Base<CN,10000,20260730,-0.45228524549071436,-0.5782141814728563,-0.32804906334141914,-0.56845043885102475,6.7037875815103045e-46,False,True,0.45391242047289454,True,4,"both IC/dPL slope CIs exclude zero, shared slope direction, top four minimum absolute slope",effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
IC,xaj_a,a (UH shape),routing timing,531,0,-0.023205599114065889,0.030370239658931042,0.053575838772996931,0,0,0,zero,10000,20260730,0.036294099089496497,-0.16170398679177797,0.24000562408836607,0.037734163337270366,0.44482172744903054,False,False,0.036294099089496497,False,,not selected for Panel c,effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
dPL,xaj_a,a (UH shape),routing timing,531,-0.00097932486698548704,-0.053868375975510141,0.046555975387836318,0.10042435136334646,-0.0070887598498114157,0.0031199948541048572,0.00097932486698548704,Base<CN,10000,20260730,-0.03638548343835258,-0.19053917101875212,0.12361779403131032,0.0011989533143184005,0.97801076624624816,False,False,0.037364808305338067,False,,not selected for Panel c,effect size + CI + snow gradient + IC/dPL consistency + quality; not p-value-only
