parameter,paradigm,regime,threshold,n,n_exact_plus1,n_exact_minus1
xaj_um,IC,S1,0.01,165,11,12
xaj_um,IC,S2,0.01,156,5,4
xaj_um,IC,S3,0.01,121,12,2
xaj_um,IC,S4,0.01,34,5,2
xaj_um,IC,S5,0.01,55,13,0
xaj_um,dPL,S1,0.01,165,0,0
xaj_um,dPL,S2,0.01,156,0,0
xaj_um,dPL,S3,0.01,121,0,0
xaj_um,dPL,S4,0.01,34,0,0
xaj_um,dPL,S5,0.01,55,0,0
xaj_ki,IC,S1,0.01,165,2,5
xaj_ki,IC,S2,0.01,156,3,2
xaj_ki,IC,S3,0.01,121,0,2
xaj_ki,IC,S4,0.01,34,1,1
xaj_ki,IC,S5,0.01,55,0,7
xaj_ki,dPL,S1,0.01,165,0,0
xaj_ki,dPL,S2,0.01,156,0,0
xaj_ki,dPL,S3,0.01,121,0,0
xaj_ki,dPL,S4,0.01,34,0,0
xaj_ki,dPL,S5,0.01,55,0,0
xaj_ci,IC,S1,0.01,165,0,2
xaj_ci,IC,S2,0.01,156,2,2
xaj_ci,IC,S3,0.01,121,1,2
xaj_ci,IC,S4,0.01,34,0,3
xaj_ci,IC,S5,0.01,55,1,6
xaj_ci,dPL,S1,0.01,165,0,0
xaj_ci,dPL,S2,0.01,156,0,0
xaj_ci,dPL,S3,0.01,121,0,0
xaj_ci,dPL,S4,0.01,34,0,0
xaj_ci,dPL,S5,0.01,55,0,0
