paradigm,parameter,beta_df_g,beta_recomputed_ols,n,n_basins,max_abs_beta_diff
IC,xaj_a,0.036294,0.036294,531,531,0.000000
IC,xaj_b,-0.005931,-0.005931,531,531,0.000000
IC,xaj_c,0.278299,0.278299,531,531,0.000000
IC,xaj_cg,0.292470,0.292470,531,531,0.000000
IC,xaj_ci,-0.413816,-0.413816,531,531,0.000000
IC,xaj_dm,-0.537260,-0.537260,531,531,0.000000
IC,xaj_ex,-0.370161,-0.370161,531,531,0.000000
IC,xaj_im,-0.363479,-0.363479,531,531,0.000000
IC,xaj_k,-0.028460,-0.028460,531,531,0.000000
IC,xaj_kg,-0.202880,-0.202880,531,531,0.000000
IC,xaj_ki,-0.474569,-0.474569,531,531,0.000000
IC,xaj_lm,0.400108,0.400108,531,531,0.000000
IC,xaj_sm,0.161483,0.161483,531,531,0.000000
IC,xaj_theta,-0.016638,-0.016638,531,531,0.000000
IC,xaj_um,0.521123,0.521123,531,531,0.000000
dPL,xaj_a,-0.036385,-0.036385,531,531,0.000000
dPL,xaj_b,0.014842,0.014842,531,531,0.000000
dPL,xaj_c,0.625388,0.625388,531,531,0.000000
dPL,xaj_cg,0.238338,0.238338,531,531,0.000000
dPL,xaj_ci,-1.226414,-1.226414,531,531,0.000000
dPL,xaj_dm,-0.130004,-0.130004,531,531,0.000000
dPL,xaj_ex,-0.097675,-0.097675,531,531,0.000000
dPL,xaj_im,-0.452285,-0.452285,531,531,0.000000
dPL,xaj_k,0.061924,0.061924,531,531,0.000000
dPL,xaj_kg,0.004956,0.004956,531,531,0.000000
dPL,xaj_ki,-0.740259,-0.740259,531,531,0.000000
dPL,xaj_lm,0.323555,0.323555,531,531,0.000000
dPL,xaj_sm,0.595328,0.595328,531,531,0.000000
dPL,xaj_theta,0.265124,0.265124,531,531,0.000000
dPL,xaj_um,1.015315,1.015315,531,531,0.000000
