parameter,paradigm,regime,n,frac_absdz_ge_095
xaj_um,IC,S1,165,0.15151515151515152
xaj_um,IC,S2,156,0.07051282051282051
xaj_um,IC,S3,121,0.11570247933884298
xaj_um,IC,S4,34,0.23529411764705882
xaj_um,IC,S5,55,0.23636363636363636
xaj_um,dPL,S1,165,0.06666666666666667
xaj_um,dPL,S2,156,0.15384615384615385
xaj_um,dPL,S3,121,0.024793388429752067
xaj_um,dPL,S4,34,0.029411764705882353
xaj_um,dPL,S5,55,0.03636363636363636
xaj_ki,IC,S1,165,0.04242424242424243
xaj_ki,IC,S2,156,0.04487179487179487
xaj_ki,IC,S3,121,0.024793388429752067
xaj_ki,IC,S4,34,0.058823529411764705
xaj_ki,IC,S5,55,0.18181818181818182
xaj_ki,dPL,S1,165,0.01818181818181818
xaj_ki,dPL,S2,156,0.01282051282051282
xaj_ki,dPL,S3,121,0.0
xaj_ki,dPL,S4,34,0.0
xaj_ki,dPL,S5,55,0.0
xaj_ci,IC,S1,165,0.024242424242424242
xaj_ci,IC,S2,156,0.03205128205128205
xaj_ci,IC,S3,121,0.03305785123966942
xaj_ci,IC,S4,34,0.08823529411764706
xaj_ci,IC,S5,55,0.16363636363636364
xaj_ci,dPL,S1,165,0.012121212121212121
xaj_ci,dPL,S2,156,0.0
xaj_ci,dPL,S3,121,0.0
xaj_ci,dPL,S4,34,0.0
xaj_ci,dPL,S5,55,0.0
