parameter,paradigm,regime,n,pct_zero
xaj_um,IC,S1,165,43.63636363636363
xaj_um,IC,S2,156,48.717948717948715
xaj_um,IC,S3,121,56.19834710743802
xaj_um,IC,S4,34,38.23529411764706
xaj_um,IC,S5,55,34.54545454545455
xaj_um,dPL,S1,165,0.0
xaj_um,dPL,S2,156,0.0
xaj_um,dPL,S3,121,0.0
xaj_um,dPL,S4,34,0.0
xaj_um,dPL,S5,55,0.0
xaj_ki,IC,S1,165,16.363636363636363
xaj_ki,IC,S2,156,14.743589743589743
xaj_ki,IC,S3,121,14.049586776859504
xaj_ki,IC,S4,34,17.647058823529413
xaj_ki,IC,S5,55,32.72727272727273
xaj_ki,dPL,S1,165,0.0
xaj_ki,dPL,S2,156,0.0
xaj_ki,dPL,S3,121,0.0
xaj_ki,dPL,S4,34,0.0
xaj_ki,dPL,S5,55,0.0
xaj_ci,IC,S1,165,11.515151515151516
xaj_ci,IC,S2,156,13.461538461538462
xaj_ci,IC,S3,121,11.570247933884298
xaj_ci,IC,S4,34,17.647058823529413
xaj_ci,IC,S5,55,18.181818181818183
xaj_ci,dPL,S1,165,0.0
xaj_ci,dPL,S2,156,0.0
xaj_ci,dPL,S3,121,0.0
xaj_ci,dPL,S4,34,0.0
xaj_ci,dPL,S5,55,0.0
