paradigm,parameter,shift_median,shift_ci95_low,shift_ci95_high,base_median,base_q25,base_q75,base_p5,base_p95,cn_median,cn_q25,cn_q75,cn_p5,cn_p95,bnd_change_median,bnd_change_ci95_low,bnd_change_ci95_high,iqr_change_median,iqr_change_ci95_low,iqr_change_ci95_high
IC,xaj_k,-0.0030743713825115999,-0.0062964134595508,-0.00022287263364919999,0.16680621374376631,0.090778275047126655,0.31548650282128521,0,1,0.1872138320284068,0.11029382330663495,0.34936129682606798,0,1,-0.016949152542372801,-0.041431261770244802,0.0094161958568737998,0.0143592457452743,-0.0161900695019906,0.049076373858445703
IC,xaj_b,0,0,0,0.101375637645055,0,0.41317612042568935,0,1,0.15349623816268049,0,0.38397646183085743,0,1,-0.071563088512240997,-0.1205273069679849,-0.022598870056497099,-0.029199658594831899,-0.1072975300236608,0.062848951369511602
IC,xaj_im,0,0,0,0,0,0,0,0.25405528730949534,0,0,0.0468603734989416,0,0.53691440403200141,-0.079096045197740106,-0.1224105461393597,-0.035781544256120498,0.0468603734989416,0.0055542021967093999,0.081681850843798004
IC,xaj_um,0,0,0,1,0.10180596726818085,1,0,1,0.8643295370223486,0,1,0,1,-0.0903954802259887,-0.13370998116760821,-0.048964218455743801,0.10180596726818079,0,0.31252652655652929
IC,xaj_lm,0,0,2.8489013396804097e-05,0.67501000336102912,0.098663750618237997,1,0,1,0.41445108085263022,0,0.99119648732347909,0,1,-0.0188323917137476,-0.067796610169491497,0.032015065913370902,0.0898602379417172,-0.1336101356146277,0.2106588815746917
IC,xaj_dm,0,0,0,0,0,0.67766151438611844,0,1,0.15099249602907761,0,0.87416955311403255,0,1,-0.045197740112994302,-0.092278719397363401,0.0018832391713746999,0.19650803872791411,0.029088956843154899,0.35740490143847098
IC,xaj_c,0,0,0,1,0.1690685644402867,1,0,1,0.94969100227674474,0.15137462620374181,1,0,1,-0.064030131826741901,-0.11299435028248581,-0.013182674199623301,0.0176939382365448,-0.18754164255644529,0.21650764893381411
IC,xaj_sm,0,-2.3692949312925649e-05,0,0.26543055668844312,0.1198107206957312,0.51353730151108312,0,1,0.27886438813461212,0.14161862305013365,0.54596109568873508,0,1,-0.032015065913370902,-0.071563088512240997,0.0056497175141242001,0.0106158918232495,-0.044775352978106198,0.062609648059543305
IC,xaj_ex,0,0,0,0.083007040650323299,0,0.58486650529123452,0,1,0.13442995837235591,0,1,0,1,-0.039548022598869997,-0.0903954802259887,0.011299435028248501,0.41513349470876543,-0.0011812868557223,0.59350781116222684
IC,xaj_ki,0,-0.0022613416313767998,0,0.29862185783031697,0.044147279721310703,0.59048025680135341,0,1,0.38828352528841592,0.1564630102338582,0.7915271053906674,0,1,-0.022598870056497099,-0.067796610169491497,0.022598870056497099,0.088731118076766494,-0.040091764218569199,0.25894277539658123
IC,xaj_kg,0,0,0,0.14595734468363461,0,0.50213459367356772,0,1,0.2113272724628586,0,0.73500606620330633,0,1,-0.0037664783427495,-0.052730696798493397,0.045197740112994302,0.23287147252973861,0.055034206172363598,0.37708174983807108
IC,xaj_ci,0,-0.0153634580818555,0,0.41108945346675069,0,0.7298259940712053,0,1,0.56432265814233218,0.12409823329527264,0.81004665118075281,0,1,-0.0470809792843691,-0.099811676082862497,0.0037664783427495,-0.043877576185725201,-0.1197895834631344,0.057214521237776303
IC,xaj_cg,0,0,0,0.6446235967787407,0,0.86143710483019897,0,1,0.58173760634909655,0.01765645292809255,0.86016590242899615,0,1,0.0037664783427495,-0.0470809792843691,0.054613935969868098,-0.018927655329295499,-0.1269879836152992,0.088042210922271602
IC,xaj_a,0,0,0,0.36266167498345558,0,0.86300961069910764,0,1,0.31516948929486671,0,0.7943171221114167,0,1,-0.0470809792843691,-0.094161958568738199,0,-0.068692488587690795,-0.14755282659508401,-0.019076008035065199
IC,xaj_theta,0,0,0,0,0,0.086733583309542339,0,1,0,0,0.15618376938119588,0,1,-0.094161958568738199,-0.13747645951035781,-0.052730696798493397,0.0694501860716535,0.0123808263941331,0.11691619548858501
dPL,xaj_k,0.0021647612253824001,0.0006778637568156,0.0043208599090575998,0.17790850003560379,0.10344638427098585,0.25930782159169508,0.011343280474344849,0.56323103109995531,0.16579039891560871,0.10441255569458005,0.24711436033248896,0.0063541332880655502,0.51429172356923414,0.016949152542372801,0,0.0338983050847457,-0.013159632682800199,-0.0258709376056988,0.0015498573581377
dPL,xaj_b,0.0035016160262256999,-6.8137520238042981e-05,0.0098285079002380007,0.23862381985313011,0.071024397486134497,0.60754777255811188,0.0057997934912379506,0.94242912844607696,0.18160408735275271,0.069961529029043054,0.42052720408690603,0.0093512244914706992,0.84000886741437408,-0.030131826741996201,-0.048964218455743801,-0.011299435028248501,-0.1859577000141143,-0.25503782359393012,-0.1317168450669236
