paradigm,parameter,parameter_display,snow_regime,n,median_abs_delta,p_abs_gt_001,p_abs_gt_005
IC,xaj_a,a (UH shape),S1,165,0,0.4303030303030303,0.30909090909090908
IC,xaj_a,a (UH shape),S2,156,0.015177914285745851,0.51923076923076927,0.39102564102564102
IC,xaj_a,a (UH shape),S3,121,0.1109831371790274,0.6776859504132231,0.6198347107438017
IC,xaj_a,a (UH shape),S4,34,0.081652936024905046,0.67647058823529416,0.52941176470588236
IC,xaj_a,a (UH shape),S5,55,0.34854080384206981,0.70909090909090911,0.69090909090909092
IC,xaj_b,b,S1,165,0.029874484081762201,0.64242424242424245,0.41818181818181815
IC,xaj_b,b,S2,156,0.027271141170951651,0.60256410256410253,0.37179487179487181
IC,xaj_b,b,S3,121,0.1130087699128601,0.86776859504132231,0.68595041322314054
IC,xaj_b,b,S4,34,0.22564363921932939,0.8529411764705882,0.79411764705882348
IC,xaj_b,b,S5,55,0.2636242178412555,0.80000000000000004,0.72727272727272729
IC,xaj_c,c,S1,165,0.1348756624014586,0.5696969696969697,0.53333333333333333
IC,xaj_c,c,S2,156,0.13724067860313235,0.58333333333333337,0.55128205128205132
IC,xaj_c,c,S3,121,0.39381822042698078,0.71900826446280997,0.69421487603305787
IC,xaj_c,c,S4,34,0.25925648071716423,0.6470588235294118,0.6470588235294118
IC,xaj_c,c,S5,55,0.2439047926306068,0.63636363636363635,0.61818181818181817
IC,xaj_cg,cg,S1,165,0.18602196099967491,0.76969696969696966,0.63030303030303025
IC,xaj_cg,cg,S2,156,0.14339594257108235,0.76282051282051277,0.62179487179487181
IC,xaj_cg,cg,S3,121,0.1586937846407333,0.71074380165289253,0.66115702479338845
IC,xaj_cg,cg,S4,34,0.20029926705506515,0.94117647058823528,0.82352941176470584
IC,xaj_cg,cg,S5,55,0.25475662795216852,0.96363636363636362,0.90909090909090906
IC,xaj_ci,ci,S1,165,0.089684271378431393,0.79393939393939394,0.61212121212121207
IC,xaj_ci,ci,S2,156,0.16141372676370175,0.85897435897435892,0.69871794871794868
IC,xaj_ci,ci,S3,121,0.2499877106890159,0.92561983471074383,0.83471074380165289
IC,xaj_ci,ci,S4,34,0.25415008581235232,0.8529411764705882,0.76470588235294112
IC,xaj_ci,ci,S5,55,0.36627831988314657,0.78181818181818186,0.76363636363636367
IC,xaj_dm,dm,S1,165,0.075999839081390297,0.61818181818181817,0.55151515151515151
IC,xaj_dm,dm,S2,156,0.11102964569076179,0.62179487179487181,0.57692307692307687
IC,xaj_dm,dm,S3,121,0,0.46280991735537191,0.43801652892561982
IC,xaj_dm,dm,S4,34,0.0221805798891604,0.5,0.47058823529411764
IC,xaj_dm,dm,S5,55,0.72497313138473585,0.76363636363636367,0.76363636363636367
IC,xaj_ex,ex,S1,165,0.0293552684292245,0.5757575757575758,0.44848484848484849
IC,xaj_ex,ex,S2,156,0.13724644349801574,0.72435897435897434,0.66025641025641024
IC,xaj_ex,ex,S3,121,0.1453607209084635,0.71900826446280997,0.65289256198347112
IC,xaj_ex,ex,S4,34,0.091108504698358461,0.6470588235294118,0.55882352941176472
IC,xaj_ex,ex,S5,55,0.1336710714550346,0.59999999999999998,0.54545454545454541
IC,xaj_im,im,S1,165,0,0.26666666666666666,0.21212121212121213
IC,xaj_im,im,S2,156,0,0.36538461538461536,0.25641025641025639
IC,xaj_im,im,S3,121,0,0.31404958677685951,0.28099173553719009
IC,xaj_im,im,S4,34,0,0.47058823529411764,0.41176470588235292
IC,xaj_im,im,S5,55,0.17377481801247791,0.59999999999999998,0.58181818181818179
IC,xaj_k,k,S1,165,0.0226978146148029,0.60606060606060608,0.31515151515151513
IC,xaj_k,k,S2,156,0.020057707899040551,0.67307692307692313,0.32051282051282054
IC,xaj_k,k,S3,121,0.015435516817172101,0.62809917355371903,0.27272727272727271
IC,xaj_k,k,S4,34,0.05917330627137965,0.6470588235294118,0.52941176470588236
IC,xaj_k,k,S5,55,0,0.47272727272727272,0.41818181818181815
IC,xaj_kg,kg,S1,165,0.038036661055315703,0.59393939393939399,0.47878787878787876
IC,xaj_kg,kg,S2,156,0.084370415768256754,0.57692307692307687,0.53205128205128205
IC,xaj_kg,kg,S3,121,0.1543066693909852,0.7024793388429752,0.65289256198347112
IC,xaj_kg,kg,S4,34,0.21194825957953911,0.88235294117647056,0.76470588235294112
IC,xaj_kg,kg,S5,55,0.23757739107086889,0.8545454545454545,0.70909090909090911
IC,xaj_ki,ki,S1,165,0.080967109088902894,0.78181818181818186,0.5636363636363636
IC,xaj_ki,ki,S2,156,0.14370725905579326,0.76923076923076927,0.65384615384615385
IC,xaj_ki,ki,S3,121,0.1612478023362591,0.85950413223140498,0.79338842975206614
IC,xaj_ki,ki,S4,34,0.39038677124963028,0.70588235294117652,0.67647058823529416
IC,xaj_ki,ki,S5,55,0.028867057040831499,0.50909090909090904,0.47272727272727272
IC,xaj_lm,lm,S1,165,0.037275994801825897,0.59393939393939399,0.49090909090909091
IC,xaj_lm,lm,S2,156,0.091822825052869997,0.62179487179487181,0.54487179487179482
IC,xaj_lm,lm,S3,121,0.3706280770183038,0.80165289256198347,0.77685950413223137
IC,xaj_lm,lm,S4,34,0.29757738745292994,0.76470588235294112,0.76470588235294112
IC,xaj_lm,lm,S5,55,0.19918023570332841,0.61818181818181817,0.54545454545454541
IC,xaj_sm,sm,S1,165,0.034656461898011102,0.67272727272727273,0.4303030303030303
IC,xaj_sm,sm,S2,156,0.053953124405649651,0.77564102564102566,0.51282051282051277
IC,xaj_sm,sm,S3,121,0.1129508237515284,0.90909090909090906,0.74380165289256195
IC,xaj_sm,sm,S4,34,0.24867212976845826,0.82352941176470584,0.76470588235294112
IC,xaj_sm,sm,S5,55,0.21478063844518591,0.69090909090909092,0.61818181818181817
IC,xaj_theta,theta (UH scale),S1,165,0,0.29696969696969699,0.16363636363636364
IC,xaj_theta,theta (UH scale),S2,156,0.0012564872085106,0.44230769230769229,0.32051282051282054
IC,xaj_theta,theta (UH scale),S3,121,0.018364398292509802,0.55371900826446285,0.41322314049586778
IC,xaj_theta,theta (UH scale),S4,34,0.020908743736780349,0.5,0.44117647058823528
IC,xaj_theta,theta (UH scale),S5,55,0.29422223333712588,0.69090909090909092,0.61818181818181817
IC,xaj_um,um,S1,165,0.0071314782040815001,0.49696969696969695,0.46666666666666667
IC,xaj_um,um,S2,156,0,0.46794871794871795,0.4358974358974359
IC,xaj_um,um,S3,121,0,0.36363636363636365,0.32231404958677684
IC,xaj_um,um,S4,34,0.056019524945365599,0.52941176470588236,0.5
IC,xaj_um,um,S5,55,0.173324489696073,0.54545454545454541,0.52727272727272723
