paradigm,parameter,parameter_display,n,signed_median,median_abs_delta,q25_abs_delta,q75_abs_delta,iqr_abs_delta,exact_zero_share,zero_both_boundary_share,zero_nonboundary_share,p_abs_gt_001,p_abs_gt_005,positive_share,negative_share
IC,xaj_a,a (UH shape),531,0,0.0292943886539089,0,0.25559538123518033,0.25559538123518033,0.40301318267419961,0.40301318267419961,0,0.55743879472693036,0.4576271186440678,0.30696798493408661,0.29001883239171372
IC,xaj_b,b,531,0,0.059853665788323102,0.00064585650449809997,0.27549790855884415,0.27485205205434604,0.24105461393596986,0.24105461393596986,0,0.71186440677966101,0.5216572504708098,0.33709981167608288,0.42184557438794729
IC,xaj_c,c,531,0,0.2185456612059708,0,0.74744425417956895,0.74744425417956895,0.38041431261770242,0.38041431261770242,0,0.61958568738229758,0.59133709981167604,0.3295668549905838,0.29001883239171372
IC,xaj_cg,cg,531,0,0.18363298166921169,0.018767908269768298,0.50370914855774118,0.48494124028797286,0.1544256120527307,0.1544256120527307,0,0.78531073446327682,0.67608286252354044,0.43879472693032018,0.40677966101694918
IC,xaj_ci,ci,531,0,0.1878148977726212,0.035073839871113496,0.47982503127013304,0.44475119139901953,0.1167608286252354,0.1167608286252354,0,0.84557438794726936,0.71374764595103579,0.3935969868173258,0.4896421845574388
IC,xaj_dm,dm,531,0,0.088107016322686402,0,0.52704385018707156,0.52704385018707156,0.3935969868173258,0.3935969868173258,0,0.59133709981167604,0.54990583804143123,0.26741996233521659,0.33898305084745761
IC,xaj_ex,ex,531,0,0.095209487061278894,0,0.60810107995190077,0.60810107995190077,0.31450094161958569,0.31450094161958569,0,0.6591337099811676,0.5743879472693032,0.31073446327683618,0.37476459510357818
IC,xaj_im,im,531,0,0,0,0.072272294753793903,0.072272294753793903,0.6271186440677966,0.6271186440677966,0,0.35404896421845572,0.29190207156308851,0.13935969868173259,0.2335216572504708
IC,xaj_k,k,531,-0.0030743713825115999,0.020071140378715401,0.0031731034464135,0.079694276918619245,0.076521173472205745,0.14124293785310735,0.14124293785310735,0,0.61958568738229758,0.33145009416195859,0.31073446327683618,0.54802259887005644
IC,xaj_kg,kg,531,0,0.1020351975365973,0,0.38802502474097178,0.38802502474097178,0.30696798493408661,0.30696798493408661,0,0.6591337099811676,0.57627118644067798,0.26741996233521659,0.4256120527306968
IC,xaj_ki,ki,531,0,0.1220882579299668,0.013729664035471149,0.42560608593397081,0.41187642189849966,0.1864406779661017,0.1864406779661017,0,0.76271186440677963,0.64030131826741998,0.35028248587570621,0.4632768361581921
IC,xaj_lm,lm,531,0,0.14697125336169381,0,0.46680675388439019,0.46680675388439019,0.31450094161958569,0.31450094161958569,0,0.66290018832391717,0.59510357815442561,0.45951035781544258,0.22598870056497175
IC,xaj_sm,sm,531,0,0.065813996138905206,0.01284225170227995,0.20837725889312364,0.19553500719084368,0.13935969868173259,0.13935969868173259,0,0.76836158192090398,0.56685499058380417,0.40301318267419961,0.4576271186440678
IC,xaj_theta,theta (UH scale),531,0,0.001514312224716,0,0.11897741808203899,0.11897741808203899,0.47269303201506591,0.47269303201506591,0,0.4519774011299435,0.33145009416195859,0.21092278719397364,0.31638418079096048
IC,xaj_um,um,531,0,0,0,0.44327396212078307,0.44327396212078307,0.5216572504708098,0.5216572504708098,0,0.46516007532956688,0.43314500941619588,0.31450094161958569,0.16384180790960451
