paradigm,contrast,stratum,dependent_var,n_basins,slope,slope_ci_lower,slope_ci_upper,spearman_rho,spearman_ci_lower,spearman_ci_upper
IC,Base-CN,Full531,within_pooled,531,-0.023328128323375063,-0.046789667825611524,-0.00223636561871498,-0.093511064930926882,-0.18279628793545979,-0.0074262833961805481
IC,Base-CN,Full531,between_all,531,0.13091924031752519,0.11029242070866291,0.15220362943830701,0.37391049054919073,0.298430469810884,0.45492099466122521
IC,Base-CN,Full531,excess,531,0.15424736864090052,0.13314317896703098,0.17556160129058174,0.54850386912744575,0.49121606347784574,0.60386799435624017
IC,Base-CN,ExcludeS5,within_pooled,476,-0.034022657820473021,-0.071975730145471706,0.0083341185835812109,-0.068850145775403174,-0.15746075036837476,0.027168502366586439
IC,Base-CN,ExcludeS5,between_all,476,0.10470671241783519,0.064987449008942225,0.14524249537338882,0.21504671897906927,0.12982333315407518,0.31134897297399461
IC,Base-CN,ExcludeS5,excess,476,0.13872937023830911,0.11157430122604753,0.16780352487357797,0.40574507082750338,0.33342227920425416,0.48942522490216606
dPL,Base-CN,Full531,within_pooled,531,0.034076037756018501,0.012906235123908776,0.055179651289571946,0.093406870846521925,0.0074742803671789659,0.18085559719533897
dPL,Base-CN,Full531,between_all,531,0.23147797961869954,0.17385235418675055,0.28460154298857981,0.44318865637428001,0.36822439695180426,0.51063912481218987
dPL,Base-CN,Full531,excess,531,0.19740194186268109,0.13689113659541075,0.26571407351902576,0.44091554219904205,0.36259709134363816,0.51404432404910494
dPL,Base-CN,ExcludeS5,within_pooled,476,0.055297689378463674,0.012053164951890896,0.096362840786633902,0.045804037425085847,-0.046367247599274193,0.12925176829399107
dPL,Base-CN,ExcludeS5,between_all,476,0.48242595869773669,0.38844065090453567,0.57265554065231739,0.44812422551874065,0.36671309036437205,0.51757872431430207
dPL,Base-CN,ExcludeS5,excess,476,0.42712826931927295,0.33180950329615444,0.52228822127999408,0.46528313168814567,0.37984631589935669,0.53486401879736367
