paradigm,contrast,parameter,symbol,snow_stratum,n_basins,median_shift,q25,q75,iqr,ci95_low,ci95_high,D_activity_S5_minus_S1,D_activity_ci_low,D_activity_ci_high
IC,Base-CN,xaj_k,k,S1,165,0,-0.024669294214081955,0.016486657883094516,0.041155952097176471,-0.0019765680928480744,0,,,
IC,Base-CN,xaj_k,k,S2,156,-0.007655619953949061,-0.042379737657136957,0.0045186275847938565,0.046898365241930813,-0.012999334285494131,-0.00070175840707643075,,,
IC,Base-CN,xaj_k,k,S3,121,-0.0083436368173328557,-0.039716547922232781,0,0.039716547922232781,-0.012811458169577072,-0.0050055950949969008,,,
IC,Base-CN,xaj_k,k,S4,34,-0.040813154357739093,-0.1446403732608828,0,0.1446403732608828,-0.12568598459727642,0,,,
IC,Base-CN,xaj_k,k,S5,55,0,-0.062766703549845621,0,0.062766703549845621,0,0,0,0,0.0020101093770289497
IC,Base-CN,xaj_b,b,S1,165,0,-0.041993583668654494,0.024672692270320595,0.066666275938975089,0,0,,,
IC,Base-CN,xaj_b,b,S2,156,0,-0.048775854013240361,0,0.048775854013240361,0,0,,,
IC,Base-CN,xaj_b,b,S3,121,0,-0.088533660795451649,0.36909474639727363,0.45762840719272529,-0.024095786859548399,0,,,
IC,Base-CN,xaj_b,b,S4,34,0.08348997390713056,-0.046076921835520326,0.61624436445525776,0.66232128629077813,0,0.25537940464368147,,,
IC,Base-CN,xaj_b,b,S5,55,-0.022771246595773315,-0.43969848561895214,0.039865334947784839,0.47956382056673696,-0.2429774383102449,0,-0.022771246595773315,-0.2429774383102449,0
IC,Base-CN,xaj_im,im,S1,165,0,0,0,0,0,0,,,
IC,Base-CN,xaj_im,im,S2,156,0,-0.00012712220503454831,0,0.00012712220503454831,0,0,,,
IC,Base-CN,xaj_im,im,S3,121,0,0,0,0,0,0,,,
IC,Base-CN,xaj_im,im,S4,34,0,-0.066333118494425983,0,0.066333118494425983,0,0,,,
IC,Base-CN,xaj_im,im,S5,55,-0.081505748456251914,-0.48220768649742718,0,0.48220768649742718,-0.2279815936114663,0,-0.081505748456251914,-0.2279815936114663,0
IC,Base-CN,xaj_um,um,S1,165,0,-0.0059790725972916903,0.019934920703541081,0.025913993300832772,0,0,,,
IC,Base-CN,xaj_um,um,S2,156,0,0,0.078600544422513602,0.078600544422513602,0,0,,,
IC,Base-CN,xaj_um,um,S3,121,0,0,0.024125141999225663,0.024125141999225663,0,0,,,
IC,Base-CN,xaj_um,um,S4,34,0,0,0.61106914342799323,0.61106914342799323,0,0.49089537556194451,,,
IC,Base-CN,xaj_um,um,S5,55,0.038135169823649506,0,0.85662037826165416,0.85662037826165416,0,0.52418996200092649,0.038135169823649506,0,0.52418996200092649
IC,Base-CN,xaj_lm,lm,S1,165,0,0,0.094315823396765724,0.094315823396765724,0,0,,,
IC,Base-CN,xaj_lm,lm,S2,156,0,-0.0091504894795167435,0.16423646732133734,0.17338695680085409,0,0,,,
IC,Base-CN,xaj_lm,lm,S3,121,0.182245453762024,0,0.5590592134449679,0.5590592134449679,0.06895023194703799,0.31656064880491941,,,
IC,Base-CN,xaj_lm,lm,S4,34,0.12405243770406665,0,0.39683173779450565,0.39683173779450565,0,0.2768008477360473,,,
IC,Base-CN,xaj_lm,lm,S5,55,0.0068728144991521134,0,0.60254875893496074,0.60254875893496074,0,0.38670364200594698,0.0068728144991521134,0,0.38670364200594698
IC,Base-CN,xaj_dm,dm,S1,165,0,-0.12256256402946132,0.035485196828476839,0.15804776085793815,0,0,,,
IC,Base-CN,xaj_dm,dm,S2,156,0,-0.085271444615949779,0.17425063018064646,0.25952207479659622,0,0,,,
IC,Base-CN,xaj_dm,dm,S3,121,0,-0.022176156575752792,0,0.022176156575752792,0,0,,,
IC,Base-CN,xaj_dm,dm,S4,34,0,-0.033270869833740647,0,0.033270869833740647,0,0,,,
IC,Base-CN,xaj_dm,dm,S5,55,-0.54061720753970899,-1,0,1,-0.95003526942158822,0,-0.54061720753970899,-0.93103936610006399,-0.10189853209476117
IC,Base-CN,xaj_c,c,S1,165,0,-0.15457741615053733,0.050308997723255144,0.20488641387379247,0,0,,,
IC,Base-CN,xaj_c,c,S2,156,0,-0.095153228156192454,0.17664851879968568,0.27180174695587811,0,0,,,
IC,Base-CN,xaj_c,c,S3,121,0,-0.27767172365342541,0.46402043107272073,0.74169215472614614,0,0,,,
IC,Base-CN,xaj_c,c,S4,34,0,-0.43633129399001597,0.11922925955544267,0.55556055354545864,-0.15067735302704438,0,,,
IC,Base-CN,xaj_c,c,S5,55,0,0,0.58663005839114069,0.58663005839114069,0,0.14462026833847896,0,0,0.14462026833847896
IC,Base-CN,xaj_sm,sm,S1,165,-2.3692949312925649e-05,-0.063575079496363984,0.021481013013420203,0.085056092509784187,-0.0051055656221355439,0,,,
IC,Base-CN,xaj_sm,sm,S2,156,0,-0.059296726271920314,0.048893675982029275,0.10819040225394959,-0.010902554520260205,0,,,
IC,Base-CN,xaj_sm,sm,S3,121,-0.032508956645491749,-0.17644167650712683,0.058295099863868383,0.23473677637099521,-0.067281972395247525,0,,,
IC,Base-CN,xaj_sm,sm,S4,34,0.15442315396669032,-0.027809130953246046,0.31232832310634778,0.34013745405959384,0,0.24655610691379226,,,
IC,Base-CN,xaj_sm,sm,S5,55,0.0087395198470475721,0,0.4238133573119629,0.4238133573119629,0,0.20289781212339408,0.0087632127963604978,0,0.15267184159310801
IC,Base-CN,xaj_ex,ex,S1,165,0,-0.052584551369991593,0.020298276272548085,0.072882827642539671,0,0,,,
IC,Base-CN,xaj_ex,ex,S2,156,0,-0.13978972817727833,0.11993020070626387,0.25971992888354223,0,0,,,
IC,Base-CN,xaj_ex,ex,S3,121,0,-0.18608397401620466,0.13360241453298782,0.31968638854919251,0,0,,,
IC,Base-CN,xaj_ex,ex,S4,34,0,-0.1426637229649684,0.051416061017641082,0.1940797839826095,-0.0098828070964265165,0.0058875699699783724,,,
IC,Base-CN,xaj_ex,ex,S5,55,-0.054870291193481358,-0.75157113157802136,0,0.75157113157802136,-0.21806053846441409,0,-0.054870291193481358,-0.22014402559936896,0
IC,Base-CN,xaj_ki,ki,S1,165,0,-0.098876783447182731,0.048475874345890069,0.1473526577930728,-0.00072447105290307512,0.0002428990308671608,,,
IC,Base-CN,xaj_ki,ki,S2,156,0,-0.14656016061517493,0.12265877430708302,0.26921893492225796,0,0.0014253259015750142,,,
IC,Base-CN,xaj_ki,ki,S3,121,-0.061082907978764478,-0.39834735459760878,0.078995972595417074,0.47734332719302586,-0.14547845623253289,0,,,
IC,Base-CN,xaj_ki,ki,S4,34,-0.3227952627481625,-0.66121095023684662,0,0.66121095023684662,-0.58620401106816633,0,,,
