paradigm,parameter,parameter_display,function_group,n,median_shift,q25,q75,iqr,ci95_low,ci95_high,abs_median_shift,sign_direction,bootstrap_n,bootstrap_seed
IC,xaj_a,a (UH shape),routing timing,531,0,-0.023205599114065889,0.030370239658931042,0.053575838772996931,0,0,0,zero,10000,20260730
IC,xaj_b,b,production / free-water storage,531,0,-0.067995354807858122,0.037620333897691573,0.10561568870554969,0,0,0,zero,10000,20260730
IC,xaj_c,c,ET / tension-water storage,531,0,-0.15150679753772345,0.26019749062683162,0.41170428816455507,0,0,0,zero,10000,20260730
IC,xaj_cg,cg,routing / recession,531,0,-0.14762992778399267,0.21291072418600901,0.36054065197000168,0,0,0,zero,10000,20260730
IC,xaj_ci,ci,routing / recession,531,0,-0.29467586280526525,0.10027114378831947,0.39494700659358473,-0.015363458081855574,0,0,zero,10000,20260730
IC,xaj_dm,dm,ET / tension-water storage,531,0,-0.1825076658020752,0.03102488543168376,0.21353255123375897,0,0,0,zero,10000,20260730
IC,xaj_ex,ex,production / free-water storage,531,0,-0.14237050020780484,0.061439877094229184,0.20381037730203402,0,0,0,zero,10000,20260730
IC,xaj_im,im,production / free-water storage,531,0,0,0,0,0,0,0,zero,10000,20260730
IC,xaj_k,k,ET / tension-water storage,531,-0.0030743713825116536,-0.042028422977903657,0.0032744174194869052,0.045302840397390562,-0.0062964134595508287,-0.00022287263364928478,0.0030743713825116536,Base<CN,10000,20260730
IC,xaj_kg,kg,routing / recession,531,0,-0.16973881840924521,0.011142957156809541,0.18088177556605475,0,0,0,zero,10000,20260730
IC,xaj_ki,ki,routing / recession,531,0,-0.23236624102590889,0.048514526079928427,0.28088076710583731,-0.0022613416313768467,0,0,zero,10000,20260730
IC,xaj_lm,lm,ET / tension-water storage,531,0,0,0.33767720787129263,0.33767720787129263,0,2.8489013396804097e-05,0,zero,10000,20260730
IC,xaj_sm,sm,production / free-water storage,531,0,-0.068800024971581622,0.057413581534699804,0.12621360650628144,-2.3692949312925649e-05,0,0,zero,10000,20260730
IC,xaj_theta,theta (UH scale),routing timing,531,0,-0.017544629993361829,0,0.017544629993361829,0,0,0,zero,10000,20260730
IC,xaj_um,um,ET / tension-water storage,531,0,0,0.11313133775814044,0.11313133775814044,0,0,0,zero,10000,20260730
dPL,xaj_a,a (UH shape),routing timing,531,-0.00097932486698548704,-0.053868375975510141,0.046555975387836318,0.10042435136334646,-0.0070887598498114157,0.0031199948541048572,0.00097932486698548704,Base<CN,10000,20260730
dPL,xaj_b,b,production / free-water storage,531,0.0035016160262257845,-0.023055076599121087,0.095158674215015629,0.11821375081413671,-6.8137520238042981e-05,0.0098285079002380371,0.0035016160262257845,Base>CN,10000,20260730
dPL,xaj_c,c,ET / tension-water storage,531,0.011921167373657227,-0.00044679641723632812,0.10008841753005981,0.10053521394729614,0.0079321861267089844,0.018268585205078125,0.011921167373657227,Base>CN,10000,20260730
dPL,xaj_cg,cg,routing / recession,531,-0.084024667739868164,-0.25718122720718395,0.00019937753677368164,0.25738060474395763,-0.11257767677307129,-0.06560206413269043,0.084024667739868164,Base<CN,10000,20260730
dPL,xaj_ci,ci,routing / recession,531,-0.048280159632364983,-0.22929542594485813,0.030505458513895689,0.25980088445875382,-0.065883133146497908,-0.03458764817979601,0.048280159632364983,Base<CN,10000,20260730
dPL,xaj_dm,dm,ET / tension-water storage,531,-0.0030172136094835074,-0.019271564483642575,0.00052862697177463117,0.019800191455417206,-0.0046601507398817271,-0.0019319852193196616,0.0030172136094835074,Base<CN,10000,20260730
dPL,xaj_ex,ex,production / free-water storage,531,-0.015167837080202605,-0.11135250329971313,0.077484995126724257,0.18883749842643738,-0.023643429342069127,-0.0067850986593647987,0.015167837080202605,Base<CN,10000,20260730
dPL,xaj_im,im,production / free-water storage,531,-0.0016271749821801986,-0.017810342251323164,3.115537765552283e-06,0.017813457789088716,-0.002544320304878056,-0.00088372937170788646,0.0016271749821801986,Base<CN,10000,20260730
dPL,xaj_k,k,ET / tension-water storage,531,0.00216476122538245,-0.010396778583526604,0.017470081647237137,0.027866860230763742,0.00067786375681561095,0.0043208599090576172,0.00216476122538245,Base>CN,10000,20260730
dPL,xaj_kg,kg,routing / recession,531,-0.031008201518229077,-0.189714448227148,0.012390188473675927,0.20210463670082393,-0.044802246349198493,-0.020262633583375385,0.031008201518229077,Base<CN,10000,20260730
dPL,xaj_ki,ki,routing / recession,531,-0.094562109027590074,-0.35979240600551876,0.025100633502006517,0.38489303950752529,-0.1249676729951586,-0.064285184655870742,0.094562109027590074,Base<CN,10000,20260730
dPL,xaj_lm,lm,ET / tension-water storage,531,0.029485956827799489,-0.010497347513834687,0.11588274637858076,0.12638009389241545,0.022253333197699732,0.037574513753255212,0.029485956827799489,Base>CN,10000,20260730
dPL,xaj_sm,sm,production / free-water storage,531,-0.0001716212222450629,-0.045099670008609163,0.079051208496093733,0.1241508785047029,-0.0030391391954923894,0.0038574620297080614,0.0001716212222450629,Base<CN,10000,20260730
dPL,xaj_theta,theta (UH scale),routing timing,531,0.00087533833888860883,-0.0019709235773636745,0.0070396264871725664,0.0090105500645362401,0.00041899744134682882,0.0014230706370793858,0.00087533833888860883,Base>CN,10000,20260730
dPL,xaj_um,um,ET / tension-water storage,531,0.010730658637152724,-0.0051697201199001896,0.16419171227349177,0.16936143239339196,0.0080351935492620763,0.015540038214789494,0.010730658637152724,Base>CN,10000,20260730
