paradigm,contrast,snow_stratum,n_basins,frac_snow_min,frac_snow_max,frac_snow_median,within_pooled_median,between_all_median,excess_median,excess_q25,excess_q75,excess_iqr,excess_ci_lower,excess_ci_upper,prevalence_between_gt_within,prevalence_ci_lower,prevalence_ci_upper
IC,Base-CN,S1,165,0,0.049858846867926403,0.0124691410953683,0.4728824711866596,0.47046164807870089,-0.0018112891613693001,-0.010100996221028599,0.0125243824608837,0.022625378681912299,-0.0044146608705194004,0.0015159447602660987,0.46666666666666667,0.40000000000000002,0.53939393939393943
IC,Base-CN,S2,156,0.050025721123379302,0.14887450091553101,0.084455090544985845,0.48463075508612641,0.4875017025899217,0.0021614589377403001,-0.011643261593253049,0.01639848391172195,0.028041745504974999,-0.0034184054896410033,0.004080884153124408,0.52564102564102566,0.44535256410256413,0.60592948717948703
IC,Base-CN,S3,121,0.15457894366362401,0.29964153966287888,0.20208863048231901,0.47548009159619348,0.49433024621281407,0.0123139837056708,-4.0932655565373288e-05,0.038610663850841699,0.038651596506407072,0.0089542631352894,0.018482995851243984,0.74380165289256195,0.66115702479338845,0.81818181818181823
IC,Base-CN,S4,34,0.30007981527701788,0.49819765325107601,0.36524285614648444,0.46168558778381052,0.50866354044474882,0.042986916305741404,0.021923571810769149,0.0766065699362454,0.054682998125476251,0.032368993296291448,0.064932708176853537,0.94117647058823528,0.8529411764705882,1
IC,Base-CN,S5,55,0.504005221672301,0.90632692590848996,0.68227275661074704,0.45201837646673282,0.56049472430965974,0.082933505321378401,0.056621902870003502,0.12883622903056063,0.072214326160557132,0.070240003392297704,0.110391000556306,0.98181818181818181,0.94545454545454544,1
IC,Base-TGD,S1,165,0,0.049858846867926403,0.0124691410953683,0.47742362004806033,0.48104324733051151,0.00059356457931940005,-0.0090118368694012997,0.013041003398178401,0.022052840267579699,-0.0021251614814531,0.0040288828194049997,0.51515151515151514,0.43924242424242427,0.58787878787878789
IC,Base-TGD,S2,156,0.050025721123379302,0.14887450091553101,0.084455090544985845,0.48704548483098853,0.48773039654676115,0.0021666572240870499,-0.0092501449064949243,0.012792050427096276,0.0220421953335912,-5.4080395227584794e-05,0.0055412671386883255,0.57051282051282048,0.49358974358974361,0.65080128205128196
IC,Base-TGD,S3,121,0.15457894366362401,0.29964153966287888,0.20208863048231901,0.47243553347844619,0.49370034755574371,0.0133472593199739,-0.00072467346020340002,0.033858090959499702,0.034582764419703101,0.0079799298701363,0.0162633500884726,0.71074380165289253,0.62809917355371903,0.78119834710743785
IC,Base-TGD,S4,34,0.30007981527701788,0.49819765325107601,0.36524285614648444,0.4595512034228959,0.50725721895290288,0.030809067333021398,0.00334551541591165,0.065261881559080651,0.061916366143168998,0.010641228584821794,0.045965582381344801,0.76470588235294112,0.61764705882352944,0.91176470588235292
IC,Base-TGD,S5,55,0.504005221672301,0.90632692590848996,0.68227275661074704,0.4288296177753726,0.52213043446927776,0.0936620372908918,0.038902789263347198,0.13528044635315728,0.096377657089810082,0.074279864061825199,0.1153236467695176,0.94545454545454544,0.87272727272727268,1
dPL,Base-CN,S1,165,0,0.049858846867926403,0.0124691410953683,0.1051930674408019,0.13223309958029961,0.018614034456662099,-0.0032407096623292999,0.075931600607337099,0.079172310269666396,0.0074392464270870004,0.025818557709223401,0.70303030303030301,0.63030303030303025,0.76969696969696966
dPL,Base-CN,S2,156,0.050025721123379302,0.14887450091553101,0.084455090544985845,0.097710590975010753,0.16526149732238971,0.055701699831684749,0.015289396841596626,0.12392045111280205,0.10863105427120542,0.043312013187298701,0.079291852061530887,0.87179487179487181,0.82051282051282048,0.91666666666666663
dPL,Base-CN,S3,121,0.15457894366362401,0.29964153966287888,0.20208863048231901,0.1055564498236376,0.23333924444547269,0.1266721486950276,0.0492354720793352,0.23224724284073031,0.1830117707613951,0.1006002717398396,0.17017716591777041,0.92561983471074383,0.87169421487603305,0.96694214876033058
dPL,Base-CN,S4,34,0.30007981527701788,0.49819765325107601,0.36524285614648444,0.13852933515807431,0.34584479972375559,0.13217237163706025,0.082491476173055675,0.31288593530985526,0.23039445913679957,0.092606194318578403,0.26674380654356888,0.97058823529411764,0.91176470588235292,1
dPL,Base-CN,S5,55,0.504005221672301,0.90632692590848996,0.68227275661074704,0.1194134421040275,0.30661356309640758,0.1251982133521661,0.036967903789203296,0.2971063013830556,0.26013839759385232,0.082627924170513595,0.21888776082257791,0.87272727272727268,0.77227272727272733,0.94545454545454544
dPL,Base-TGD,S1,165,0,0.049858846867926403,0.0124691410953683,0.1198787269898751,0.13285259202141081,0.019465304898366301,-0.0036747780881065,0.050267518090677601,0.053942296178784099,0.0104225897928154,0.026964555205108501,0.70909090909090911,0.63924242424242428,0.77575757575757576
dPL,Base-TGD,S2,156,0.050025721123379302,0.14887450091553101,0.084455090544985845,0.10199373594149874,0.13035402434415977,0.0310156569065781,0.00075983661771054998,0.080166206279540173,0.079406369661829623,0.023381899068066713,0.040596001361013621,0.75641025641025639,0.69871794871794868,0.82051282051282048
dPL,Base-TGD,S3,121,0.15457894366362401,0.29964153966287888,0.20208863048231901,0.1216171414743501,0.24179946144855691,0.079076497954838398,0.025432637361608199,0.203488929817325,0.1780562924557168,0.054746670309162401,0.1378062800068717,0.88429752066115708,0.82644628099173556,0.94214876033057848
dPL,Base-TGD,S4,34,0.30007981527701788,0.49819765325107601,0.36524285614648444,0.18013649432690149,0.33959666957387241,0.10698555458072234,0.034386624668058301,0.18424172110215209,0.14985509643409378,0.068116822199141253,0.1536761744572811,0.91176470588235292,0.79411764705882348,1
dPL,Base-TGD,S5,55,0.504005221672301,0.90632692590848996,0.68227275661074704,0.1205279896531803,0.27674690051529333,0.085137481676987106,0.022058769652469348,0.15797204763954836,0.13591327798707903,0.054566556622651398,0.1173105871745086,0.87272727272727268,0.78181818181818186,0.94545454545454544
