paradigm,parameter,symbol,subset,omitted_stratum,n_basins,slope,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,median_shift,median_ci_low,median_ci_high
IC,xaj_k,k,exclude_S5,S5,476,-0.16982685113580909,-0.31625694360925216,-0.029198109730603074,-0.17142176249124449,-0.25975595154640452,-0.091254509525246857,-0.004551250978574152,-0.00830716842818594,-0.001088807703595096
IC,xaj_k,k,leave_out_S1,S1,366,0.020222897022760235,-0.040851979267212436,0.089021838237799827,-0.033728153314533986,-0.1371616663748785,0.08165043480659466,-0.0061219005937356297,-0.010204412441175897,-0.001482696060934845
IC,xaj_k,k,leave_out_S2,S2,375,-0.027638860201032067,-0.087745448069289328,0.035263479550722357,-0.13492542517853615,-0.2357395475734182,-0.022147295618148943,-0.001414152356917775,-0.0052195090844958242,0
IC,xaj_k,k,leave_out_S3,S3,410,-0.026075085003662166,-0.081179723318666935,0.034367984365287423,-0.11376439495524653,-0.22014969031007189,-0.0065326505508094971,-4.2565871162289493e-05,-0.0031461337799723044,0
IC,xaj_k,k,leave_out_S4,S4,497,-0.019582318086999829,-0.078518696351067174,0.041567604141645259,-0.10779682620435593,-0.19485751859368408,-0.018860164118009653,-0.0021727799243292656,-0.0061223318340547211,0
IC,xaj_k,k,leave_out_S5,S5,476,-0.16982685113580909,-0.31465571352168559,-0.032846921327722309,-0.17142176249124449,-0.26238565014244658,-0.081749127034320815,-0.004551250978574152,-0.0082757640942114907,-0.0010639610921840265
IC,xaj_b,b,exclude_S5,S5,476,0.79379177897888653,0.43400459606645847,1.1907786133054845,0.098833443015203512,0.010914497419224579,0.19980478923297879,0,0,0
IC,xaj_b,b,leave_out_S1,S1,366,-0.12145260113391794,-0.30363139950563611,0.10192053427478173,0.039389522372421382,-0.057643288307864353,0.14975353245768269,0,0,0
IC,xaj_b,b,leave_out_S2,S2,375,-0.037985774709349461,-0.2205908510537915,0.14309552042300686,0.029142637659989465,-0.068970181155190463,0.13204385929215806,0,0,0
IC,xaj_b,b,leave_out_S3,S3,410,-0.065662904099067873,-0.24826537512921093,0.15425788671573601,-0.024001835533406145,-0.12959764121121209,0.08685249560005838,0,0,0
IC,xaj_b,b,leave_out_S4,S4,497,-0.071326885789643343,-0.25968107315465205,0.13460067603545472,-0.013768807403386936,-0.10376662124710642,0.073780558700753868,0,0,0
IC,xaj_b,b,leave_out_S5,S5,476,0.79379177897888653,0.41000161961619697,1.1962318356364938,0.098833443015203512,0.0055757981154602723,0.18432614580885748,0,0,0
IC,xaj_im,im,exclude_S5,S5,476,-0.13659335482143559,-0.32856240169182133,0.077044555402970033,-0.1366624628769087,-0.22110254197588877,-0.042823251529476421,0,0,0
IC,xaj_im,im,leave_out_S1,S1,366,-0.41244746613354105,-0.57724858945912949,-0.23708023430497163,-0.24430042422455367,-0.35727904617660272,-0.1263644540208749,0,0,0
IC,xaj_im,im,leave_out_S2,S2,375,-0.37111716879541756,-0.51436696372161839,-0.21220182573579058,-0.29010235318797806,-0.39024534386870668,-0.18879606577346514,0,0,0
IC,xaj_im,im,leave_out_S3,S3,410,-0.36943673669792321,-0.52880178683011958,-0.20645323513438546,-0.27996611016905232,-0.37640979817121384,-0.18417372443157656,0,0,0
