paradigm,parameter,parameter_display,contrast,n,beta,ci95_low,ci95_high,bootstrap_n,bootstrap_seed,validation_base_cn_max_abs_diff
IC,xaj_a,a (UH shape),Base-TGD2,531,-0.37940064645148402,-0.57386137572896889,-0.17340960741546474,10000,20260730,0
IC,xaj_b,b,Base-TGD2,531,0.15186127957821793,-0.0038068564446983545,0.30461010215885698,10000,20260730,0
IC,xaj_c,c,Base-TGD2,531,-0.00018968965187764032,-0.21773936693888982,0.2146149881014581,10000,20260730,0
IC,xaj_cg,cg,Base-TGD2,531,0.41960836156628539,0.29172962754205911,0.54612765718796163,10000,20260730,0
IC,xaj_ci,ci,Base-TGD2,531,-0.15567694886487599,-0.35853182546548329,0.042289675742656782,10000,20260730,0
IC,xaj_dm,dm,Base-TGD2,531,-0.029641725385951011,-0.24321588798900162,0.17558859996199305,10000,20260730,0
IC,xaj_ex,ex,Base-TGD2,531,0.083810828140777852,-0.045325344809631185,0.22062508696411065,10000,20260730,0
IC,xaj_im,im,Base-TGD2,531,0.06375931086591656,-0.072911790022744852,0.19972670523213723,10000,20260730,0
IC,xaj_k,k,Base-TGD2,531,0.015547717360157752,-0.026460093028362275,0.055280758598757328,10000,20260730,0
IC,xaj_kg,kg,Base-TGD2,531,0.022211319541989329,-0.1852074284314649,0.21383937308943826,10000,20260730,0
IC,xaj_ki,ki,Base-TGD2,531,-0.10507750595353525,-0.23082073704220446,0.0080203732530373193,10000,20260730,0
IC,xaj_lm,lm,Base-TGD2,531,0.22052945236608706,0.051780548408701353,0.39586418646804267,10000,20260730,0
IC,xaj_sm,sm,Base-TGD2,531,-0.2323307050825523,-0.38881428498784865,-0.069732821178012314,10000,20260730,0
IC,xaj_theta,theta (UH scale),Base-TGD2,531,-0.33313303476021494,-0.54184556071218182,-0.12151107954938366,10000,20260730,0
IC,xaj_um,um,Base-TGD2,531,0.059313393684841342,-0.10188022445055391,0.22599942201010984,10000,20260730,0
dPL,xaj_a,a (UH shape),Base-TGD2,531,-0.078129161754238258,-0.26240040588620628,0.10421158759666414,10000,20260730,0
dPL,xaj_b,b,Base-TGD2,531,-0.058866519693247334,-0.19707254102629274,0.079584649841014946,10000,20260730,0
dPL,xaj_c,c,Base-TGD2,531,1.4170219238349502,1.3256284313263684,1.5110959954413616,10000,20260730,0
dPL,xaj_cg,cg,Base-TGD2,531,0.50305455708525648,0.41656587807622308,0.5909447200893756,10000,20260730,0
dPL,xaj_ci,ci,Base-TGD2,531,-0.14140003562456033,-0.22113392982984564,-0.067631106727668908,10000,20260730,0
dPL,xaj_dm,dm,Base-TGD2,531,-0.04613106761638467,-0.11180167317378112,0.009823653382396479,10000,20260730,0
dPL,xaj_ex,ex,Base-TGD2,531,-0.24346980327257745,-0.3530311942282951,-0.1491144223721251,10000,20260730,0
dPL,xaj_im,im,Base-TGD2,531,-0.014470036669846207,-0.020628290362412698,-0.00919760331707563,10000,20260730,0
dPL,xaj_k,k,Base-TGD2,531,0.058730838952685237,0.036388019976298862,0.084125099379500773,10000,20260730,0
dPL,xaj_kg,kg,Base-TGD2,531,-0.22486580235442175,-0.34493741032128283,-0.11556117233936153,10000,20260730,0
dPL,xaj_ki,ki,Base-TGD2,531,-0.10660681828614674,-0.18025395376539954,-0.044949836182549004,10000,20260730,0
dPL,xaj_lm,lm,Base-TGD2,531,0.21378954911162754,0.11006139960434407,0.32170967222787367,10000,20260730,0
dPL,xaj_sm,sm,Base-TGD2,531,-0.0069254087101296991,-0.059662555435087736,0.042402310671645238,10000,20260730,0
dPL,xaj_theta,theta (UH scale),Base-TGD2,531,-0.67979249420658749,-0.83507804632260019,-0.51234602380765337,10000,20260730,0
dPL,xaj_um,um,Base-TGD2,531,0.43017077873601361,0.27186518379377167,0.59248111960366334,10000,20260730,0
