paradigm,parameter,snow_regime,snow_interval,n,median_shift,ci95_low,ci95_high,parameter_display
IC,xaj_a,S3,"[0.15, 0.30)",121,0,0,0,a (UH shape)
IC,xaj_b,S3,"[0.15, 0.30)",121,0,-0.023641294597462614,0,b
IC,xaj_c,S3,"[0.15, 0.30)",121,0,0,0,c
IC,xaj_cg,S3,"[0.15, 0.30)",121,0,-0.069339840575956005,0,cg
IC,xaj_ci,S3,"[0.15, 0.30)",121,-0.084946677562050543,-0.18294611090979462,0,ci
IC,xaj_dm,S3,"[0.15, 0.30)",121,0,0,0,dm
IC,xaj_ex,S3,"[0.15, 0.30)",121,0,0,0,ex
IC,xaj_im,S3,"[0.15, 0.30)",121,0,0,0,im
IC,xaj_k,S3,"[0.15, 0.30)",121,-0.0083436368173328557,-0.013737394029906591,-0.004597028313515189,k
IC,xaj_kg,S3,"[0.15, 0.30)",121,-0.019082012103615539,-0.092940399270942317,0,kg
IC,xaj_ki,S3,"[0.15, 0.30)",121,-0.061082907978764478,-0.14547845623253289,0,ki
IC,xaj_lm,S3,"[0.15, 0.30)",121,0.182245453762024,0.067702341336396965,0.31656064880491941,lm
IC,xaj_sm,S3,"[0.15, 0.30)",121,-0.032508956645491749,-0.066193691269038069,0,sm
IC,xaj_theta,S3,"[0.15, 0.30)",121,0,0,0,theta (UH scale)
IC,xaj_um,S3,"[0.15, 0.30)",121,0,0,0,um
IC,xaj_a,S4,"[0.30, 0.50)",34,0.0054681257546904116,0,0.077762427601930195,a (UH shape)
IC,xaj_b,S4,"[0.30, 0.50)",34,0.08348997390713056,0,0.27136090630120602,b
IC,xaj_c,S4,"[0.30, 0.50)",34,0,-0.11016633484528338,0,c
IC,xaj_cg,S4,"[0.30, 0.50)",34,0.063337973918702883,-0.047692389524709444,0.20645002007339769,cg
IC,xaj_ci,S4,"[0.30, 0.50)",34,-0.12169049408721787,-0.31428855498237585,0,ci
IC,xaj_dm,S4,"[0.30, 0.50)",34,0,0,0,dm
IC,xaj_ex,S4,"[0.30, 0.50)",34,0,0,0.0098544950079946791,ex
IC,xaj_im,S4,"[0.30, 0.50)",34,0,-0.0062550799964483875,0,im
IC,xaj_k,S4,"[0.30, 0.50)",34,-0.040813154357739093,-0.12385629027364915,0,k
IC,xaj_kg,S4,"[0.30, 0.50)",34,-0.088113789076647894,-0.29420348657202328,-0.0061378793246888996,kg
IC,xaj_ki,S4,"[0.30, 0.50)",34,-0.3227952627481625,-0.58620401106816633,0,ki
IC,xaj_lm,S4,"[0.30, 0.50)",34,0.12405243770406665,0,0.29571792616083814,lm
IC,xaj_sm,S4,"[0.30, 0.50)",34,0.15442315396669032,0,0.24335806244731772,sm
IC,xaj_theta,S4,"[0.30, 0.50)",34,0,-0.0029525486668138738,0,theta (UH scale)
IC,xaj_um,S4,"[0.30, 0.50)",34,0,0,0.51783154666587983,um
IC,xaj_a,S2,"[0.05, 0.15)",156,0,0,0,a (UH shape)
IC,xaj_b,S2,"[0.05, 0.15)",156,0,0,0,b
IC,xaj_c,S2,"[0.05, 0.15)",156,0,0,0,c
IC,xaj_cg,S2,"[0.05, 0.15)",156,0,-0.019679052049264012,0,cg
IC,xaj_ci,S2,"[0.05, 0.15)",156,0,-0.012910867407421638,0.013138524597706702,ci
IC,xaj_dm,S2,"[0.05, 0.15)",156,0,0,0,dm
IC,xaj_ex,S2,"[0.05, 0.15)",156,0,0,0,ex
IC,xaj_im,S2,"[0.05, 0.15)",156,0,0,0,im
IC,xaj_k,S2,"[0.05, 0.15)",156,-0.007655619953949061,-0.013403189246452535,-0.0007257745726600151,k
IC,xaj_kg,S2,"[0.05, 0.15)",156,0,0,0,kg
IC,xaj_ki,S2,"[0.05, 0.15)",156,0,0,0.0017461047382591466,ki
IC,xaj_lm,S2,"[0.05, 0.15)",156,0,0,0,lm
IC,xaj_sm,S2,"[0.05, 0.15)",156,0,-0.011289211247658262,0,sm
IC,xaj_theta,S2,"[0.05, 0.15)",156,0,0,0,theta (UH scale)
IC,xaj_um,S2,"[0.05, 0.15)",156,0,0,0,um
IC,xaj_a,S1,"[0, 0.05)",165,0,0,0,a (UH shape)
IC,xaj_b,S1,"[0, 0.05)",165,0,0,0,b
IC,xaj_c,S1,"[0, 0.05)",165,0,0,0,c
IC,xaj_cg,S1,"[0, 0.05)",165,0.0044816093254074207,0,0.032035132942049849,cg
IC,xaj_ci,S1,"[0, 0.05)",165,0,0,0.0043581195999411754,ci
IC,xaj_dm,S1,"[0, 0.05)",165,0,0,0,dm
IC,xaj_ex,S1,"[0, 0.05)",165,0,0,0,ex
IC,xaj_im,S1,"[0, 0.05)",165,0,0,0,im
IC,xaj_k,S1,"[0, 0.05)",165,0,-0.001414152356917775,0,k
IC,xaj_kg,S1,"[0, 0.05)",165,0,0,0,kg
IC,xaj_ki,S1,"[0, 0.05)",165,0,-0.00072447105290307512,0.00086329265646972742,ki
IC,xaj_lm,S1,"[0, 0.05)",165,0,0,0,lm
IC,xaj_sm,S1,"[0, 0.05)",165,-2.3692949312925649e-05,-0.0061349575102293968,0,sm
IC,xaj_theta,S1,"[0, 0.05)",165,0,0,0,theta (UH scale)
IC,xaj_um,S1,"[0, 0.05)",165,0,0,0,um
IC,xaj_a,S5,"[0.50, 1.00]",55,0,0,0,a (UH shape)
IC,xaj_b,S5,"[0.50, 1.00]",55,-0.022771246595773315,-0.2429774383102449,0,b
IC,xaj_c,S5,"[0.50, 1.00]",55,0,0,0.14462026833847896,c
IC,xaj_cg,S5,"[0.50, 1.00]",55,0.20866915601045821,0.061641179276817892,0.33609337215583357,cg
IC,xaj_ci,S5,"[0.50, 1.00]",55,-0.24022758018597412,-0.46868074711240015,0,ci
IC,xaj_dm,S5,"[0.50, 1.00]",55,-0.54061720753970899,-0.95003526942158822,0,dm
IC,xaj_ex,S5,"[0.50, 1.00]",55,-0.054870291193481358,-0.22014402559936896,0,ex
IC,xaj_im,S5,"[0.50, 1.00]",55,-0.081505748456251914,-0.2279815936114663,0,im
IC,xaj_k,S5,"[0.50, 1.00]",55,0,0,0,k
IC,xaj_kg,S5,"[0.50, 1.00]",55,-0.068673592162262515,-0.17964945316942083,-0.0038836019951614398,kg
IC,xaj_ki,S5,"[0.50, 1.00]",55,0,-0.16652998488180432,0,ki
IC,xaj_lm,S5,"[0.50, 1.00]",55,0.0068728144991521134,0,0.38670364200594698,lm
IC,xaj_sm,S5,"[0.50, 1.00]",55,0.0087395198470475721,0,0.20289781212339408,sm
IC,xaj_theta,S5,"[0.50, 1.00]",55,0,-0.021169459043114645,0,theta (UH scale)
IC,xaj_um,S5,"[0.50, 1.00]",55,0.038135169823649506,0,0.52418996200092649,um
dPL,xaj_a,S3,"[0.15, 0.30)",121,0.0089872705525365637,-0.012786717250429347,0.026965799002811819,a (UH shape)
dPL,xaj_b,S3,"[0.15, 0.30)",121,0.052935512442337851,0.01476912122023733,0.10106583959177923,b
dPL,xaj_c,S3,"[0.15, 0.30)",121,0.058025240898132324,0.037068605422973633,0.077810764312744141,c
dPL,xaj_cg,S3,"[0.15, 0.30)",121,-0.26739835739135753,-0.33450424671173107,-0.18562376499176031,cg
dPL,xaj_ci,S3,"[0.15, 0.30)",121,-0.10758439699808753,-0.15047358142005074,-0.062288641929626354,ci
