paradigm,contrast,stratum,n_basins,metric,median,ci_lower,ci_upper
IC,Base-CN,Full531,531,within_a,0.46756002088773058,0.46178300294126662,0.47323150793810254
IC,Base-CN,Full531,531,within_b,0.48212049098105669,0.47773092323412469,0.48721692860301363
IC,Base-CN,Full531,531,within_pooled,0.47535171519349517,0.46955836406571527,0.47866882319509013
IC,Base-CN,Full531,531,between_all,0.49132779027375456,0.48498196509243541,0.49573500477924842
IC,Base-CN,Full531,531,excess,0.007462556745992055,0.0051615926571878523,0.010333670546830234
IC,Base-CN,Full531,531,prop_between_gt_within,0.63088512241054617,0.58945386064030136,0.66854990583804141
IC,Base-CN,Full531,531,prop_excess_gt_0,0.63088512241054617,0.59223163841807902,0.67142184557438789
IC,Base-CN,ExcludeS5,476,within_a,0.46792180180928455,0.46223970097356093,0.47463600654134924
IC,Base-CN,ExcludeS5,476,within_b,0.48119745884633802,0.47641699700317325,0.48673280337452923
IC,Base-CN,ExcludeS5,476,within_pooled,0.47598440079797266,0.47058510283343347,0.48136030013628001
IC,Base-CN,ExcludeS5,476,between_all,0.48499574573801768,0.48100674956628631,0.49082925577808328
IC,Base-CN,ExcludeS5,476,excess,0.0049968314216815579,0.0029568457668306112,0.0070420885883319372
IC,Base-CN,ExcludeS5,476,prop_between_gt_within,0.59033613445378152,0.5472163865546219,0.63555672268907559
IC,Base-CN,ExcludeS5,476,prop_excess_gt_0,0.59033613445378152,0.54201680672268904,0.63555672268907559
IC,Base-CN,S1,165,within_a,0.47593417476987226,0.46731305540445106,0.48655030277134032
IC,Base-CN,S1,165,within_b,0.46972603942834762,0.45789585099401447,0.47835881005415321
IC,Base-CN,S1,165,within_pooled,0.4728824711866596,0.46576754953489824,0.4818327125534777
IC,Base-CN,S1,165,between_all,0.47046164807870094,0.46226621803773371,0.48207624396260429
IC,Base-CN,S1,165,excess,-0.0018112891613693005,-0.0040542758420394785,0.0015159447602661844
IC,Base-CN,S1,165,prop_between_gt_within,0.46666666666666667,0.38787878787878788,0.54545454545454541
IC,Base-CN,S1,165,prop_excess_gt_0,0.46666666666666667,0.39393939393939392,0.54257575757575738
IC,Base-CN,S2,156,within_a,0.47825854927448919,0.46731029175701255,0.49477917513017367
IC,Base-CN,S2,156,within_b,0.48865225632708265,0.47956302975798698,0.49750646860459835
IC,Base-CN,S2,156,within_pooled,0.48463075508612641,0.4770818158983739,0.49500222502291508
IC,Base-CN,S2,156,between_all,0.4875017025899217,0.4781426704333695,0.494874649373574
IC,Base-CN,S2,156,excess,0.0021614589377403626,-0.0036381332416289824,0.0043181320565383041
IC,Base-CN,S2,156,prop_between_gt_within,0.52564102564102566,0.44230769230769229,0.60256410256410253
IC,Base-CN,S2,156,prop_excess_gt_0,0.52564102564102566,0.45512820512820512,0.60256410256410253
IC,Base-CN,S3,121,within_a,0.45511215165003543,0.45192322433021853,0.46798822263299344
IC,Base-CN,S3,121,within_b,0.49460233142580462,0.48113401438939468,0.50336845379707862
IC,Base-CN,S3,121,within_pooled,0.47548009159619353,0.46461006341318511,0.48301965227433524
IC,Base-CN,S3,121,between_all,0.49433024621281418,0.48527135864966353,0.50277520702565259
