paradigm,stratum,dependent_var,slope,slope_ci_lower,slope_ci_upper,spearman_rho,spearman_rho_ci_lower,spearman_rho_ci_upper
IC,Full531,within_pooled,-0.023328128323374494,-0.046080814310778796,-0.0013218448934921541,-0.093511064930926882,-0.1794583201456845,-0.00785936457235566
IC,Full531,between_all,0.13091924031752544,0.11005768989162172,0.15149660600162501,0.37391049054919073,0.29322862388109988,0.4511331024259394
IC,Full531,excess,0.15424736864090041,0.13374214051038263,0.17537798324545287,0.54850386912744575,0.47877451967821061,0.6123973765093349
IC,ExcludeS5,within_pooled,-0.034022657820472986,-0.0717894507221431,0.0046723628544521039,-0.068850145775403174,-0.15902869821233881,0.020416717862955649
IC,ExcludeS5,between_all,0.10470671241783495,0.063074282703723727,0.14379822749984936,0.21504671897906927,0.1242938859910325,0.30166355978653359
IC,ExcludeS5,excess,0.13872937023830911,0.11013333135371746,0.16863483754442635,0.40574507082750338,0.32519447847730693,0.48179646869152454
dPL,Full531,within_pooled,0.032994704553944113,0.013642529132956702,0.053020343990340987,0.063356495411172109,-0.021056741035342899,0.14736398339016288
dPL,Full531,between_all,0.50506276352516521,0.47873960976898161,0.53424160972619572,0.74255934013452196,0.69331551683828341,0.78436470904373512
dPL,Full531,excess,0.47206805897122123,0.44052419788591263,0.50550000960235486,0.75697146588941722,0.70870048376772865,0.79875413524507966
dPL,ExcludeS5,within_pooled,0.059152305527583202,0.01019989520365506,0.10788828241975788,0.00034514753388123341,-0.09220056063664496,0.090802412146449268
dPL,ExcludeS5,between_all,0.65130965682970421,0.5838841829575786,0.71844056372526588,0.6537962167521093,0.59291769621795665,0.70822300003808059
dPL,ExcludeS5,excess,0.59215735130212144,0.51291394740633034,0.67496778867451768,0.67598212665483282,0.61444160187668362,0.73014250662493263
