regime,stratum,N,P_exactly_2_of_3,P_3_of_3,P_at_least_2,P_at_least_2_ci_low,P_at_least_2_ci_high
IC,S1,165,0.24848484848484848,0.11515151515151516,0.36363636363636365,0.2909090909090909,0.43636363636363634
IC,S2,156,0.3076923076923077,0.26282051282051283,0.5705128205128205,0.5,0.6474358974358975
IC,S3,121,0.34710743801652894,0.30578512396694213,0.6528925619834711,0.5619834710743802,0.7355371900826446
IC,S4,34,0.08823529411764706,0.8235294117647058,0.9117647058823529,0.8227941176470588,1.0
IC,S5,55,0.0,0.9818181818181818,0.9818181818181818,0.9454545454545454,1.0
dPL,S1,165,0.21212121212121213,0.06666666666666667,0.2787878787878788,0.21212121212121213,0.3515151515151515
dPL,S2,156,0.23717948717948717,0.1794871794871795,0.4166666666666667,0.33974358974358976,0.5
dPL,S3,121,0.3305785123966942,0.2644628099173554,0.5950413223140496,0.5041322314049587,0.6776859504132231
dPL,S4,34,0.14705882352941177,0.7941176470588235,0.9411764705882353,0.8529411764705882,1.0
dPL,S5,55,0.03636363636363636,0.9636363636363636,1.0,1.0,1.0
