host,regime,stratum,N,median_delta_abs_CT_Base_CN,q25,q75
XAJ,IC,S1,165,0.0,-1.0,2.0
XAJ,IC,S2,156,1.0,-1.0,4.0
XAJ,IC,S3,121,7.0,-2.0,14.0
XAJ,IC,S4,34,26.0,15.0,36.0
XAJ,IC,S5,55,47.0,38.5,61.0
XAJ,dPL,S1,165,0.0,-1.0,1.0
XAJ,dPL,S2,156,0.0,-2.0,2.25
XAJ,dPL,S3,121,2.0,-5.0,9.0
XAJ,dPL,S4,34,23.5,7.75,38.0
XAJ,dPL,S5,55,46.0,37.0,55.0
GR4J,IC,S1,165,0.0,0.0,1.5
GR4J,IC,S2,156,2.0,-1.0,7.0
GR4J,IC,S3,121,15.0,5.0,28.0
GR4J,IC,S4,34,35.5,13.5,48.75
GR4J,IC,S5,55,49.0,38.0,58.0
GR4J,dPL,S1,165,0.0,0.0,1.0
GR4J,dPL,S2,156,2.0,0.0,7.0
GR4J,dPL,S3,121,15.0,4.0,23.0
GR4J,dPL,S4,34,31.0,13.25,48.25
GR4J,dPL,S5,55,50.0,37.5,55.5
SIMHYD,IC,S1,165,0.0,-1.0,1.0
SIMHYD,IC,S2,156,0.0,-1.0,4.0
SIMHYD,IC,S3,121,-2.0,-8.0,7.0
SIMHYD,IC,S4,34,23.5,9.0,40.75
SIMHYD,IC,S5,55,47.0,33.0,68.5
SIMHYD,dPL,S1,165,0.0,-1.0,1.0
SIMHYD,dPL,S2,156,-0.5,-3.0,1.5
SIMHYD,dPL,S3,121,-2.5,-6.0,3.5
SIMHYD,dPL,S4,34,23.0,4.1875,32.375
SIMHYD,dPL,S5,55,40.0,30.5,47.75
