basin_id,frac_snow,snow_stratum,delta_abs_CT_Base_CN_XAJ_IC,n_seeds_XAJ_IC,delta_abs_CT_Base_CN_XAJ_dPL,n_seeds_XAJ_dPL,delta_abs_CT_Base_CN_GR4J_IC,n_seeds_GR4J_IC,delta_abs_CT_Base_CN_GR4J_dPL,n_seeds_GR4J_dPL,delta_abs_CT_Base_CN_SIMHYD_IC,n_seeds_SIMHYD_IC,delta_abs_CT_Base_CN_SIMHYD_dPL,n_seeds_SIMHYD_dPL
01022500,0.245259009248271,S3,16.0,1,13.0,3,23.0,1,15.0,3,13.0,1,11.0,2
01031500,0.291836473001958,S3,40.0,1,28.0,3,56.0,1,51.0,3,14.0,1,15.5,2
01047000,0.280118126940736,S3,27.0,1,16.0,3,55.0,1,51.0,3,9.0,1,7.5,2
01052500,0.352698254049326,S4,31.0,1,35.0,3,46.0,1,60.0,3,28.0,1,23.5,2
01054200,0.299641539662879,S3,39.0,1,22.0,3,34.0,1,55.0,3,12.0,1,18.0,2
01055000,0.306048851694867,S4,30.0,1,18.0,3,40.0,1,57.0,3,10.0,1,10.0,2
01057000,0.251157672769098,S3,31.0,1,13.0,3,45.0,1,36.0,3,7.0,1,8.5,2
01073000,0.17503243505174,S3,10.0,1,6.0,3,18.0,1,19.0,3,-7.0,1,-6.0,2
01078000,0.23971852199071,S3,28.0,1,29.0,3,48.0,1,38.0,3,9.0,1,16.5,2
01123000,0.136053399026134,S2,7.0,1,7.0,3,7.0,1,7.0,3,0.0,1,2.5,2
01134500,0.280582089228151,S3,-1.0,1,4.0,3,31.0,1,51.0,3,3.0,1,0.0,2
01137500,0.301814975818189,S4,26.0,1,24.0,3,55.0,1,46.0,3,7.0,1,14.5,2
01139000,0.246562671549799,S3,2.0,1,-4.0,3,42.0,1,35.0,3,-4.0,1,-5.5,2
01139800,0.26232897318021,S3,19.0,1,3.0,3,40.0,1,31.0,3,-4.0,1,-3.5,2
01142500,0.252307890542821,S3,12.0,1,9.0,3,36.0,1,32.0,3,8.0,1,7.5,2
01144000,0.248466348504845,S3,19.0,1,10.0,3,45.0,1,38.0,3,8.0,1,8.5,2
01162500,0.226769184680043,S3,11.0,1,5.0,3,16.0,1,15.0,3,5.0,1,-1.5,2
01169000,0.238972605896079,S3,11.0,1,16.0,3,38.0,1,31.0,3,6.0,1,3.5,2
01170100,0.234653735405934,S3,13.0,1,13.0,3,24.0,1,19.0,3,-5.0,1,3.5,2
01181000,0.217563041040592,S3,12.0,1,2.0,3,32.0,1,21.0,3,-10.0,1,-3.5,2
01187300,0.201269335695146,S3,-7.0,1,-5.0,3,11.0,1,12.0,3,-18.0,1,-15.5,2
01195100,0.106042892091717,S2,5.0,1,-2.0,3,13.0,1,5.0,3,7.0,1,-2.0,2
04296000,0.273317826422307,S3,28.0,1,21.0,3,50.0,1,41.0,3,22.0,1,20.0,2
01333000,0.222244968016498,S3,5.0,1,-4.0,3,7.0,1,-3.0,3,-11.0,1,-15.0,2
01350000,0.231159657658639,S3,8.0,1,4.0,3,21.0,1,16.0,3,-19.0,1,-11.0,2
01350080,0.221156578322867,S3,24.0,1,29.0,3,29.0,1,20.0,3,0.0,1,7.5,2
01350140,0.219859026682811,S3,14.0,1,11.0,3,24.0,1,11.0,3,-10.0,1,-0.5,2
01365000,0.202270211093681,S3,-4.0,1,4.0,3,20.0,1,23.0,3,-7.0,1,-6.5,2
01411300,0.0480948550351646,S1,-1.0,1,0.0,3,1.0,1,1.0,3,-1.0,1,3.5,2
01413500,0.216908033968228,S3,9.0,1,7.0,3,21.0,1,15.0,3,-3.0,1,-4.0,2
01414500,0.216628505016047,S3,0.0,1,-7.0,3,7.0,1,2.0,3,-10.0,1,-12.5,2
01415000,0.213452184948768,S3,6.0,1,1.0,3,10.0,1,6.0,3,-8.0,1,-9.0,2
01423000,0.217830297712483,S3,13.0,1,7.0,3,16.0,1,12.0,3,-7.0,1,-10.0,2
01434025,0.23781373120698,S3,-6.0,1,-5.0,3,11.0,1,6.0,3,-8.0,1,-15.5,2
01435000,0.223616269388589,S3,-16.0,1,-13.0,3,13.0,1,13.0,3,-10.0,1,-13.5,2
01439500,0.163765228832016,S3,1.0,1,-4.0,3,14.0,1,8.0,3,-8.0,1,-5.0,2
01440000,0.147767408338048,S2,10.0,1,8.0,3,14.0,1,15.0,3,8.0,1,-1.5,2
01440400,0.172223371092882,S3,-2.0,1,-9.0,3,15.0,1,10.0,3,-4.0,1,-8.5,2
01451800,0.128362665991427,S2,4.0,1,6.0,3,16.0,1,12.0,3,5.0,1,1.5,2
01466500,0.0626617697616761,S2,-1.0,1,1.0,3,-3.0,1,-5.0,3,1.0,1,-2.0,2
01484100,0.042571686471381,S1,1.0,1,2.0,3,1.0,1,-1.0,3,2.0,1,1.0,2
01487000,0.0424689894259026,S1,0.0,1,1.0,3,1.0,1,2.0,3,0.0,1,1.0,2
01491000,0.0500257211233794,S2,2.0,1,0.0,3,6.0,1,4.0,3,-1.0,1,3.5,2
01510000,0.237057400622962,S3,11.0,1,5.0,3,24.0,1,23.0,3,-10.0,1,-0.5,2
01516500,0.199238597784613,S3,21.0,1,13.0,3,28.0,1,28.0,3,13.0,1,-0.5,2
01518862,0.201111344911574,S3,13.0,1,10.0,3,34.0,1,23.0,3,2.0,1,2.0,2
01532000,0.176741266621108,S3,5.0,1,-2.0,3,13.0,1,13.0,3,-10.0,1,6.5,2
01539000,0.156285913306627,S3,8.0,1,2.0,3,15.0,1,13.0,3,-17.0,1,-4.0,2
01542810,0.189716485804691,S3,-6.0,1,-7.0,3,0.0,1,25.0,3,-16.0,1,-1.5,2
01543000,0.188056577083995,S3,-3.0,1,-10.0,3,31.0,1,30.0,3,-13.0,1,-8.0,2
01543500,0.181653610941671,S3,0.0,1,-2.0,3,31.0,1,27.0,3,-1.0,1,0.5,2
01544500,0.20336289315932,S3,8.0,1,1.0,3,17.0,1,17.0,3,-7.0,1,-8.0,2
01545600,0.192645540908709,S3,7.0,1,6.0,3,30.0,1,22.0,3,14.0,1,1.0,2
01547700,0.156172998266035,S3,-4.0,1,4.0,3,19.0,1,11.0,3,-6.0,1,-1.0,2
01548500,0.202088630482319,S3,7.0,1,4.0,3,25.0,1,26.0,3,-8.0,1,-6.0,2
01549500,0.186519052942025,S3,-17.0,1,-10.0,3,16.0,1,21.0,3,-10.0,1,-4.5,2
01550000,0.179825512854574,S3,-6.0,1,-4.0,3,14.0,1,18.0,3,-9.0,1,-1.5,2
01552000,0.17305912288721,S3,-1.0,1,-6.0,3,13.0,1,7.0,3,-9.0,1,-5.5,2
01552500,0.185169707979555,S3,-11.0,1,-18.0,3,9.0,1,8.0,3,-3.0,1,-4.0,2
