regime,host_model,sample,N_valid,Base_CT_signed_bias_days,Base_early_fraction (CT_sim < CT_obs),TGD2_CT_signed_bias_days,CN_CT_signed_bias_days,Base_CT_abs_error_days,TGD2_CT_abs_error_days,CN_CT_abs_error_days,Timing_Reduction_Base_to_CN_days,Timing_Reduction_Base_to_CN_95CI,Timing_Reduction_Base_to_CN_frac_pos,Timing_Reduction_TGD2_to_CN_days (Primary C),Timing_Reduction_TGD2_to_CN_95CI,Timing_Reduction_TGD2_to_CN_frac_pos,Signed_Shift_Base_to_CN_days,Signed_Shift_TGD2_to_CN_days,Timing_Improvement_Snow_Slope,Timing_Improvement_Snow_Slope_95CI
IC,XAJ,All 531 Basins,531,-8.133333333333333,0.8022598870056498,-4.266666666666667,0.13333333333333333,17.8,14.733333333333333,13.133333333333333,2.0666666666666673,"[1.33, 2.60]",0.6704331450094162,0.7333333333333325,"[0.47, 1.27]",0.608286252354049,6.4,3.0,15.489350195294074,"[12.01, 19.20]"
IC,XAJ,High-Snow (frac_snow>=0.30),89,-44.733333333333334,0.9775280898876404,-12.066666666666666,-0.6,46.733333333333334,17.066666666666666,9.4,34.06666666666667,"[29.20, 41.60]",0.9775280898876404,7.533333333333333,"[5.00, 9.27]",0.8651685393258427,45.93333333333334,10.800000000000002,7.895896362656997,"[-4.70, 19.23]"
IC,GR4J,All 531 Basins,531,-14.4,0.8229755178907722,-10.266666666666667,-2.3333333333333335,23.333333333333332,18.266666666666666,13.733333333333333,2.7333333333333334,"[2.13, 4.20]",0.7551789077212806,1.7333333333333343,"[1.33, 2.20]",0.7156308851224106,6.199999999999999,4.333333333333333,18.338083297563273,"[14.43, 22.70]"
IC,GR4J,High-Snow (frac_snow>=0.30),89,-51.666666666666664,0.9662921348314607,-16.266666666666666,-0.13333333333333333,53.0,18.266666666666666,9.0,43.0,"[39.20, 46.40]",0.9662921348314607,8.466666666666665,"[7.00, 10.80]",0.8651685393258427,49.46666666666667,14.466666666666669,5.803508677745591,"[-10.90, 20.39]"
IC,SIMHYD,All 531 Basins,531,-2.933333333333333,0.5612052730696798,0.5333333333333333,4.666666666666667,16.666666666666668,14.2,13.6,0.9333333333333318,"[0.40, 1.27]",0.6120527306967984,0.33333333333333215,"[0.07, 0.60]",0.544256120527307,4.7333333333333325,2.2666666666666675,13.057521192195775,"[9.94, 16.49]"
IC,SIMHYD,High-Snow (frac_snow>=0.30),89,-42.8,0.9662921348314607,-12.0,0.0,47.666666666666664,17.0,9.866666666666667,36.0,"[30.93, 41.73]",0.9325842696629213,5.266666666666666,"[3.53, 7.93]",0.8314606741573034,43.46666666666667,11.266666666666667,6.173799378885283,"[-5.55, 16.11]"
dPL,XAJ,All 531 Basins,531,-5.4,0.7062146892655368,-2.6,2.4,15.933333333333334,13.6,12.466666666666667,0.8666666666666671,"[0.40, 1.27]",0.6026365348399246,0.40000000000000213,"[0.20, 0.73]",0.5612052730696798,6.266666666666667,3.6666666666666665,12.326469861292615,"[9.25, 15.41]"
dPL,XAJ,High-Snow (frac_snow>=0.30),89,-43.06666666666667,0.9662921348314607,-9.928571428571429,-2.1333333333333333,43.06666666666667,18.333333333333332,10.733333333333333,31.0,"[25.60, 39.00]",0.9325842696629213,5.133333333333335,"[3.33, 7.40]",0.7191011235955056,42.333333333333336,8.6,15.493390367776746,"[2.03, 27.26]"
dPL,GR4J,All 531 Basins,531,-13.866666666666667,0.8568738229755178,-8.866666666666667,-2.533333333333333,21.066666666666666,16.2,12.466666666666667,2.1999999999999993,"[1.47, 3.00]",0.7269303201506592,0.9333333333333318,"[0.53, 1.27]",0.6760828625235404,5.866666666666667,3.4000000000000012,14.978692273443658,"[11.26, 18.91]"
dPL,GR4J,High-Snow (frac_snow>=0.30),89,-50.53333333333333,0.9662921348314607,-16.066666666666666,-2.533333333333333,51.46666666666667,18.066666666666666,9.733333333333333,40.66666666666667,"[32.87, 44.87]",0.9775280898876404,8.4,"[5.07, 10.40]",0.7865168539325843,47.86666666666667,13.066666666666666,12.663639508260832,"[-1.98, 25.64]"
dPL,SIMHYD,All 531 Basins,531,1.4666666666666666,0.4651600753295669,2.7333333333333334,6.266666666666667,15.933333333333334,13.2,13.4,0.466666666666665,"[0.13, 0.80]",0.5630885122410546,0.06666666666666643,"[-0.20, 0.33]",0.5009416195856874,3.400000000000002,2.8666666666666654,10.234894420045595,"[7.50, 12.93]"
dPL,SIMHYD,High-Snow (frac_snow>=0.30),89,-38.4,0.9550561797752809,-7.2,-0.06666666666666667,41.13333333333333,14.733333333333333,9.4,28.466666666666665,"[23.87, 34.13]",0.9775280898876404,3.5999999999999943,"[2.13, 4.20]",0.7752808988764045,37.93333333333334,6.266666666666667,10.222146608952077,"[-0.41, 19.53]"
