paradigm,period,snow_stratum,n_total,n_valid,valid_rate,D_median,D_iqr,D_ci_low,D_ci_high,D_le0_count,D_near0_count,G_base_median,G_base_iqr,G_base_ci_low,G_base_ci_high,G_base_gt0_prop,G_TGD_median,G_TGD_iqr,G_TGD_ci_low,G_TGD_ci_high,G_TGD_gt0_prop,F_close_median,F_close_iqr,F_close_ci_low,F_close_ci_high,F_close_lt0_prop,F_close_0_to_1_prop,F_close_gt1_prop,F_TGD_median,F_TGD_iqr,F_TGD_ci_low,F_TGD_ci_high,F_TGD_lt0_prop,F_TGD_0_to_1_prop,F_TGD_gt1_prop,delta_F_median,delta_F_ci_low,delta_F_ci_high,delta_F_gt0_prop
IC,test,Full,531,427,0.8041431261770244,0.0867328019137384,0.3471963717816018,0.0607691972788088,0.1057208818075995,104,32,0.0026088991818091,0.0586872113522188,0.0008330786423506,0.0077285327479494,0.5630885122410546,0.0385621948047482,0.19390683071388704,0.0253853141787027,0.0498237737141422,0.7589453860640302,0.10149379932946224,0.22364128411508982,0.07979092956649195,0.112550714507396,0.3161592505854801,0.6791569086651054,0.00468384074941452,0.5456445335373832,0.3462693492377402,0.519301176823477,0.5720777205667971,0.08430913348946135,0.8758782201405152,0.03981264637002342,0.45995058529333754,0.4327967464480379,0.4984935618658474,0.9156908665105387
IC,test,S1,165,70,0.42424242424242425,-0.0039422899627368,0.0265379909973263,-0.0077493174596739,0.0001221452520965,95,26,-0.0054420425633152,0.012006087952873501,-0.0077868587282911,-0.0041071007067936,0.15151515151515152,-0.0031682107866144,0.0215584234755511,-0.0059675762040382,-0.0018517571891066501,0.3939393939393939,-0.0961038958429003,0.5989327964100706,-0.22973801009220007,-0.05107269021644806,0.7142857142857143,0.2857142857142857,0.0,0.5081038746733756,0.4582452359921919,0.3919569432220477,0.570639013759358,0.18571428571428572,0.7,0.11428571428571428,0.5151890514975555,0.39671586943372106,0.637675628883361,0.8428571428571429
IC,test,S2,156,148,0.9487179487179487,0.06069860241524465,0.0697000410215528,0.0500575356696612,0.07859942785714445,8,6,-0.00026417104675025,0.0182962653055077,-0.00165806523774865,0.0016138438824509,0.4935897435897436,0.02855480592453925,0.046500716475328704,0.0231357906916589,0.0374729225887699,0.8461538461538461,0.002248420724401149,0.3077508239820427,-0.030952751232414276,0.026396089388504105,0.49324324324324326,0.49324324324324326,0.013513513513513514,0.4983516194800768,0.3742813461246551,0.43318641375978484,0.5322881529884872,0.13513513513513514,0.8108108108108109,0.05405405405405406,0.4382318735188331,0.39151400947056925,0.5137279923100002,0.8918918918918919
IC,test,S3,121,120,0.9917355371900827,0.3325118187181294,0.17913270749222432,0.3068781098938493,0.3659564448219832,1,0,0.0454344739371168,0.0493117660604251,0.0372640636523102,0.05044412348499461,0.9090909090909091,0.1823408095617997,0.16044327186462015,0.150547831457671,0.2088632898220754,0.9752066115702479,0.13609631706917416,0.09187307783250068,0.12015266581700278,0.1485179121208966,0.08333333333333333,0.9166666666666666,0.0,0.5490943274769304,0.2673462871986499,0.5124302416541562,0.581343389869223,0.016666666666666666,0.975,0.008333333333333333,0.42443189322982844,0.3995621409225652,0.45469983107205064,0.9833333333333333
IC,test,S4,34,34,1.0,0.6027565864388305,0.30317576430522825,0.43432910115464607,0.6459224367176324,0,0,0.07547220999566275,0.03742673350337354,0.06961214926900999,0.09818404991868425,0.9411764705882353,0.2841409375604165,0.40472085422517234,0.1102352782317684,0.3443671613860703,0.9705882352941176,0.16308784606112814,0.09867441195699422,0.1423482751716408,0.19231788771298952,0.058823529411764705,0.9411764705882353,0.0,0.5093536957256642,0.4525429241903485,0.39949493967364813,0.7003456982055452,0.029411764705882353,0.9705882352941176,0.0,0.38578207676001763,0.223306096506998,0.5644670726614626,0.7941176470588235
IC,test,S5,55,55,1.0,1.0646732770422478,0.2775370714065424,0.964073998221671,1.0790141051696926,0,0,0.1783677554674477,0.1088525194380072,0.1542942746475122,0.2311654283293364,1.0,0.8340553794193712,0.27900556965781687,0.7487860999007538,0.8736525154960859,1.0,0.20751721059391595,0.09320788506648287,0.16423201908257662,0.22109773868196558,0.0,1.0,0.0,0.8308078082779942,0.15557199929320942,0.7877095925890306,0.8607069256039817,0.0,1.0,0.0,0.6649182445743138,0.5955863818979499,0.6831892275904344,1.0
IC,test,S4+S5,89,89,1.0,0.8347884565995504,0.46216016905308965,0.7460990517508342,0.9576158268707894,0,0,0.1306276322794387,0.13545704309519813,0.1156835726342994,0.1559988166991619,0.9775280898876404,0.6616336158516092,0.5462990113068857,0.557265882787426,0.7416870491614501,0.9887640449438202,0.17909824161267052,0.09142037524236304,0.1614660087198886,0.20847049627143757,0.02247191011235955,0.9775280898876404,0.0,0.7688860863108328,0.33486273073757955,0.7276764349637567,0.8177629488361737,0.011235955056179775,0.9887640449438202,0.0,0.5987232400372211,0.4835481621931166,0.6511519840586366,0.9213483146067416
dPL,test,Full,531,460,0.8662900188323918,0.0910710818909876,0.3373426461168198,0.06977287678577448,0.1137059115527405,71,39,0.007324709902259,0.05278850314391655,0.003854239155184,0.0098755292028279,0.655367231638418,0.0359718301931317,0.17550162926587584,0.0267876853482952,0.0446398031361592,0.8135593220338984,0.10205092694987436,0.1693587194715754,0.09487675811629269,0.11061901460805372,0.24782608695652175,0.75,0.002173913043478261,0.5211616591113655,0.30010941709978534,0.5048063686417498,0.5378042916913448,0.06086956521739131,0.9304347826086956,0.008695652173913044,0.4409976062846834,0.41226956920511576,0.4670381970037093,0.9282608695652174
dPL,test,S1,165,100,0.6060606060606061,0.0037087922695557,0.0203124142347446,0.0009361211792695,0.0085580896980367,65,37,-0.0032357620192543,0.0058905782372657995,-0.0038158695858849,-0.0026118848849807,0.20606060606060606,-0.0001614333847316,0.0104503341598693,-0.0015226101334625,0.0015107390251559,0.4909090909090909,-0.10147433442694419,0.553417904386171,-0.14638128930901184,-0.03807080127181664,0.66,0.34,0.0,0.44353505594991566,0.40180688508637996,0.39256256904047115,0.4893884360180585,0.19,0.78,0.03,0.5757257908642236,0.42179505761647174,0.6529609821390956,0.81
dPL,test,S2,156,151,0.967948717948718,0.07154542284370374,0.06992858099476305,0.061658979878711793,0.0858967401596999,5,2,0.0033778160013114497,0.01200150116491365,0.0024297714376627,0.00602245855824245,0.7051282051282052,0.033188051003767205,0.03870787783601295,0.0245075420468283,0.0387723996910516,0.9423076923076923,0.06297439405612483,0.1312336063635788,0.03274446199200437,0.08408203667030388,0.2781456953642384,0.7152317880794702,0.006622516556291391,0.49809339870702246,0.22525999027860766,0.4473466260692545,0.521524228533132,0.026490066225165563,0.9668874172185431,0.006622516556291391,0.3924376423653645,0.36105090146670943,0.4470801995021539,0.9735099337748344
