regime,structure,n_basins,wetup_signed_median,wetup_signed_ci_low,wetup_signed_ci_high,wetup_abs_median,wetup_abs_ci_low,wetup_abs_ci_high,peak_signed_median,peak_signed_ci_low,peak_signed_ci_high,peak_abs_median,peak_abs_ci_low,peak_abs_ci_high
IC_fused,Base,449,5.0,2.0,12.0,41.0,39.0,46.0,-50.5,-62.0,-43.0,61.0,54.0,67.0
IC_fused,TGD2,449,14.0,9.0,28.0,37.0,34.5,41.0,-54.0,-59.0,-49.0,59.5,56.0,64.51249999999993
IC_fused,CN,449,3.0,2.0,4.0,22.5,20.0,26.0,-29.0,-38.0,-23.0,49.0,43.0,56.0
dPL_seed42,Base,449,4.0,2.0,9.0,40.0,37.0,45.5,-25.0,-33.0,-18.0,42.5,38.0,47.0
dPL_seed42,TGD2,434,7.0,4.0,15.0,38.5,34.5,43.5,-28.0,-34.5,-18.5,45.0,39.0,48.006249999999966
dPL_seed42,CN,449,2.0,1.0,3.0,24.0,20.0,27.0,-17.0,-25.0,-12.0,37.5,33.5,43.5
dPL_seed123,Base,449,5.0,2.0,9.0,40.0,37.0,46.0,-28.0,-34.0,-20.0,44.5,41.0,50.0
dPL_seed123,TGD2,449,7.0,4.0,13.0,40.0,37.0,46.0,-26.0,-33.0,-18.0,44.0,40.0,48.0
dPL_seed123,CN,449,2.0,1.0,3.0,25.0,21.0,28.0,-18.0,-26.0,-11.5,35.0,31.0,40.0
dPL_seed2026,Base,449,4.0,2.0,9.0,40.0,37.0,45.5,-25.0,-33.0,-18.0,42.5,38.0,47.0
dPL_seed2026,TGD2,449,6.0,3.5,9.0,39.5,35.0,45.0,-25.0,-33.0,-17.5,43.5,38.0,47.0
dPL_seed2026,CN,449,2.0,1.0,3.0,24.0,20.0,27.0,-17.0,-25.0,-12.0,37.5,33.5,43.5
dPL_seed_median,Base,449,4.0,2.0,9.0,40.0,37.0,45.5,-25.0,-33.0,-18.0,42.5,38.0,47.0
dPL_seed_median,TGD2,449,7.0,4.0,10.0,39.0,35.0,45.0,-25.0,-32.0125,-18.0,43.5,37.5,47.5
dPL_seed_median,CN,449,2.0,1.0,3.0,24.0,20.0,27.0,-17.0,-25.0,-12.0,37.5,33.5,43.5
