estimand_framework,regime,snow_stratum,n_basins,P_all_3_positive,P_exactly_2_positive,P_majority_positive,P_majority_ci_low,P_majority_ci_high
Canonical Timing (Base vs CN delta_|CT| > 0),IC,S1,165,0.1151515151515151,0.2484848484848484,0.3636363636363636,0.2909090909090909,0.4363636363636363
Canonical Timing (Base vs CN delta_|CT| > 0),IC,S2,156,0.2628205128205128,0.3076923076923077,0.5705128205128205,0.5,0.6474358974358975
Canonical Timing (Base vs CN delta_|CT| > 0),IC,S3,121,0.3057851239669421,0.3471074380165289,0.6528925619834711,0.5619834710743802,0.7355371900826446
Canonical Timing (Base vs CN delta_|CT| > 0),IC,S4,34,0.8235294117647058,0.088235294117647,0.9117647058823528,0.8227941176470588,1.0
Canonical Timing (Base vs CN delta_|CT| > 0),IC,S5,55,0.9818181818181818,0.0,0.9818181818181818,0.9454545454545454,1.0
Canonical Timing (Base vs CN delta_|CT| > 0),dPL,S1,165,0.0666666666666666,0.2121212121212121,0.2787878787878788,0.2121212121212121,0.3515151515151515
Canonical Timing (Base vs CN delta_|CT| > 0),dPL,S2,156,0.1794871794871795,0.2371794871794871,0.4166666666666667,0.3397435897435897,0.5
Canonical Timing (Base vs CN delta_|CT| > 0),dPL,S3,121,0.2644628099173554,0.3305785123966942,0.5950413223140496,0.5041322314049587,0.6776859504132231
Canonical Timing (Base vs CN delta_|CT| > 0),dPL,S4,34,0.7941176470588235,0.1470588235294117,0.9411764705882352,0.8529411764705882,1.0
Canonical Timing (Base vs CN delta_|CT| > 0),dPL,S5,55,0.9636363636363636,0.0363636363636363,1.0,1.0,1.0
Old KGE (CN vs TGD2 KGE > 0),IC,Overall (All 531 Basins),531,0.4576271186440678,,0.6534839924670434,,
Old KGE (CN vs TGD2 KGE > 0),IC,"S1 [0, 0.05)",165,0.1636363636363636,,0.4303030303030303,,
Old KGE (CN vs TGD2 KGE > 0),IC,"S2 [0.05, 0.15)",156,0.3653846153846153,,0.6282051282051282,,
Old KGE (CN vs TGD2 KGE > 0),IC,"S3 [0.15, 0.30)",121,0.7520661157024794,,0.8429752066115702,,
Old KGE (CN vs TGD2 KGE > 0),IC,"S4 [0.30, 0.50)",34,0.6176470588235294,,0.7647058823529411,,
Old KGE (CN vs TGD2 KGE > 0),IC,"S5 [0.50, 1.00]",55,0.8545454545454545,,0.9090909090909092,,
Old KGE (CN vs TGD2 KGE > 0),dPL,Overall (All 531 Basins),531,0.3465160075329567,,0.615819209039548,,
Old KGE (CN vs TGD2 KGE > 0),dPL,"S1 [0, 0.05)",165,0.1212121212121212,,0.4545454545454545,,
Old KGE (CN vs TGD2 KGE > 0),dPL,"S2 [0.05, 0.15)",156,0.2692307692307692,,0.5641025641025641,,
Old KGE (CN vs TGD2 KGE > 0),dPL,"S3 [0.15, 0.30)",121,0.5702479338842975,,0.743801652892562,,
Old KGE (CN vs TGD2 KGE > 0),dPL,"S4 [0.30, 0.50)",34,0.5,,0.7058823529411765,,
Old KGE (CN vs TGD2 KGE > 0),dPL,"S5 [0.50, 1.00]",55,0.6545454545454545,,0.9090909090909092,,
