Regime,KGE screening threshold (τ),Configuration,Screened catchments (N),|ΔCT| ≥ 10 d,|ΔCT| ≥ 15 d,|ΔCT| ≥ 20 d
IC,0.40,Base,425,146 (34.4%),93 (21.9%),61 (14.4%)
IC,0.40,CN,487,96 (19.7%),34 (7.0%),9 (1.8%)
IC,0.50,Base,391,126 (32.2%),76 (19.4%),47 (12.0%)
IC,0.50,CN,467,90 (19.3%),31 (6.6%),9 (1.9%)
IC,0.60,Base,331,98 (29.6%),56 (16.9%),36 (10.9%)
IC,0.60,CN,427,77 (18.0%),25 (5.9%),6 (1.4%)
IC,0.70,Base,237,59 (24.9%),27 (11.4%),15 (6.3%)
IC,0.70,CN,345,58 (16.8%),19 (5.5%),4 (1.2%)
IC,0.80,Base,100,20 (20.0%),7 (7.0%),1 (1.0%)
IC,0.80,CN,188,21 (11.2%),4 (2.1%),1 (0.5%)
dPL,0.40,Base,427,110 (25.8%),66 (15.5%),41 (9.6%)
dPL,0.40,CN,494,95 (19.2%),28 (5.7%),8 (1.6%)
dPL,0.50,Base,401,100 (24.9%),59 (14.7%),35 (8.7%)
dPL,0.50,CN,465,89 (19.1%),24 (5.2%),6 (1.3%)
dPL,0.60,Base,344,77 (22.4%),46 (13.4%),26 (7.6%)
dPL,0.60,CN,426,82 (19.2%),20 (4.7%),3 (0.7%)
dPL,0.70,Base,251,45 (17.9%),22 (8.8%),10 (4.0%)
dPL,0.70,CN,345,62 (18.0%),15 (4.3%),3 (0.9%)
dPL,0.80,Base,109,16 (14.7%),7 (6.4%),0 (0.0%)
dPL,0.80,CN,177,24 (13.6%),3 (1.7%),0 (0.0%)
