Regime,Denominator criterion,"Valid catchments (N, %)",F_close (median),F_TGD (median),ΔF (median),P(ΔF > 0)
IC,$D_b > 10^{-6}$ (Canonical),427 (80.4%),0.101,0.546,+0.460,91.6%
IC,$D_b > 10^{-4}$,427 (80.4%),0.101,0.546,+0.460,91.6%
IC,$D_b > 10^{-3}$,424 (79.8%),0.102,0.546,+0.460,92.0%
IC,$D_b > 0.01$,395 (74.4%),0.109,0.547,+0.459,92.9%
IC,$D_b > 0.02$,366 (68.9%),0.112,0.549,+0.459,93.4%
IC,$D_b > 0.05$,303 (57.1%),0.129,0.566,+0.457,96.0%
IC,$D_b > 0.10$,251 (47.3%),0.142,0.583,+0.458,96.8%
dPL,$D_b > 10^{-6}$ (Canonical),460 (86.6%),0.102,0.521,+0.441,92.8%
dPL,$D_b > 10^{-4}$,460 (86.6%),0.102,0.521,+0.441,92.8%
dPL,$D_b > 10^{-3}$,454 (85.5%),0.104,0.524,+0.440,93.2%
dPL,$D_b > 0.01$,421 (79.3%),0.109,0.529,+0.436,94.8%
dPL,$D_b > 0.02$,389 (73.3%),0.111,0.536,+0.432,95.9%
dPL,$D_b > 0.05$,322 (60.6%),0.121,0.542,+0.423,96.3%
dPL,$D_b > 0.10$,257 (48.4%),0.132,0.578,+0.441,96.1%
