basin_id,swe_burden_group,mean_annual_peak_swe_mm,snowiest_water_year,snowiest_year_peak_swe_mm,snow_active_days,eligible,r_Base,r_TGD,r_CN,delta_r_CN_Base,delta_r_TGD_Base,is_example_basin
01022500,High,211.16,1998,372.47,155,True,0.7793,0.7304,0.3089,-0.4704,-0.0488,False
01031500,High,235.06,2008,387.3,172,True,-0.1971,0.1745,0.5809,0.778,0.3716,False
01047000,High,258.26,2008,429.54,168,True,-0.2659,0.192,0.5908,0.8567,0.4579,False
01052500,High,318.15,2008,460.18,171,True,-0.455,-0.1883,0.5778,1.0328,0.2667,False
01054200,High,332.36,2008,512.41,164,True,-0.7369,-0.2412,0.5702,1.3071,0.4956,False
01055000,High,341.59,2008,538.93,173,True,-0.29,0.36,0.6241,0.9141,0.65,False
01057000,High,237.13,2008,412.4,149,True,-0.6789,-0.0896,0.241,0.9199,0.5894,False
01073000,High,172.11,2008,376.05,143,True,0.6091,0.3786,0.6327,0.0237,-0.2304,False
01078000,High,251.19,2008,511.5,150,True,-0.3101,-0.4314,0.1706,0.4807,-0.1213,False
01123000,Middle,54.71,1999,148.23,59,True,0.9145,0.9202,0.4971,-0.4173,0.0058,False
01134500,High,264.26,2008,489.69,163,True,-0.4318,-0.0196,0.5042,0.936,0.4121,False
01137500,High,316.05,1998,484.73,176,True,0.1907,0.3935,0.1886,-0.0021,0.2028,False
01139000,High,249.72,2008,428.8,163,True,-0.2997,0.077,0.4083,0.7081,0.3767,False
01139800,High,348.35,2008,598.36,159,True,-0.3104,0.0422,0.4462,0.7566,0.3527,False
01142500,High,307.46,2008,604.08,157,True,-0.2704,0.0613,0.4186,0.6891,0.3318,False
01144000,High,294.36,2008,576.26,160,True,-0.3011,0.1221,0.5525,0.8536,0.4232,False
01162500,High,157.04,2003,291.63,150,True,-0.0292,-0.3127,0.6271,0.6564,-0.2834,False
01169000,High,179.73,2001,353.47,130,True,0.37,0.4323,0.4074,0.0374,0.0623,False
01170100,High,167.5,2008,320.38,136,True,0.4784,0.4603,0.6519,0.1735,-0.0181,False
01181000,High,145.69,2008,278.64,137,True,0.1936,-0.0007,0.481,0.2874,-0.1942,False
01187300,High,146.02,2003,296.72,128,True,0.0391,0.2635,0.6883,0.6492,0.2245,False
