Host,Parameter,Symbol,Definition,Lower bound,Upper bound,Unit,Base membership,TGD membership,CN membership,Calibrated / fixed,Default / fixed value,Process
XAJ,xaj_k,k,Ratio of potential ET to reference crop evaporation,0.5,2.0,-,Yes,Yes,Yes,Calibrated,1.0,soil
XAJ,xaj_b,b,Exponent of tension water capacity curve,0.1,2.0,-,Yes,Yes,Yes,Calibrated,0.3,soil
XAJ,xaj_im,im,Impervious area fraction,0.0,0.3,-,Yes,Yes,Yes,Calibrated,0.01,soil
XAJ,xaj_um,um,Upper layer tension water capacity,5.0,50.0,mm,Yes,Yes,Yes,Calibrated,20.0,soil
XAJ,xaj_lm,lm,Lower layer tension water capacity,20.0,200.0,mm,Yes,Yes,Yes,Calibrated,80.0,soil
XAJ,xaj_dm,dm,Deep layer tension water capacity,20.0,200.0,mm,Yes,Yes,Yes,Calibrated,40.0,soil
XAJ,xaj_c,c,Deep layer evaporation coefficient,0.05,0.3,-,Yes,Yes,Yes,Calibrated,0.15,soil
XAJ,xaj_sm,sm,Areal mean free water capacity of surface layer,5.0,100.0,mm,Yes,Yes,Yes,Calibrated,30.0,routing
XAJ,xaj_ex,ex,Exponent of free water capacity curve,0.1,2.0,-,Yes,Yes,Yes,Calibrated,1.2,routing
XAJ,xaj_ki,ki,Outflow coefficient for interflow,0.0,0.7,1/day,Yes,Yes,Yes,Calibrated,0.3,routing
XAJ,xaj_kg,kg,Outflow coefficient for groundwater,0.0,0.7,1/day,Yes,Yes,Yes,Calibrated,0.2,routing
XAJ,xaj_ci,ci,Recession constant for interflow reservoir,0.1,1.0,-,Yes,Yes,Yes,Calibrated,0.5,routing
XAJ,xaj_cg,cg,Recession constant for groundwater reservoir,0.9,1.0,-,Yes,Yes,Yes,Calibrated,0.98,routing
XAJ,xaj_a,a,HBV-compatible Gamma-UH shape parameter,0.0,2.9,-,Yes,Yes,Yes,Calibrated,2.5,routing
XAJ,xaj_theta,theta,HBV-compatible Gamma-UH scale parameter,0.0,6.5,day,Yes,Yes,Yes,Calibrated,1.5,routing
XAJ,tgd_tau_warm,\tau_{\mathrm{warm}},Warm-condition generic residence time,0.0001,3.0,day,No,Yes,No,Calibrated,0.25,temperature_dependent_generic_delay2
