Regime,Denominator type,Denominator definition,KGE threshold,Configuration,CT threshold (days),Denominator N,Large |Delta CT| N,Large |Delta CT| fraction
IC,structure-specific,configuration-specific KGE pass,0.4,Base,10.0,425,146,0.34352941176470586
IC,structure-specific,configuration-specific KGE pass,0.4,Base,15.0,425,93,0.2188235294117647
IC,structure-specific,configuration-specific KGE pass,0.4,Base,20.0,425,61,0.14352941176470588
IC,structure-specific,configuration-specific KGE pass,0.4,TGD,10.0,479,136,0.2839248434237996
IC,structure-specific,configuration-specific KGE pass,0.4,TGD,15.0,479,72,0.15031315240083507
IC,structure-specific,configuration-specific KGE pass,0.4,TGD,20.0,479,41,0.08559498956158663
IC,structure-specific,configuration-specific KGE pass,0.4,CN,10.0,487,96,0.1971252566735113
IC,structure-specific,configuration-specific KGE pass,0.4,CN,15.0,487,34,0.06981519507186858
IC,structure-specific,configuration-specific KGE pass,0.4,CN,20.0,487,9,0.018480492813141684
IC,structure-specific,configuration-specific KGE pass,0.5,Base,10.0,391,126,0.32225063938618925
IC,structure-specific,configuration-specific KGE pass,0.5,Base,15.0,391,76,0.19437340153452684
IC,structure-specific,configuration-specific KGE pass,0.5,Base,20.0,391,47,0.12020460358056266
IC,structure-specific,configuration-specific KGE pass,0.5,TGD,10.0,449,120,0.267260579064588
IC,structure-specific,configuration-specific KGE pass,0.5,TGD,15.0,449,61,0.1358574610244989
IC,structure-specific,configuration-specific KGE pass,0.5,TGD,20.0,449,34,0.0757238307349666
IC,structure-specific,configuration-specific KGE pass,0.5,CN,10.0,467,90,0.19271948608137046
IC,structure-specific,configuration-specific KGE pass,0.5,CN,15.0,467,31,0.06638115631691649
IC,structure-specific,configuration-specific KGE pass,0.5,CN,20.0,467,9,0.019271948608137045
IC,structure-specific,configuration-specific KGE pass,0.6,Base,10.0,331,98,0.29607250755287007
IC,structure-specific,configuration-specific KGE pass,0.6,Base,15.0,331,56,0.1691842900302115
IC,structure-specific,configuration-specific KGE pass,0.6,Base,20.0,331,36,0.10876132930513595
IC,structure-specific,configuration-specific KGE pass,0.6,TGD,10.0,397,99,0.24937027707808565
IC,structure-specific,configuration-specific KGE pass,0.6,TGD,15.0,397,46,0.11586901763224182
IC,structure-specific,configuration-specific KGE pass,0.6,TGD,20.0,397,24,0.060453400503778336
IC,structure-specific,configuration-specific KGE pass,0.6,CN,10.0,427,77,0.18032786885245902
IC,structure-specific,configuration-specific KGE pass,0.6,CN,15.0,427,25,0.0585480093676815
IC,structure-specific,configuration-specific KGE pass,0.6,CN,20.0,427,6,0.01405152224824356
IC,structure-specific,configuration-specific KGE pass,0.7,Base,10.0,237,59,0.2489451476793249
IC,structure-specific,configuration-specific KGE pass,0.7,Base,15.0,237,27,0.11392405063291139
IC,structure-specific,configuration-specific KGE pass,0.7,Base,20.0,237,15,0.06329113924050633
IC,structure-specific,configuration-specific KGE pass,0.7,TGD,10.0,280,63,0.225
IC,structure-specific,configuration-specific KGE pass,0.7,TGD,15.0,280,25,0.08928571428571429
IC,structure-specific,configuration-specific KGE pass,0.7,TGD,20.0,280,12,0.04285714285714286
IC,structure-specific,configuration-specific KGE pass,0.7,CN,10.0,345,58,0.1681159420289855
IC,structure-specific,configuration-specific KGE pass,0.7,CN,15.0,345,19,0.05507246376811594
IC,structure-specific,configuration-specific KGE pass,0.7,CN,20.0,345,4,0.011594202898550725
IC,structure-specific,configuration-specific KGE pass,0.8,Base,10.0,100,20,0.2
IC,structure-specific,configuration-specific KGE pass,0.8,Base,15.0,100,7,0.07
IC,structure-specific,configuration-specific KGE pass,0.8,Base,20.0,100,1,0.01
IC,structure-specific,configuration-specific KGE pass,0.8,TGD,10.0,114,21,0.18421052631578946
IC,structure-specific,configuration-specific KGE pass,0.8,TGD,15.0,114,6,0.05263157894736842
IC,structure-specific,configuration-specific KGE pass,0.8,TGD,20.0,114,2,0.017543859649122806
IC,structure-specific,configuration-specific KGE pass,0.8,CN,10.0,188,21,0.11170212765957446
IC,structure-specific,configuration-specific KGE pass,0.8,CN,15.0,188,4,0.02127659574468085
IC,structure-specific,configuration-specific KGE pass,0.8,CN,20.0,188,1,0.005319148936170213
IC,common-pass,all Base/TGD/CN KGE pass,0.4,Base,10.0,415,144,0.3469879518072289
IC,common-pass,all Base/TGD/CN KGE pass,0.4,Base,15.0,415,92,0.2216867469879518
IC,common-pass,all Base/TGD/CN KGE pass,0.4,Base,20.0,415,60,0.14457831325301204
IC,common-pass,all Base/TGD/CN KGE pass,0.4,TGD,10.0,415,100,0.24096385542168675
IC,common-pass,all Base/TGD/CN KGE pass,0.4,TGD,15.0,415,50,0.12048192771084337
IC,common-pass,all Base/TGD/CN KGE pass,0.4,TGD,20.0,415,30,0.07228915662650602
IC,common-pass,all Base/TGD/CN KGE pass,0.4,CN,10.0,415,84,0.20240963855421687
IC,common-pass,all Base/TGD/CN KGE pass,0.4,CN,15.0,415,29,0.06987951807228916
IC,common-pass,all Base/TGD/CN KGE pass,0.4,CN,20.0,415,8,0.01927710843373494
IC,common-pass,all Base/TGD/CN KGE pass,0.5,Base,10.0,382,124,0.32460732984293195
IC,common-pass,all Base/TGD/CN KGE pass,0.5,Base,15.0,382,76,0.19895287958115182
IC,common-pass,all Base/TGD/CN KGE pass,0.5,Base,20.0,382,47,0.12303664921465969
IC,common-pass,all Base/TGD/CN KGE pass,0.5,TGD,10.0,382,88,0.23036649214659685
