basin_id,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,elev_mean,slope_mean,area_gages2,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,dom_land_cover_frac,dom_land_cover,root_depth_50,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,geol_1st_class,glim_1st_class_frac,geol_2nd_class,glim_2nd_class_frac,carbonate_rocks_frac,geol_porosity,geol_permeability
1022500,3.608126,2.119256,-0.11452959,0.245259,0.58735645,20.55,1.2052786,233.65,3.6622257,92.68,17.79072,573.6,0.9232,4.8713923,3.7466917,0.86393577,0.33771247,0.82049346,7.0,0.23743454,17.412807,1.4918455,0.41590548,2.375005,0.62622887,59.390156,28.080936,12.037645,0.0,0.5906582,10.0,0.16461821,0.0,0.071,-14.2138
1031500,3.5229568,2.0713236,0.1040906,0.29183647,0.58795035,18.9,1.1489362,227.35,3.473644,247.8,29.56035,769.05,0.9548,4.9032593,3.9908433,0.8706685,0.3986194,1.0,7.0,0.25,7.2525573,1.2790469,0.45023596,1.3732917,0.55912274,35.26903,50.841232,12.654125,10.0,0.44892785,7.0,0.44386283,0.026257979,0.0747,-14.841
1047000,3.3231459,2.0900238,0.14777562,0.28011814,0.6289293,20.1,1.1652174,235.9,3.6917057,310.38,49.92122,909.1,0.9906,5.0868106,4.300978,0.89138275,0.4454732,0.85045,7.0,0.241027,5.359655,1.3927785,0.42274895,2.6151543,0.56118083,55.16313,34.185444,10.303622,7.0,0.30848804,0.0,0.28861254,0.0,0.0522,-14.4819
1052500,3.7308583,2.0964231,0.15209681,0.35269827,0.56191444,13.5,1.1297071,193.5,2.8967066,615.7,60.05183,383.82,1.0,4.80083,4.124313,0.880034,0.47732794,0.59358835,7.0,0.22561531,1.3013493,1.4948075,0.45232564,1.2629954,0.615538,30.557667,52.614647,11.143326,10.0,0.49745834,7.0,0.3740617,0.0,0.0711,-15.1658
1054200,4.067132,2.128355,0.10495964,0.29964155,0.52330613,17.5,1.1945393,220.3,3.2637036,472.31,90.13951,180.98,1.0,5.0198274,4.283551,0.8867115,0.4550843,0.58095384,7.0,0.22485723,0.9147541,1.4774421,0.41846088,2.9191425,0.59452593,58.376167,31.836472,9.851262,7.0,0.8714428,10.0,0.1042952,0.0,0.0288,-14.2147
1055000,3.4941835,2.0932353,0.16722904,0.30604884,0.5990628,19.15,1.1676829,224.85,3.3786626,423.12,72.81304,250.64,0.9916,5.030033,4.319226,0.8861635,0.47143146,0.52424884,7.0,0.22145493,2.1270587,1.3696566,0.42402586,2.5500011,0.5470206,53.86201,34.734493,10.346323,10.0,0.68084335,7.0,0.16836315,0.0,0.1455,-14.3578
1057000,3.5704997,2.1327438,0.07913685,0.25115767,0.5973236,20.35,1.1695403,239.3,3.7478466,215.59,32.68445,190.92,0.9415,5.362949,4.587077,0.9055105,0.45874202,0.53278065,3.0,0.2091862,3.7591465,1.5,0.40411794,4.030392,0.61710024,69.00674,22.943293,7.817565,7.0,0.45111063,0.0,0.4092404,0.077433415,0.0251,-13.9903
1073000,3.5030253,2.2076156,0.030370012,0.17503244,0.6302026,20.85,1.2264706,249.0,4.016129,37.67,4.75043,31.3,0.9008,4.9439497,4.035088,0.84142065,0.3791442,0.59243226,7.0,0.22147025,19.90909,1.3056196,0.41639653,2.9486704,0.51006174,56.57096,29.155056,9.967266,7.0,0.9433752,0.0,0.056624804,0.0,0.01,-14.1
1078000,3.5628884,2.1841445,0.1104821,0.23971853,0.6130264,21.45,1.1721312,234.5,3.616037,346.92,49.77182,222.46,0.9873,5.391687,4.5052986,0.89865065,0.42491138,0.80744356,7.0,0.23844661,3.639785,1.5,0.4038926,4.0254006,0.6189752,69.15741,22.806278,7.8482795,0.0,0.5356497,7.0,0.45879018,0.0,0.011,-14.1061
1123000,3.8242424,2.3063335,-0.0011900306,0.1360534,0.6030825,21.15,1.2332362,241.1,3.8793242,120.1,17.14893,77.85,0.9141,5.4030967,4.8061438,0.9074072,0.50689006,1.0,3.0,0.19,9.085107,1.5,0.41712278,3.0794594,0.5338498,52.746895,27.534637,8.689368,7.0,1.0,-1.0,0.0,0.0,0.01,-14.1
1134500,3.4674127,2.0916982,0.22867236,0.2805821,0.6032446,15.85,1.1527272,201.1,2.842403,450.54,47.54354,195.13,0.9963,4.9305506,4.273607,0.8862162,0.4767941,0.60380405,3.0,0.21348873,4.0740743,1.14386,0.43922737,1.7559531,0.47676677,42.585995,43.33541,12.724207,7.0,0.62242067,0.0,0.3693336,0.0,0.0109,-14.1198
1137500,3.9841917,2.144046,0.17164771,0.30181497,0.5381383,15.5,1.2809918,204.35,2.9897585,784.85,110.13062,228.55,0.9972,4.5414677,3.6582227,0.86579144,0.39354262,0.91161025,7.0,0.24469662,1.5610973,1.1980842,0.41981867,2.7776895,0.47573185,53.800583,30.326244,8.728079,0.0,0.7915799,7.0,0.19814682,0.0,0.01,-14.1
1139000,3.1345475,2.1139803,0.23216172,0.24656267,0.6744132,18.65,1.169279,219.65,3.2277737,373.34,43.10796,246.33,0.9737,5.0694737,4.3895006,0.88009155,0.46734086,0.4523468,3.0,0.21286103,3.75,1.3516927,0.4369528,1.8867614,0.5636326,44.456615,42.322292,13.294092,4.0,0.52167875,0.0,0.28685176,0.52167875,0.0371,-12.922
