,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,route_a,route_b
p_mean,-0.19249042016618137,-0.10601359490828126,0.37047627496587116,0.4643158904616835,0.28018912006591473,0.2650235277993513,0.5526630775852327,0.20619553360535975,0.18265707440972115,0.09685839158176862,-0.20725125894364949,-0.25415906251077003,0.23707798437571384,-0.20779122414286436
pet_mean,0.1656808314358009,0.5567889983994203,-0.20635932171533256,-0.21287524856272436,-0.07022432961200571,-0.06133337821688856,-0.2481885077259827,0.009826773521587787,-0.46944784410658885,-0.5933086634078,0.32815072539038675,0.19634527636648386,0.06498144946632652,-0.2942358294200484
p_seasonality,0.4447566790336891,-0.1490931518114121,-0.21729058942742124,0.04070593817450566,-0.03324669204190521,-0.2613547780548269,-0.5376371853843115,-0.5416908116149023,-0.31571725924981947,0.01955624590738118,0.12621840818868404,0.29354895072667275,-0.039993251436874884,0.08232782147245311
frac_snow,-0.5004598966590191,-0.44151658176746733,0.18574322143597624,-0.21349936954577448,-0.2997538775429652,-0.03734700701693405,0.21233928863986867,0.3778277873763391,0.4165607360144506,0.5217921126043182,-0.42931569493153265,-0.38795248685656125,-0.3014160937864072,0.6418389262050239
aridity,0.22178126800852466,0.3254831995242343,-0.4078727762049833,-0.5320309888889156,-0.2988881702176772,-0.20609334336801388,-0.5879973358404005,-0.12762414510853404,-0.3308157666311606,-0.3671455581710913,0.33966760521386613,0.3070160210247397,-0.05607478882688012,-0.025020818756196536
high_prec_freq,0.4636774784317004,0.3543155122842781,-0.42250884173638836,-0.15261677578307048,0.051778468319226174,-0.17130213154880725,-0.4263691240893493,-0.39922250690447136,-0.4623422891836327,-0.513366900764695,0.5397482397468206,0.49812577781511613,-0.06186442305727095,-0.35588862867361837
high_prec_dur,-0.18150906082982063,0.31603989571945545,-0.13040547554924206,-0.554699040862255,-0.2766146121494924,0.26347879536036134,0.07659372526144298,0.329417482645899,0.21832905376546902,-0.24813486742156735,0.1984003497071044,0.021798064508424995,0.10438250352035736,-0.22995437825962556
low_prec_freq,0.39727761641752324,0.4158289360418941,-0.44671407315467143,-0.2827494996982246,-0.02865225686237907,-0.15558472189023956,-0.4588124508914151,-0.3264751170252937,-0.43205989301627495,-0.5220179977688592,0.5473946724837412,0.48240135513292526,-0.0570629036244699,-0.3230589529849767
low_prec_dur,0.1057821240020422,0.44190833655933887,-0.29953121243125114,-0.5228720986989379,-0.17381437283647239,0.14756542780039322,-0.19029769819495973,0.07980264059573301,-0.09834988815178336,-0.5124277755469582,0.436527920376573,0.2627143490321583,0.12650381951040057,-0.40915079512019575
elev_mean,-0.5162307054057976,-0.13581435471903205,0.1617250853588975,-0.32670744511397315,-0.282370386358653,-0.009314219537375169,0.2257908567747891,0.33697135260944483,0.41105394624741315,0.2673382021438751,-0.2922721396606351,-0.33947244869994886,-0.4373731826643116,0.4226745794505969
slope_mean,-0.661574146430996,-0.15838541027977684,0.35898283647466683,-0.12417163792115402,-0.13838642015976943,0.1481136483678015,0.5565928732929221,0.47457611088802915,0.5562310797781149,0.3175771215695138,-0.4102930816007079,-0.4780786311798043,-0.3938701085941589,0.32850057667353544
