,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,route_a,route_b
p_mean,-0.1652710285467426,-0.13401099486804635,0.4900429840190499,0.13171311713886572,0.22863795241221058,0.41615551510692306,0.6807614655442572,0.09475631836226318,0.6068504327656365,0.3075086981925553,0.19164460559778082,0.06620588888274412,-0.18415161664955482,-0.10533609367197976
pet_mean,0.04463781776154489,0.5874435048285889,-0.4569677311282684,-0.05454930899362253,-0.0627691710888991,-0.30274983910046943,-0.30355581951360655,0.005031927436115071,-0.26824849139157453,-0.4974051694634732,0.2660146528777973,0.2835695731173152,0.34232038362615846,-0.3472487582884297
p_seasonality,0.5173603179679291,-0.19362877933561118,-0.16005403659452436,0.2915216567161428,0.09594108392182887,-0.2545008187241369,-0.5355456117107608,-0.4894881912167691,-0.5493346413683714,-0.03393220819878286,-0.2176498970483452,0.10585626201737154,-0.09733479846081465,0.11608875081852377
frac_snow,-0.3959404061135246,-0.368904766286489,0.10995866219932102,-0.37763711220187796,-0.38722080393615127,0.12955756947589556,0.1038814220024577,0.3977618790075148,0.12402646657990565,0.37066700885095977,-0.37444123918529054,-0.5800790849134144,-0.12078138189576076,0.5912528585250032
aridity,0.12494483730913468,0.3539741582930784,-0.6402921278251593,-0.17703420687952692,-0.23412448614340456,-0.45670339904766716,-0.7042450225339492,-0.03017256925492497,-0.577819027902343,-0.513805380095586,0.006112098282162073,0.09953898176846017,0.3737303764688344,-0.14391807789380712
high_prec_freq,0.35924710031707563,0.35947665171764986,-0.35455612447161183,0.17862541434177764,0.144300346549976,-0.3715156368250355,-0.45171042851356585,-0.3114129245864174,-0.4533822504021405,-0.5348570476308839,0.1559211056768462,0.3616115438634932,0.16286940375348052,-0.4521058917155328
high_prec_dur,-0.4234101219013731,0.337453524470009,-0.2779732216630291,-0.49310191687292493,-0.34643364401578436,-0.033568619398341576,-0.01904966743281366,0.456639750152437,0.13206945218886715,-0.4377087837218974,0.16063928464572944,-0.07502155813780546,0.34097840723774137,-0.30784920596564397
low_prec_freq,0.26388078879930027,0.4330954221241615,-0.46886718205119604,0.06441195431799429,0.04368093408576518,-0.40777869909447295,-0.5139402295328499,-0.22209634772830386,-0.46224059725383954,-0.5915510122121866,0.15962593033828512,0.32392857301752853,0.2518911330297636,-0.43921121535769747
low_prec_dur,-0.14961596508059402,0.46835140297177225,-0.45956616837905445,-0.3020879669592914,-0.17401602823816817,-0.20407061786221228,-0.2768793586139958,0.2094773229844679,-0.1174605044751309,-0.6544540115879721,0.22435245452935185,0.1378918995602213,0.40090993393300967,-0.5235055178720707
elev_mean,-0.4959962765884226,-0.056075190696504434,0.11470565834769325,-0.38151166975464873,-0.41934846749405635,0.05251400111475526,0.10453488423118247,0.377540156305782,0.11821170527477365,0.07309271085237701,-0.34568970286464695,-0.5792169218059725,-0.1622383862245634,0.39737993042607983
