,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,route_a,route_b
p_mean,0.18851982851275936,-0.179832215652659,-0.47011965474928125,-0.19118575139479654,0.28572374332056555,0.1547990539187752,0.24202831992036375,-0.2441804863934701,-0.019679274938225,-0.054716420087635144,0.26689958025860944,-0.10721134463918029,-0.5922402744949999,-0.5071121199224476
pet_mean,-0.18731991475330476,0.2505378412452622,0.021934833886763597,-0.05110818299346063,-0.040694076092052965,-0.20873690462164365,-0.06573661528301085,0.046076255557345555,0.6906111617386927,0.5736111144506614,-0.29167514244517595,0.6521904377188574,0.41421678596875944,-0.13753243037238122
p_seasonality,0.17014113473642534,0.010968899703688386,0.32714036450255796,0.4317672178527547,0.20389517125080048,-0.1006939318234826,-0.2805864998280799,-0.07331183731634812,0.14459606002534317,0.1912764802957185,0.14537446911169835,0.22078341039679467,0.12801359009932892,0.1911613058870393
frac_snow,-0.06890923861699996,-0.05972292709078808,0.15467171008791214,-0.19000929411244855,-0.36582222437401585,0.30341493707177297,0.08837958642327791,0.3652476340731703,-0.8540135080422371,-0.8309515099972242,-0.11328117110310837,-0.835173053550835,-0.004460308305489605,0.5990380802131511
aridity,-0.2633797477383898,0.24910573523671667,0.38158139191919677,0.053448139055666026,-0.2877405377851408,-0.2684196099458752,-0.28369909423382567,0.23300720621509002,0.33200966920018304,0.32304578202782297,-0.351987660228281,0.39838347066899743,0.6839740861587932,0.27953061419137865
high_prec_freq,-0.17375081340598023,0.09404101317166594,0.2238387446648322,0.22571639336788818,-0.08029197432581951,-0.37531966581339227,-0.1771988133016866,-0.0801074275032559,0.5291154573445238,0.48230580702512266,-0.22059104119022746,0.5930646784047056,0.43583499348851745,-0.09722159049474104
high_prec_dur,-0.3682404047151255,0.10244108891699218,0.09199600183606112,-0.378571800120347,-0.5688653763122496,-0.21145665846500258,-0.11452314377000004,0.2754469180899846,-0.008496298748862829,0.03634106124146286,-0.3167938594793422,0.019160353512584424,0.3735068900682154,-0.03827979084578943
low_prec_freq,-0.24213636066922925,0.16108272422876083,0.2587076716959817,0.1615253888775888,-0.15440119707819566,-0.408142857492436,-0.20798698311075822,0.021666242476453143,0.5337462866327597,0.5017263159890202,-0.3053487202381726,0.6066920587706546,0.5262322485809857,-0.03189349502978873
low_prec_dur,-0.35246486859938464,0.11863252631098052,0.1337553990508731,-0.22954628336110502,-0.45493691055268487,-0.38564271247354076,-0.20255090877176954,0.1477837542368874,0.3037014506204751,0.2951167493405724,-0.38400245897763274,0.341032065292749,0.5129769579048357,-0.1443717223984169
elev_mean,-0.2504832245805437,0.09310003689067643,0.062207126029959904,-0.20987089986460597,-0.4352785232043678,0.158059045880993,0.045892835019529066,0.32057210343920456,-0.5739949204237593,-0.5804194003641059,-0.2487643046047383,-0.5797001413771907,0.10516994647575821,0.5188904969268892
slope_mean,-0.19487325605346914,-0.0022591656627978644,-0.1815767432652626,-0.2745308265867739,-0.32424409280316235,0.220626398102708,0.2802893867223223,0.19779020624795118,-0.5722794353969349,-0.6059795314958326,-0.169077875372794,-0.6200037189231473,-0.1515456373585066,0.29461381307441936
area_gages2,0.212484124696217,0.10104827348688868,0.19970437365608568,0.06573657652559158,0.1417635899342935,-0.08667002665502153,-0.23850937382049173,0.016815584227910366,0.18398727438974946,0.24749850817278465,0.038439599928018,0.21455157350025958,0.13924001199112293,-0.07805615089162288
frac_forest,0.16055999463785342,-0.10761186011630063,-0.2761305104848792,-0.21459668386166597,0.057493085912928454,0.3897102399712486,0.3310131095347674,0.0039085347295058,-0.3949148182315502,-0.37598438895771347,0.27712518210436626,-0.4678726366116917,-0.5215594890877001,0.0006311252157016197
lai_max,0.3179527808969177,-0.06185635178448199,-0.2824647964650994,0.06354565659431598,0.4334296726786586,0.34265628894750466,0.2959616021185038,-0.2102628653501358,-0.06504901524678341,-0.0672519963163425,0.3911015145795413,-0.13115295433979898,-0.5717333788580822,-0.132063449317249
lai_diff,0.34543434056840217,-0.0688649990822916,-0.23397067981754835,0.19621222868491986,0.5067940077247804,0.35519515129364826,0.2690131949637445,-0.23072936578734973,-0.11349207685026445,-0.11647010073953672,0.4290251532252441,-0.1666261111685514,-0.5783110638765125,-0.02904382799018653
gvf_max,0.3175013004208635,-0.10421288270243886,-0.31364524198247457,0.05157425062496343,0.3959210466203885,0.3631651883145664,0.2967605294015339,-0.23511296629806047,-0.17432708730572835,-0.16260061730918277,0.41822849416473706,-0.2381586361169954,-0.5943651902381474,-0.12885339347729732
gvf_diff,0.2730183309248497,-0.12176732204672218,-0.017818290529649998,0.4375164806804347,0.4318965786708537,0.19720054854116423,0.028614789291745515,-0.22431855141531476,-0.210628345728408,-0.19850665999825276,0.3445629584033637,-0.18605387789909697,-0.3139158257011252,0.18911461576871505
dom_land_cover_frac,0.046881576372743566,-0.16055628199726055,-0.08148215846249675,0.03887589797526472,0.06274441964459102,0.045134059175037024,0.036708198145289264,-0.12352384144017813,-0.17624460774684522,-0.17588685086409464,0.0482673795573937,-0.1618333044773813,-0.10990146074127641,-0.03438584720234149
dom_land_cover,-0.06070029362935032,0.1115763346829813,0.004622183326832758,0.02353716623013694,0.038747932720618064,-0.056541086682508936,0.053608173271357876,0.03429296571174909,0.32294408440632644,0.2975195830654603,-0.11130591042670579,0.3167937668883953,0.10021515132440642,-0.17299547606177448
root_depth_50,0.2527915335399478,-0.037925075247743585,-0.15252012201361687,0.16272961034546768,0.4497557926601681,0.2460656470070044,0.1896451293998582,-0.22709673390989807,0.05444334288058229,0.07384375665091268,0.367751430269027,0.019302080200102534,-0.39897659633578625,-0.11379882580008543
soil_depth_pelletier,0.2197203972872229,-0.0866495321427598,0.16457374186206739,0.1583804076256599,0.1738186787081027,-0.1486644274414292,-0.3023066696798576,-0.14886372117299682,0.31706975459912895,0.3842472512212923,0.245275119549182,0.3644126557993299,0.04714997941782282,-0.2637671572994679
soil_depth_statsgo,0.1294038639578231,0.059530650653032965,0.15361642783074106,-0.03601934160097683,0.031016960191038983,-0.017959607900736405,-0.22794178803349371,0.042302069197927845,0.11786519717461554,0.1521056841956167,-0.030840451046979783,0.17552572409073292,0.040212982645319514,-0.09810245169269485
soil_porosity,0.09782054468239165,-0.23764276051583152,-0.17631451061925904,0.35543159857253465,0.15948249580383836,-0.1803082654731702,-0.11241779922339026,-0.4360421047029572,-0.0023644817665462383,-0.0246334581383395,0.19434647929278107,-0.0004838206902734269,-0.03115539951484483,-0.11071551020811364
soil_conductivity,-0.007391880873271301,0.16060109821646176,0.16608458638771112,-0.36890548182307153,-0.12637061406255115,0.30582328674707415,0.17069965789713448,0.501285402931806,-0.22014638892054228,-0.1460110971787299,-0.06725203773849475,-0.2151158639947299,-0.08284819185091351,0.21233853366103408
max_water_content,0.23338163725881966,0.004300726490478271,0.07265854550783024,0.13793803371985516,0.137668251477045,-0.019285302676580917,-0.21496447075662917,-0.16092614977599226,0.16184057211949227,0.1700628792598031,0.1407762775648917,0.20742150832518905,0.0737871265419983,-0.11646714221998547
sand_frac,0.05488237011785882,0.23834727204859113,0.18984121219745104,-0.30884695566961373,-0.05374445174625988,0.3024809846506454,0.152778615726609,0.4341045777640572,-0.06664021876405556,-0.014708181043995124,-0.024439056235869824,-0.08245994909042573,-0.02653984711017725,0.17938262227728385
silt_frac,0.20222971488181832,-0.27979378971480895,-0.23009510965804164,0.2847634012430221,0.21294842905449646,0.02652630189413216,0.028068773389918145,-0.38297916166694246,-0.2617699561858347,-0.2718742064602305,0.27368305384670216,-0.2684998046062511,-0.2747862275369073,-0.02736426185715853
clay_frac,-0.04191935791508188,-0.004250993734956871,-0.1584255281316805,0.20867198794620043,0.1371877113872728,-0.302203427945532,-0.18474805066608102,-0.4487466357119742,0.4545814579337186,0.3360817364822702,-0.02866548423876858,0.42917059255851886,0.20252682799352933,-0.32634252577282924
geol_1st_class,0.19456538161623566,0.014979791829575559,0.05095366101768273,-0.007630144394738432,0.19669635815245895,-0.06407686743918672,-0.185258938872518,-0.023807545615250156,0.2660846803794812,0.3104867014186249,0.09185349248100327,0.2410847648370259,-0.09440742163274475,-0.10110758184303029
glim_1st_class_frac,0.05853597445722993,-0.1099594373193003,-0.024092207746227882,0.1603924749843378,0.19923541855496196,-0.03213986574213322,0.10770227352513484,-0.06399229785984074,0.1655051189902075,0.17882078180720337,0.17442853494245109,0.13841391567340178,-0.19528999519664098,-0.0993903087481484
